trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,h100_trade_pen_05,a40,holdout_robust_score,-77.08660362017729,0.1443,0.68,1.0,100.0,0.7678,2.02,0.54,3112960,45.40949249267578,,,,,-77.08660362017729,0.7522645255017132,-2.9236249524819096,-15.809208140461179,-0.16819309734588983,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,h100_trade_pen_05_s123,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,0.2809,0.99,0.53,2064384,31.042973041534424,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,h100_trade_pen_05_s7,a40,holdout_robust_score,-79.71646836285593,0.1443,0.68,1.0,100.0,1.1402,2.69,0.54,3112960,52.2923800945282,,,,,-79.71646836285593,0.23419040763112484,-5.219107907519151,-15.809208140461179,-0.5316563899188953,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,h100_trade_pen_05_s42,a40,none,,,,,,0.2375,0.99,0.53,1998848,30.823258638381958,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 585, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 427, in main ckpt = torch.load(args.checkpoint, map_location=device, weigh...","Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 484, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 305, in main payload = torch.load(str(Path(args.checkpoint...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,h100_trade_pen_05_ent03,a40,holdout_robust_score,-88.87155668766641,-0.1154,-1.5,0.5294,0.0,0.6018,2.21,0.55,1966080,30.471738576889038,,,,,-88.87155668766641,-5.4172423195518835,-8.529088546524367,-11.47255503457025,-2.3664120639429553,12.088405653917885,0.9,-5.093423914008617,-10.322459679650756,-1.4005472221421327,11.961740215074467,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,h100_trade_pen_05_ent08,a40,holdout_robust_score,-92.27509852474154,-0.1154,-1.5,0.5294,0.0,-0.0645,0.08,0.52,2129920,30.84297275543213,,,,,-92.27509852474154,-5.6279835825929485,-9.828476058129134,-11.790851849159935,-2.7806657250895936,13.357903588663959,0.9,-5.093423914008617,-10.977400716170814,-1.4005472221421327,12.009206019371918,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,h100_trade_pen_05_wd005,a40,holdout_robust_score,-81.69341801934303,0.1012,0.41,0.3333,100.0,0.8897,2.18,0.54,3112960,44.1619086265564,,,,,-81.69341801934303,-0.10665070672821819,-6.995386197653884,-15.809208140461179,-0.7943796643490358,25.332891079493518,0.5,0.9881170282905442,-10.217008822838359,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,h100_trade_pen_05_anneal_ent,a40,holdout_robust_score,-53.686362852698295,0.1637,1.49,0.625,100.0,1.1554,2.67,0.56,3112960,43.71256065368652,,,,,-53.686362852698295,2.3074179585258827,-0.8155951114911568,-9.470672718521964,0.15793610029381244,22.83252554242511,0.35,1.640950869316466,-3.62955752259774,0.6270790449886483,19.07173751125151,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,h100_rmu4424_style,a40,holdout_robust_score,-77.11406093585532,0.1957,0.99,1.0,100.0,0.3058,1.07,0.53,3112960,39.01812148094177,,,,,-77.11406093585532,0.6738150521358783,-2.9236249524819096,-15.809208140461179,-0.16819309734588983,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,h100_rmu4424_wd005,a40,holdout_robust_score,-79.90299620826902,0.1318,0.61,0.5,100.0,0.2617,0.98,0.52,3112960,39.62299394607544,,,,,-79.90299620826902,0.2855518438036606,-5.39503371192418,-15.809208140461179,-0.5679363873037482,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
