trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,baseline_anneal_lr,holdout_robust_score,-173.14478471140268,0.0278,1.01,0.6009,63.0,159.6722,44.8,0.89,6881280,301.52369928359985,,,,,-173.14478471140268,-14.79072028504503,-28.304599507099205,-38.3605206395011,-4.259707489363603,39.09471420083105,0.8,-16.921323362125797,-34.117258627974785,-2.1764782431844214,36.997394385314344,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,obs_norm,holdout_robust_score,-137.46684549627628,-0.1443,-1.94,0.4221,0.0,489.6978,60.98,0.93,6422528,301.2094216346741,,,,,-137.46684549627628,-4.464760431690267,-21.469789876569358,-33.08738521839387,-3.202183405772645,36.67500677302571,0.5,0.40084322897699154,-25.77214655453457,0.4433168696328965,35.3737928272515,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,cosine_lr,holdout_robust_score,-197.43322687593843,-0.0929,-0.41,0.4778,30.0,8.2812,15.71,0.7,7208960,300.612272977829,,,,,-197.43322687593843,-19.954274699287037,-29.00999244628025,-45.06867313495883,-4.643881729818075,46.96472998664657,0.85,-24.55452257478936,-36.183261822816824,-2.7162314819240025,45.86206241053561,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,ent_anneal,holdout_robust_score,-109.78113818729256,0.0776,1.47,0.5294,73.0,93.9847,37.65,0.85,7045120,300.45215463638306,,,,,-109.78113818729256,-6.583007067301024,-12.108952557937577,-17.8289995391515,-1.7858276297994273,29.215211270494972,0.75,-7.514788512091244,-16.550794146856177,-0.9953230155625474,29.21521127049496,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,clip_anneal,holdout_robust_score,-135.65490286824905,0.1122,1.71,0.6234,79.0,165.7746,45.05,0.9,7274496,301.5670244693756,,,,,-135.65490286824905,-1.861892144602848,-7.103323023433296,-42.77400403813074,-0.9563214645715923,45.28001422638439,0.4,2.9765670255915486,-20.15914293471063,1.0885367136270956,31.75918787129727,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,clip_vloss,holdout_robust_score,-60.56230386848512,0.2501,2.52,0.6799,99.0,130.8137,39.61,0.87,6684672,301.31632375717163,,,,,-60.56230386848512,2.3248424639577254,-2.3240473810065168,-10.910276850252558,0.07965622712481565,19.70661700470705,0.45,0.9577401390857813,-5.988227686417336,0.6009648058501993,19.70661700470704,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,wd_005,holdout_robust_score,-184.62423261257914,-0.1402,-0.64,0.5381,0.0,141.1307,43.86,0.87,7274496,300.74081206321716,,,,,-184.62423261257914,-15.942399499610792,-19.962686618643346,-44.425770508443655,-3.092024967843649,44.36630091660659,0.95,-12.63497859436411,-39.62627820714134,-2.424199455968048,41.072428270633544,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,wd_01,holdout_robust_score,-173.31493437995348,-0.1693,-1.22,0.5557,0.0,130.2955,43.99,0.88,6848512,300.5902268886566,,,,,-173.31493437995348,-16.186371181665617,-22.144008037808742,-34.9447941780727,-4.304091561721519,43.979928614054415,0.9,-16.48755040797154,-30.644057141703524,-2.485478934202652,43.937958506355265,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,wd_05,holdout_robust_score,-68.47169280898638,0.2266,2.2,0.6041,98.0,144.938,47.27,0.87,6979584,300.4817433357239,,,,,-68.47169280898638,12.44936115017045,-2.6110683549620854,-19.198998326070367,-0.18689759377300025,26.80699612178786,0.3,9.541218025429826,-6.489517922130086,2.1825507277586187,26.481502184085766,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,wd_1,holdout_robust_score,-177.3418014255401,-0.0022,0.85,0.5456,51.0,112.6763,39.33,0.88,6979584,300.47811460494995,,,,,-177.3418014255401,-14.93589500613958,-20.899023745119862,-43.789954571017226,-3.485694984973299,43.72980459702051,0.8,-14.739564937760532,-34.86977725256771,-2.287550615685073,41.57708397285335,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
