description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
tp05_s7,0.0,0.0,0.0,0.0,0,218,10fc3339,2026-03-24T19:08:55
tp05_s16,0.0,0.0,0.0,0.0,0,81,012a8a3c,2026-03-24T19:10:16
tp05_s17,0.0239,0.26,1.0,0.0239,0,238,c937048d,2026-03-24T19:14:14
tp05_s18,0.0239,0.26,1.0,0.0239,0,248,606cb48f,2026-03-24T19:18:22
tp05_s19,0.0443,0.3,1.0,0.0443,0,297,dee8d78c,2026-03-24T19:23:18
tp05_s20,0.0239,0.26,1.0,0.0239,0,253,8bdcd195,2026-03-24T19:27:31
tp05_s21,0.0,0.0,0.0,0.0,0,47,4f2ab051,2026-03-24T19:28:18
tp05_s22,0.0239,0.26,1.0,0.0239,0,181,3eeb71ac,2026-03-24T19:31:19
tp05_s23,0.0443,0.3,1.0,0.0443,0,217,fb0cf508,2026-03-24T19:34:56
tp05_s24,0.0,0.0,0.0,0.0,0,70,bb365884,2026-03-24T19:36:06
