description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
tp05_s200,-0.1392,-1.23,0.2,-64.58342562461274,0,637,7ecef043,2026-03-24T22:29:53
tp05_s201,-0.2741,-2.18,0.4211,-131.15902502886885,0,646,73ad19a3,2026-03-24T22:40:38
tp05_s202,0.1529,2.29,0.5185,-76.19087423899337,0,649,880aeb60,2026-03-24T22:51:28
tp05_s203,,,,,0,608,7448642f,2026-03-24T23:01:36
tp05_s204,0.0942,0.61,0.5676,0.0942,0,643,25fb0ab5,2026-03-24T23:12:18
tp05_s205,-0.2001,-0.97,0.48,-155.51004534725638,0,626,6614ae88,2026-03-24T23:22:45
tp05_s206,-0.1491,-0.6,0.5077,-119.38817564967493,0,640,1ed6e63b,2026-03-24T23:33:25
tp05_s207,-0.3119,-2.12,0.3871,-169.5139418383625,0,642,35eb43e1,2026-03-24T23:44:07
tp05_s208,-0.0856,-0.46,0.5893,-38.704712117558145,0,629,bc584723,2026-03-24T23:54:36
tp05_s209,-0.1006,-0.61,0.4677,-78.81971638534361,0,630,fe20ad3f,2026-03-25T00:05:06
tp05_s210,0.0416,0.55,0.5495,-147.94439450969216,0,630,503eded8,2026-03-25T00:15:36
tp05_s211,-0.2001,-1.18,0.4571,-109.46431128725894,0,632,e0fb5935,2026-03-25T00:26:08
tp05_s212,-0.4382,-1.55,0.5217,-0.4382,0,626,db5ff475,2026-03-25T02:37:43
tp05_s213,-0.1075,-0.71,0.5455,-0.1075,0,627,72080b67,2026-03-25T02:48:10
tp05_s214,-0.0355,-0.61,0.3,-0.0355,0,627,a207f2be,2026-03-25T02:58:37
tp05_s215,-0.1691,-1.07,0.0,-0.1691,0,626,4e6f1729,2026-03-25T03:09:03
tp05_s216,-0.0567,-0.42,0.0,-0.0567,0,625,428de6d5,2026-03-25T03:19:29
tp05_s217,-0.0098,0.1,0.4237,-0.0098,0,623,47ee89b2,2026-03-25T03:29:52
