trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,stock_trade_pen_03,a40,holdout_robust_score,-71.498053541352,-0.0445,-0.22,0.5714,0.0,0.8512,2.01,0.55,4292608,61.837218284606934,,,,,-71.498053541352,-0.7118057509870729,-2.9412182739716943,-15.476244980463724,-0.6621833938537774,15.667123194950017,0.55,-0.5930946203336406,-7.619899731910445,0.04184807554342036,15.570703092426513,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
1,tp03_s7,a40,holdout_robust_score,-99.68993076013223,-0.0533,-0.4,0.4545,0.0,0.0401,0.28,0.52,1867776,31.150459051132202,,,,,-99.68993076013223,-5.23437407732637,-8.88102841938883,-17.15484697454711,-2.7193677710989625,18.322037085282165,0.8,-5.459755445738611,-10.741083164030327,-1.7855039546696263,15.647502666155603,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
2,tp03_s42,a40,holdout_robust_score,-113.9154066220402,-0.0449,-0.08,0.52,0.0,0.7857,1.9,0.54,4292608,68.03004813194275,,,,,-113.9154066220402,-4.518024092037623,-16.994882600323944,-21.034823237503943,-3.203216367274102,31.816101834482296,0.6,-1.2853837124874372,-19.396050609178943,-0.1546501601071436,31.816101834482275,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
3,tp03_s123,a40,holdout_robust_score,-112.48163720473963,-0.1534,-1.58,0.1429,0.0,0.7434,1.8,0.54,4292608,68.40267896652222,,,,,-112.48163720473963,-8.162508180884377,-13.805731628436046,-18.453471064379517,-3.725357638719564,18.37184290728682,0.9,-8.332920482952378,-18.33209812757463,-2.828883699748212,18.37184290728682,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,tp03_s2272,a40,holdout_robust_score,-33.81779169099222,0.0184,0.0,1.0,100.0,-0.0731,0.0,0.52,1769472,31.341917037963867,,,,,-33.81779169099222,1.3197319735343545,0.0,-0.5527953761404933,0.0,3.8775191028327938,0.6,0.0,-0.3467523518309099,0.0,3.687996682367171,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
5,tp03_slip5,a40,holdout_robust_score,-129.56864732405165,-0.2326,-1.41,0.3929,0.0,0.558,1.58,0.54,3604480,54.543670892715454,,,,,-129.56864732405165,-10.860255243577322,-12.46088938177892,-22.49082035641183,-3.8515207376523612,22.49082035641183,1.0,-10.602051198196786,-19.068385041683737,-3.116540412469898,20.209104858248452,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
6,tp03_slip10,a40,holdout_robust_score,-110.38109864373148,-0.0832,-0.34,0.5588,0.0,0.6656,1.76,0.54,4292608,68.15467476844788,,,,,-110.38109864373148,-2.8680014292073164,-8.884542903080256,-26.55106405798872,-1.931224873969577,28.140344058892,0.6,-0.6270922465236981,-16.055726455859688,0.11142354320574183,23.405984853971212,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
7,tp03_wd01,a40,holdout_robust_score,-39.3957872440957,0.11,0.86,0.5385,100.0,-0.0181,0.2,0.51,1900544,36.20619177818298,,,,,-39.3957872440957,9.26981938450403,1.644989409735849,-14.658746363045266,0.6796131610184142,14.573319682727998,0.15,5.631419380021434,-3.947917733158534,2.264553992875502,9.014347480562677,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
8,tp03_wd05,a40,holdout_robust_score,-91.2494251619353,0.1283,0.58,0.6667,100.0,0.4348,1.26,0.53,3145728,53.943708658218384,,,,,-91.2494251619353,-2.9471634035950958,-7.0012267911226225,-17.619471835114872,-0.9680670239975255,25.407558188414036,0.6,-2.147712426770677,-16.24395426685324,-0.12233777308376945,25.407558188414033,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
9,tp03_obs,a40,holdout_robust_score,-124.1456782274856,0.1928,1.22,0.5833,100.0,43.3158,15.9,0.72,4292608,71.21900415420532,,,,,-124.1456782274856,-8.37524247683438,-12.220715335623467,-22.592133747083754,-2.2075086151703838,26.727548276813867,0.9,-7.294895542035146,-16.431689680615563,-1.2356364293391455,23.507673173765088,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
