description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
tp05_s38,-0.1637,-0.3,0.54,-0.1637,0,324,07c57610,2026-03-24T08:21:19
tp05_s39,-0.379,-1.43,0.5238,-0.379,0,325,9f1263a9,2026-03-24T08:26:44
tp05_s40,-0.2187,-0.88,0.5,-0.2187,0,330,59049b74,2026-03-24T08:32:14
tp05_s41,-0.2408,-0.91,0.5593,-0.2408,0,330,748f3714,2026-03-24T08:37:44
tp05_s42,-0.026,0.06,0.5556,-0.026,0,330,6fcab9ef,2026-03-24T08:43:14
tp05_s43,-0.09,0.05,0.6491,-0.09,0,333,021994ae,2026-03-24T08:48:46
tp05_s44,-0.0947,-0.17,0.6129,-0.0947,0,337,e299bf37,2026-03-24T08:54:23
tp05_s45,-0.0094,0.23,0.5167,-0.0094,0,325,b9a4ab17,2026-03-24T08:59:48
tp05_s46,-0.2161,-0.95,0.4915,-0.2161,0,335,95ed51d4,2026-03-24T09:05:23
tp05_s47,-0.3802,-1.21,0.449,-0.3802,0,333,cb1942a6,2026-03-24T09:10:56
tp05_s48,-0.0362,0.29,0.5139,-0.0362,0,336,a8b7aaf2,2026-03-24T09:16:32
tp05_s49,-0.4768,-1.9,0.5593,-0.4768,0,325,ecf5e5e9,2026-03-24T09:21:56
tp05_s50,0.1981,1.18,0.5738,0.1981,0,324,e34ecb30,2026-03-24T09:27:21
tp05_s51,0.0195,0.19,0.6,0.0195,0,336,69aae18e,2026-03-24T09:32:57
tp05_s52,-0.1757,-0.64,0.6,-0.1757,0,339,3a5518f8,2026-03-24T09:38:35
tp05_s53,0.0109,0.48,0.6471,0.0109,0,321,53bda5ae,2026-03-24T09:43:56
tp05_s54,-0.0109,-1.06,0.0,-0.0109,0,279,a4b66047,2026-03-24T09:48:35
tp05_s55,-0.0672,-0.83,0.5882,-0.0672,0,320,e2880107,2026-03-24T09:53:55
