trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,stock_baseline,a40,holdout_robust_score,-82.90937999707423,0.1513,1.14,0.5294,100.0,5.843,6.49,0.63,6782976,90.43465948104858,,,,,-82.90937999707423,0.5410816373179532,-5.918301121378254,-14.391491698449482,-0.8450013648742198,28.532129622672436,0.55,-1.083751138602347,-10.805295557144172,0.08035629327126932,19.236717767409456,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,stock_trade_pen_01,a40,holdout_robust_score,-88.89363194723758,-0.0633,-0.34,0.5135,0.0,6.7002,7.07,0.62,6782976,90.46989297866821,,,,,-88.89363194723758,-2.2159994732222836,-10.054663722752345,-14.482198273047796,-1.8630733137232136,21.215998214722458,0.65,-5.029232584274633,-13.203667154854909,-0.7837700750912773,21.21599821472244,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
2,stock_trade_pen_02,a40,holdout_robust_score,-185.4391109346087,-0.319,-2.01,0.4444,0.0,7.9461,7.56,0.63,7012352,90.58795738220215,,,,,-185.4391109346087,-21.417264759855982,-27.60636741207708,-38.21320873663004,-4.215131919575018,38.728266636176315,1.0,-20.498727128993576,-32.02847165246862,-3.3640317555181114,36.28992972474601,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
3,stock_trade_pen_03,a40,holdout_robust_score,-21.267387755875138,0.0928,0.6,0.6111,100.0,8.4275,7.92,0.64,6782976,90.60445356369019,,,,,-21.267387755875138,3.871743632146463,1.6031946004850715,-3.509116891363028,0.7882453613154609,9.730640825352012,0.2,5.041329543442971,-2.9448451343921658,1.6263098514343572,8.924235830135046,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,stock_trade_pen_05,a40,holdout_robust_score,-3.5090699512885126,0.1189,1.04,0.6667,100.0,6.25,6.71,0.64,6782976,90.47322702407837,,,,,-3.5090699512885126,21.368319948016516,4.982319643745258,-1.8295644135908697,1.8699499898537224,14.044359477950092,0.05,27.7562479730455,4.227066904249219,4.063319559861357,9.144796132826606,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,stock_trade_pen_08,a40,holdout_robust_score,-44.98126270556125,0.0,0.0,0.0,0.0,3.0894,5.96,0.63,6848512,90.54256772994995,,,,,-44.98126270556125,0.2892494126821439,0.0,0.0,0.0,0.09999999999999712,0.9,0.0,0.0,0.0,0.009999999999999424,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
6,stock_trade_pen_10,a40,holdout_robust_score,-64.53609227208035,0.0,0.0,0.0,0.0,0.6125,3.97,0.61,6881280,90.70784735679626,,,,,-64.53609227208035,-0.5079904822557628,0.0,-5.648469245554843,0.0,5.648469245554843,1.0,0.0,-0.45113403995604073,0.0,0.4511340399560477,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
7,stock_longshort,a40,holdout_robust_score,-107.96899778975067,0.0888,0.88,0.5641,100.0,8.4015,7.64,0.64,6848512,90.32870960235596,,,,,-107.96899778975067,-5.5316467277940005,-10.3305115552422,-17.77114903675283,-1.7257111992055307,27.509352377341266,0.8,-4.764883939557867,-13.774970569469257,-0.5060600903332623,24.605025516054496,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
8,stock_ent_03,a40,holdout_robust_score,-144.96007330757868,-0.3838,-2.52,0.5,0.0,12.3855,8.58,0.66,7503872,90.33840084075928,,,,,-144.96007330757868,-12.928597341589114,-14.814747461753367,-31.005389841745,-2.7960451126636023,30.933004358710413,0.9,-13.580502107405445,-28.16645724933106,-2.4647863961657643,30.334890996943724,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,stock_ent_05,a40,holdout_robust_score,-85.57303392032637,-0.2154,-1.01,0.4808,0.0,6.9013,6.83,0.62,7733248,90.53423261642456,,,,,-85.57303392032637,0.49041122282655036,-7.640365038375057,-15.99514458726273,-1.5428698989084175,18.77911217065449,0.65,-1.660745897482093,-12.669748803821962,-0.11066460562231141,18.779112170654468,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
