description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
v2cfg_ent08_s1,0.0239,0.26,1.0,-136.2632484794079,0,402,a08aa600,2026-03-24T20:37:23
v2cfg_ent08_s2,-0.1691,-1.07,0.0,-95.52236497875322,0,396,9b3f8fae,2026-03-24T20:43:59
v2cfg_ent08_s3,-0.1691,-1.07,0.0,-95.52236497875322,0,383,8da9e578,2026-03-24T20:50:23
v2cfg_ent08_s4,0.0,0.0,0.0,-50.0,0,414,4568cc3c,2026-03-24T20:57:17
v2cfg_ent08_s5,-0.1691,-1.07,0.0,-95.52236497875322,0,383,be16d13d,2026-03-24T21:03:40
v2cfg_ent08_s6,-0.1691,-1.07,0.0,-95.52236497875322,0,376,a4677539,2026-03-24T21:09:56
v2cfg_ent08_s8,0.0,0.0,0.0,-50.0,0,378,88fd00a9,2026-03-24T21:16:14
v2cfg_ent08_s9,0.0239,0.26,1.0,-136.2632484794079,0,383,650f249b,2026-03-24T21:22:37
v2cfg_ent08_s10,0.0239,0.26,1.0,-136.2632484794079,0,384,568f8f00,2026-03-24T21:29:01
v2cfg_ent08_s11,0.0443,0.3,1.0,-52.69427452402225,0,387,1ee3f639,2026-03-24T21:35:28
v2cfg_ent08_s12,0.0,0.0,0.0,-50.0,0,383,f05b2a2e,2026-03-24T21:41:51
v2cfg_ent08_s13,0.0443,0.3,1.0,-52.69427452402225,0,349,fae3c0fa,2026-03-24T21:47:40
