description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
v2cfg_s1,0.0239,0.26,1.0,-136.2632484794079,0,208,0386d75b,2026-03-24T19:44:53
v2cfg_s2,0.0,0.0,0.0,-50.0,0,131,97ee9b5f,2026-03-24T19:47:05
v2cfg_s3,0.0,0.0,0.0,-50.0,0,67,f003d201,2026-03-24T19:48:12
v2cfg_s4,0.0239,0.26,1.0,-136.2632484794079,0,194,b4a36b91,2026-03-24T19:51:26
v2cfg_s5,-0.1691,-1.07,0.0,-95.52236497875322,0,223,efbcd2ae,2026-03-24T19:55:09
v2cfg_s6,-0.1691,-1.07,0.0,-95.52236497875322,0,202,39ee0a99,2026-03-24T19:58:31
v2cfg_s8,0.0,0.0,0.0,-50.0,0,126,ebcfe85c,2026-03-24T20:00:37
v2cfg_s9,0.0443,0.3,1.0,-52.69427452402225,0,403,992bbac2,2026-03-24T20:07:20
v2cfg_s10,0.0,0.0,0.0,-50.0,0,406,0b3aabe7,2026-03-24T20:14:06
v2cfg_s11,0.0443,0.3,1.0,-52.69427452402225,0,425,5742b48a,2026-03-24T20:21:11
v2cfg_s12,-0.1691,-1.07,0.0,-95.52236497875322,0,378,62d7767f,2026-03-24T20:27:29
