config_name,window,start_date,end_date,n_trades,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
default_live_daily,w1,2026-01-13,2026-03-14,31,0.044054363304868636,4.405436330486864,1.8025141176130166,1.784667994143618,-0.071568114322905,-7.1568114322905,61,10440.543633048686,0.000750759086210397,60.0
default_live_daily,w2,2025-11-14,2026-01-13,34,0.07346174755774802,7.346174755774802,0.8134932496726981,0.9472593768251956,-0.20811959999425567,-20.811959999425568,61,8272.30938200602,0.0019307776856391705,23.52941176470588
default_live_daily,w3,2025-09-15,2025-11-14,42,-0.253155383183396,-25.3155383183396,-3.9772697188948025,-4.523009276017864,-0.2798563086058662,-27.985630860586618,61,7468.4461681660405,-0.004655154927901943,23.809523809523807
sweep60_aggressive,w1,2026-01-13,2026-03-14,48,-0.2876310005401028,-28.76310005401028,-3.4163672996202505,-5.659065751080054,-0.2876310005401028,-28.76310005401028,24,7123.689994598972,-0.013448243521654414,20.833333333333336
sweep60_aggressive,w2,2025-11-14,2026-01-13,88,0.20728483552753488,20.728483552753488,10.187172981078948,4.743356693857446,-0.040862995908972924,-4.086299590897292,61,12142.789013370877,0.0032269675872011578,65.9090909090909
sweep60_aggressive,w3,2025-09-15,2025-11-14,112,0.12877713466012974,12.877713466012974,1.2707316788670582,1.4087451901377543,-0.1409119231483026,-14.09119231483026,61,11287.771346601297,0.002653016161675672,61.81818181818181
sweep60_balanced,w1,2026-01-13,2026-03-14,126,0.06125005122086568,6.125005122086568,2.0370944137394567,1.3717942333656177,-0.1428933098166584,-14.28933098166584,61,10612.500512208657,0.0011101686061060394,64.51612903225806
sweep60_balanced,w2,2025-11-14,2026-01-13,96,0.09017486691489768,9.017486691489768,1.2504673187476865,1.0388432362529665,-0.2187416637129576,-21.87416637129576,61,8263.906260154663,0.0023857336488642775,41.66666666666667
sweep60_balanced,w3,2025-09-15,2025-11-14,92,-0.318248922938425,-31.8248922938425,-1.8202520910717654,-2.8727448502480395,-0.3516570536846323,-35.16570536846323,58,6901.179621711091,-0.005839374376392257,41.30434782608695
sweep60_lowdd,w1,2026-01-13,2026-03-14,8,-0.12674825174825163,-12.674825174825163,-2.6375397117104398,-3.66624859694016,-0.1475901411540992,-14.759014115409922,61,8732.517482517484,-0.002190181890344184,25.0
sweep60_lowdd,w2,2025-11-14,2026-01-13,10,-0.25199800199800193,-25.199800199800194,-11.119695847819658,-8.280088653140718,-0.25199800199800193,-25.199800199800194,7,7480.019980019981,-0.0421216116275657,0.0
sweep60_lowdd,w3,2025-09-15,2025-11-14,8,-0.15246188197052143,-15.246188197052144,-3.2103746470908474,-4.573478167384253,-0.16933702991731336,-16.933702991731337,61,8475.381180294786,-0.0026885790189192706,0.0
