trial,window,start_date,end_date,n_trades,dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
1,w1,2026-01-13,2026-03-14,36,0.12,0.01,0.15,0.1,5,7,10,sma,0,0.6,0.03,-0.10955373253066755,-10.955373253066755,-1.72375078321959,-2.8577513513820447,-0.15849772403479084,-15.849772403479085,61,8904.462674693325,-0.0018535857458182026,22.22222222222222
1,w2,2025-11-14,2026-01-13,26,0.12,0.01,0.15,0.1,5,7,10,sma,0,0.6,0.03,-0.06941817012649554,-6.941817012649554,-1.3203392631921906,-1.993651145941832,-0.11631311308910972,-11.631311308910972,61,9305.818298735045,-0.0011384541131071095,46.15384615384615
1,w3,2025-09-15,2025-11-14,42,0.12,0.01,0.15,0.1,5,7,10,sma,0,0.6,0.03,-0.21019985060136887,-21.019985060136886,-0.9570184631213541,-2.1926211267042004,-0.21772701055449648,-21.772701055449648,61,7898.001493986311,-0.003419224112887865,19.047619047619047
2,w1,2026-01-13,2026-03-14,36,0.15,0.03,0.15,0.1,3,7,30,high,0,0.0,0.05,-0.2806299030209189,-28.06299030209189,-16.844938743607262,-16.005567292913007,-0.288435613324738,-28.8435613324738,8,7238.994792339674,-0.044446310656241106,16.666666666666664
2,w2,2025-11-14,2026-01-13,18,0.15,0.03,0.15,0.1,3,7,30,high,0,0.0,0.05,-0.23966396096974535,-23.966396096974535,-219975336.96232128,-14.619430724910112,-0.26560813946312145,-26.560813946312145,3,5665.012079636045,-0.11514035374592224,0.0
2,w3,2025-09-15,2025-11-14,36,0.15,0.03,0.15,0.1,3,7,30,high,0,0.0,0.05,-0.27312282533963567,-27.312282533963568,-21.712520532410917,-19.989997985992183,-0.27312282533963567,-27.312282533963568,8,6839.709290825222,-0.04361367267311526,0.0
3,w1,2026-01-13,2026-03-14,18,0.12,0.02,0.1,0.2,3,14,10,high,20,0.6,0.0,-0.2623908066795447,-26.239080667954468,-10.779209192326544,-7.583110772620635,-0.2623908066795447,-26.239080667954468,48,7428.620097403682,-0.006327700013315051,11.11111111111111
3,w2,2025-11-14,2026-01-13,17,0.12,0.02,0.1,0.2,3,14,10,high,20,0.6,0.0,-0.1585012070745428,-15.850120707454279,-0.6907783401944234,-0.9701421186312065,-0.2498841649723865,-24.98841649723865,61,8414.987929254572,-0.0020028468123040725,28.57142857142857
3,w3,2025-09-15,2025-11-14,22,0.12,0.02,0.1,0.2,3,14,10,high,20,0.6,0.0,-0.25091073281682236,-25.091073281682235,-3.4058961883629246,-4.203419408617788,-0.27154184613476445,-27.154184613476446,56,7490.892671831776,-0.004973457269390414,27.27272727272727
4,w1,2026-01-13,2026-03-14,34,0.12,0.02,0.07,0.15,5,14,20,sma,0,0.6,0.05,-0.3405006859640216,-34.05006859640216,-6.248963445926928,-8.306021668337022,-0.3405006859640216,-34.05006859640216,25,6594.993140359784,-0.016414744997794866,0.0
4,w2,2025-11-14,2026-01-13,24,0.12,0.02,0.07,0.15,5,14,20,sma,0,0.6,0.05,-0.2810409631913165,-28.10409631913165,-12.326439510355007,-13.0764565094196,-0.2810409631913165,-28.10409631913165,10,7189.590368086835,-0.03457943318214315,0.0
4,w3,2025-09-15,2025-11-14,26,0.12,0.02,0.07,0.15,5,14,20,sma,0,0.6,0.05,-0.29907454563762975,-29.907454563762975,-3.4130634265654862,-5.540357238695899,-0.29907454563762975,-29.907454563762975,27,7009.254543623702,-0.01248773679712745,7.6923076923076925
5,w1,2026-01-13,2026-03-14,14,0.12,0.02,0.07,0.2,5,7,20,high,50,0.6,0.0,-0.2552219698645747,-25.52219698645747,-22.822767918804054,-22.822767918804054,-0.2552219698645747,-25.52219698645747,13,7500.818987711652,-0.02404400699338537,0.0
5,w2,2025-11-14,2026-01-13,14,0.12,0.02,0.07,0.2,5,7,20,high,50,0.6,0.0,-0.39146815995913287,-39.146815995913286,-17.26377274522834,-12.433177600634037,-0.39146815995913287,-39.146815995913286,5,6085.318400408672,-0.10300958111391076,0.0
5,w3,2025-09-15,2025-11-14,40,0.12,0.02,0.07,0.2,5,7,20,high,50,0.6,0.0,-0.24196439254820126,-24.196439254820127,-4.071048657369026,-3.6113307787187545,-0.2721518771340752,-27.215187713407516,55,7580.3560745179875,-0.004789971345260553,25.0
6,w1,2026-01-13,2026-03-14,28,0.1,0.02,0.1,0.08,3,7,30,high,50,0.6,0.03,-0.25640615123178534,-25.640615123178534,-9.947188460638499,-8.65533137434868,-0.25640615123178534,-25.640615123178534,15,7410.401310750831,-0.019930379157914978,0.0
6,w2,2025-11-14,2026-01-13,6,0.1,0.02,0.1,0.08,3,7,30,high,50,0.6,0.03,-0.26148685234502717,-26.148685234502718,-499569929.9547377,-499569929.9547377,-0.26148685234502717,-26.148685234502718,2,7385.131476549728,-0.26148685234502717,0.0
6,w3,2025-09-15,2025-11-14,32,0.1,0.02,0.1,0.08,3,7,30,high,50,0.6,0.03,-0.2738686940391681,-27.38686940391681,-25.072731362448504,-24.11149934809485,-0.2738686940391681,-27.38686940391681,12,7261.313059608319,-0.028410988098330717,0.0
7,w1,2026-01-13,2026-03-14,28,0.12,0.02,0.07,0.08,5,7,20,high,20,0.6,0.0,-0.2641933781338042,-26.419337813380423,-11.895794307702129,-10.085060611114889,-0.2641933781338042,-26.419337813380423,35,7410.466014383324,-0.008838926153552196,0.0
7,w2,2025-11-14,2026-01-13,8,0.12,0.02,0.07,0.08,5,7,20,high,20,0.6,0.0,-0.28611722561342867,-28.611722561342866,-546626192.0119164,-546626192.0119164,-0.28611722561342867,-28.611722561342866,2,7138.827743865713,-0.28611722561342867,0.0
7,w3,2025-09-15,2025-11-14,40,0.12,0.02,0.07,0.08,5,7,20,high,20,0.6,0.0,-0.2290652078535858,-22.90652078535858,-4.7973013031507,-4.997176011159003,-0.25626700096320404,-25.626700096320405,42,7709.347921464142,-0.006049205704371864,20.0
8,w1,2026-01-13,2026-03-14,84,0.1,0.02,0.15,0.15,5,14,10,sma,0,0.0,0.05,-0.25005496428903295,-25.005496428903296,-3.9270541847983624,-5.052535985262411,-0.2549472258566092,-25.494722585660924,20,7499.45035710967,-0.01352124526905991,28.57142857142857
8,w2,2025-11-14,2026-01-13,82,0.1,0.02,0.15,0.15,5,14,10,sma,0,0.0,0.05,-0.24496382336252,-24.496382336252,-19.81680244811514,-13.646668328028746,-0.27088956822214993,-27.088956822214993,10,7016.060861819458,-0.0298308448706645,24.390243902439025
8,w3,2025-09-15,2025-11-14,50,0.1,0.02,0.15,0.15,5,14,10,sma,0,0.0,0.05,-0.2927570003376635,-29.27570003376635,-2.9571570069593522,-4.6559796476952675,-0.30340653991963645,-30.340653991963645,26,7072.429996623365,-0.012275976676783294,16.0
9,w1,2026-01-13,2026-03-14,46,0.12,0.03,0.07,0.2,5,7,30,sma,0,0.6,0.03,-0.40699416451967546,-40.699416451967544,-4.710442769122103,-6.946026347993799,-0.4106084031030242,-41.060840310302424,25,5930.0583548032455,-0.01982449701766524,17.391304347826086
9,w2,2025-11-14,2026-01-13,24,0.12,0.03,0.07,0.2,5,7,30,sma,0,0.6,0.03,-0.3735181331551692,-37.35181331551692,-13.047364151856236,-13.539167137141005,-0.3735181331551692,-37.35181331551692,10,6264.818668448308,-0.04805202931252376,0.0
9,w3,2025-09-15,2025-11-14,40,0.12,0.03,0.07,0.2,5,7,30,sma,0,0.6,0.03,-0.304398643475894,-30.439864347589403,-2.732978868191863,-4.477733536157657,-0.304398643475894,-30.439864347589403,27,6956.01356524106,-0.012214720249246986,35.0
10,w1,2026-01-13,2026-03-14,30,0.1,0.03,0.15,0.1,3,21,20,sma,0,0.6,0.05,-0.32869000794049896,-32.869000794049896,-5.696578678347235,-7.207018027815137,-0.3346672287271144,-33.46672287271144,25,6713.09992059501,-0.015542268494912312,6.666666666666667
10,w2,2025-11-14,2026-01-13,18,0.1,0.03,0.15,0.1,3,21,20,sma,0,0.6,0.05,-0.29688902349320906,-29.688902349320905,-12.925237758126524,-13.462924980202365,-0.29688902349320906,-29.688902349320905,10,7031.109765067909,-0.03686315635311393,0.0
10,w3,2025-09-15,2025-11-14,22,0.1,0.03,0.15,0.1,3,21,20,sma,0,0.6,0.05,-0.337384847605103,-33.7384847605103,-4.210256455782838,-6.484238533126782,-0.337384847605103,-33.7384847605103,27,6626.15152394897,-0.01463001773985974,9.090909090909092
