trial,dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,mean_return_pct,worst_return_pct,mean_sortino,worst_sortino,mean_max_drawdown_pct,worst_max_drawdown_pct,mean_trade_count
32,0.15,0.01,0.15,0.2,5,7,20,sma,50,0.6,0.03,0.08929215089658706,0.0,28414.222508944018,0.0,0.0,0.0,0.6666666666666666
17,0.25,0.02,0.15,0.08,5,7,30,sma,50,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.25,0.02,0.1,0.2,3,21,30,sma,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.12,0.03,0.07,0.15,5,7,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.25,0.01,0.15,0.1,5,7,30,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.2,0.01,0.07,0.08,5,7,30,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.25,0.02,0.1,0.08,3,21,30,sma,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.15,0.02,0.07,0.08,3,21,30,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.2,0.01,0.1,0.08,5,14,30,sma,20,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.2,0.03,0.1,0.1,5,14,30,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.12,0.02,0.15,0.1,5,7,30,sma,20,0.6,0.03,-0.545419652052357,-2.1517063057052472,54714.71081463704,-0.46809455973847647,-0.9708964372745347,-2.902061808103448,2.0
33,0.1,0.03,0.1,0.1,3,14,20,sma,50,0.0,0.03,0.009787371891246321,-4.05554564629083,-0.21215489784518984,-1.7349905202361906,-4.114160407811597,-6.582012203547961,9.333333333333334
18,0.1,0.02,0.15,0.2,5,21,30,sma,50,0.0,0.0,-1.6799866799866807,-5.039960039960042,-0.4687910530874467,-1.40637315926234,-1.7935984655514057,-5.380795396654217,0.6666666666666666
21,0.1,0.03,0.1,0.2,3,14,30,sma,50,0.0,0.0,-3.3599733599733614,-5.039960039960042,-530759.9396266398,-1592278.4810291564,-3.744709645369165,-5.691793108273531,1.3333333333333333
16,0.1,0.02,0.07,0.1,3,14,30,sma,20,0.0,0.05,-0.40580675549155165,-5.089910089910081,-39560.46511353156,-118682.54600561988,-2.33773427095297,-5.089910089910081,5.666666666666667
60,0.15,0.01,0.1,0.1,3,7,10,sma,20,0.6,0.0,-1.6966366966366937,-5.089910089910081,-0.8585346082092341,-2.575603824627702,-1.6966366966366937,-5.089910089910081,1.3333333333333333
11,0.25,0.01,0.15,0.08,3,14,10,sma,0,0.6,0.03,-1.7491776469686435,-6.137862137862121,-551876.7083948352,-1941306.6075493894,-2.4007389078284667,-6.7093947158413725,2.6666666666666665
47,0.1,0.03,0.15,0.1,5,14,10,sma,50,0.6,0.05,-3.711392510869548,-10.179820179820162,-0.867999452560067,-1.5745984642386193,-4.173882675403281,-10.179820179820162,6.666666666666667
12,0.25,0.03,0.07,0.08,5,14,10,high,50,0.6,0.0,-7.5018315018315,-12.27572427572428,-1.8338120438573433,-2.807805777682599,-9.002612641446019,-16.778067694567834,7.333333333333333
41,0.2,0.01,0.1,0.1,5,21,10,sma,0,0.6,0.05,-5.499334680618293,-12.724775224775204,-128621.66381751465,-385863.2992525577,-6.091389650455973,-13.704693274246601,4.666666666666667
39,0.25,0.01,0.15,0.1,3,7,10,high,50,0.6,0.0,-8.483183483183469,-12.724775224775204,-1.8721442371115966,-2.663417960396858,-9.681505749400626,-16.319742023426677,6.666666666666667
40,0.2,0.02,0.07,0.15,3,21,10,high,20,0.6,0.05,-7.90850069719782,-15.169830169830165,-2.9193962229227126,-7.788571657008587,-9.692386442773174,-19.98725814696252,6.0
56,0.2,0.03,0.07,0.08,5,21,30,high,50,0.0,0.05,-13.828082828935123,-16.959202957702622,-26.700347394120257,-74.7567995248358,-20.690112268051553,-28.447857799809697,39.666666666666664
53,0.15,0.02,0.07,0.15,3,14,10,sma,0,0.6,0.0,-12.474524439280344,-20.656340550608274,-1.4912687694592472,-3.7268449403206847,-17.086121788676582,-22.75474525474525,15.333333333333334
1,0.12,0.01,0.15,0.1,5,7,10,sma,0,0.6,0.03,-12.972391775284398,-21.019985060136886,-1.333702836511045,-1.72375078321959,-16.417928255946567,-21.772701055449648,34.666666666666664
22,0.15,0.02,0.07,0.1,3,21,10,high,20,0.0,0.03,2.309205020028641,-22.79120985805557,2.0504522452491805,-0.9682624052324345,-18.233537768079767,-27.485629609882885,45.333333333333336
25,0.15,0.01,0.15,0.08,5,21,20,high,50,0.0,0.03,-19.95980731930899,-24.845319453810443,-11645848.505832726,-34937522.54923542,-26.596881037902936,-27.48039938998023,40.0
13,0.12,0.02,0.15,0.2,3,21,30,high,20,0.6,0.0,-25.279622292837434,-25.728716354579163,-11.145182661249443,-23.564995353376652,-25.37289021920346,-25.728716354579163,14.0
3,0.12,0.02,0.1,0.2,3,14,10,high,20,0.6,0.0,-22.393424885696998,-26.239080667954468,-4.958627906961297,-10.779209192326544,-26.12722725955652,-27.154184613476446,19.0
24,0.25,0.01,0.1,0.15,5,21,10,high,0,0.6,0.03,-23.544648199500614,-26.431609336866302,-2.3504727347816394,-2.501086909871799,-23.84456530173921,-26.431609336866302,36.0
44,0.1,0.01,0.07,0.2,5,21,10,high,50,0.0,0.0,-22.932743987793078,-26.931744478182885,-48709092.77942243,-146127245.38490635,-27.862424204688498,-31.357032030658672,14.666666666666666
31,0.2,0.01,0.15,0.15,5,7,20,high,20,0.0,0.0,-10.287283122249667,-27.128752825767677,-2.278575342719545,-3.783535805540827,-18.885221423552082,-27.128752825767677,19.0
35,0.25,0.01,0.1,0.2,3,21,20,high,50,0.6,0.03,-12.033125627987635,-27.19289248886607,-36.44309842535365,-104.65476940179308,-12.141222336955167,-27.19289248886607,8.0
6,0.1,0.02,0.1,0.08,3,7,30,high,50,0.6,0.03,-26.392056587199352,-27.38686940391681,-166523321.6582192,-499569929.9547377,-26.392056587199352,-27.38686940391681,22.0
29,0.1,0.03,0.1,0.1,5,21,30,high,0,0.0,0.03,-26.697094004193158,-27.511393854174838,-74330066.03437324,-222990141.58115003,-28.32968354434226,-30.37852856539131,40.0
2,0.15,0.03,0.15,0.1,3,7,30,high,0,0.0,0.05,-26.447222977676663,-28.06299030209189,-73325125.1732602,-219975336.96232128,-27.572219270916506,-28.8435613324738,30.0
42,0.12,0.02,0.1,0.2,5,14,30,high,20,0.0,0.03,-22.56004077542163,-28.42479385769362,-8.185604736328445,-11.962120505905448,-27.402514840778906,-28.512371283567855,62.666666666666664
52,0.2,0.01,0.07,0.15,3,21,10,high,0,0.0,0.05,-25.762128522138653,-28.540759376334247,-72471901.91793717,-217415684.5002475,-27.615463994957732,-28.540759376334247,34.666666666666664
7,0.12,0.02,0.07,0.08,5,7,20,high,20,0.6,0.0,-25.979193720027286,-28.611722561342866,-182208736.23500398,-546626192.0119164,-26.885920157014567,-28.611722561342866,25.333333333333332
59,0.25,0.03,0.07,0.1,3,21,30,sma,0,0.6,0.0,-16.35085805821681,-28.691934814011127,-3.364207805960433,-5.361721497198323,-20.235225780745132,-28.691934814011127,28.666666666666668
8,0.1,0.02,0.15,0.15,5,14,10,sma,0,0.0,0.05,-26.25919293297388,-29.27570003376635,-8.900337879957618,-19.81680244811514,-27.64144446661319,-30.340653991963645,72.0
58,0.25,0.01,0.15,0.1,3,21,10,high,20,0.0,0.0,-9.196973452221961,-30.735099589630643,-0.5749776139517052,-1.4336149397014486,-13.908823665836882,-30.735099589630643,10.0
43,0.12,0.03,0.07,0.15,5,21,20,sma,0,0.6,0.03,-28.741350043345676,-30.960118552963866,-6.216487370082009,-10.781186250598644,-28.741350043345676,-30.960118552963866,37.333333333333336
15,0.2,0.01,0.07,0.1,3,7,30,high,0,0.6,0.05,-28.918008206250295,-31.772449400775987,-33.593513393268374,-68.25087836043596,-29.00026276426391,-31.772449400775987,22.666666666666668
34,0.25,0.01,0.1,0.1,5,7,30,high,0,0.0,0.05,-27.655217402015655,-32.86730787671796,-68188526.60844427,-204565556.25740388,-29.349320155867336,-32.86730787671796,44.0
38,0.1,0.02,0.07,0.08,5,7,20,sma,0,0.0,0.03,-29.052782030599488,-33.63672873147618,-21.53227602871439,-46.90728576154363,-30.390125562225297,-36.202378570107044,64.0
55,0.25,0.01,0.07,0.15,5,21,30,high,0,0.0,0.05,-28.515606501274345,-33.68574569116006,-81013631.31934707,-243040874.51697993,-29.73151063173329,-34.726692186249345,46.0
10,0.1,0.03,0.15,0.1,3,21,20,sma,0,0.6,0.05,-32.09879596796037,-33.7384847605103,-7.610690964085532,-12.925237758126524,-32.29803666084755,-33.7384847605103,23.333333333333332
23,0.12,0.02,0.07,0.08,5,14,30,high,0,0.6,0.03,-33.10772476286102,-33.85053774489564,-209524933.63620374,-628574775.4885081,-33.10772476286102,-33.85053774489564,27.333333333333332
4,0.12,0.02,0.07,0.15,5,14,20,sma,0,0.6,0.05,-30.687206493098927,-34.05006859640216,-7.329488794282473,-12.326439510355007,-30.687206493098927,-34.05006859640216,28.0
51,0.12,0.02,0.1,0.2,3,7,30,sma,0,0.0,0.03,-31.37325328652309,-34.45735266735237,-15.065061297283938,-36.40768764752315,-32.36204859137997,-36.940904452650116,48.666666666666664
57,0.15,0.02,0.1,0.08,5,14,20,high,0,0.0,0.05,-27.64800940878077,-34.813685251555704,-58182759.406841934,-174548246.8857987,-30.518476514618282,-35.96140173864688,40.666666666666664
28,0.15,0.02,0.1,0.15,5,14,30,high,0,0.0,0.05,-29.888210743064374,-35.00624533174737,-110419701.93627949,-331259069.5247946,-30.347422440036706,-35.60041682173823,35.333333333333336
14,0.2,0.01,0.07,0.15,5,21,20,high,0,0.0,0.0,-34.40177519096475,-35.383499328413535,-109441690.12684238,-328325058.82200515,-35.120885686523216,-35.597755450917,23.333333333333332
46,0.2,0.01,0.1,0.15,3,21,30,high,0,0.6,0.03,-32.73538728114014,-35.514956893283504,-31.201449643036437,-64.64928742940043,-32.81024184902842,-35.514956893283504,25.333333333333332
5,0.12,0.02,0.07,0.2,5,7,20,high,50,0.6,0.0,-29.62181741239696,-39.146815995913286,-14.719196440467142,-22.822767918804054,-30.62806689859276,-39.146815995913286,22.666666666666668
30,0.2,0.01,0.07,0.2,3,14,20,high,0,0.6,0.0,-35.872801620237986,-40.17763795657404,-29.68145074009301,-78.35456657547309,-35.94484055256323,-40.375997620084235,13.333333333333334
9,0.12,0.03,0.07,0.2,5,7,30,sma,0,0.6,0.03,-36.16369803835796,-40.699416451967544,-6.8302619297234015,-13.047364151856236,-36.28417265780292,-41.060840310302424,36.666666666666664
