dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,sma_filter_period,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.2,0.07,0.1,3,14,10,20,0.0,0.033931068931068877,3.3931068931068875,7.894985699046103,3.0243151967039563,-0.013157586424210149,-1.3157586424210148,30,10339.310689310689,0.0011785732391227234,100.0,4
0.2,0.07,0.1,7,7,10,20,0.0,0.033931068931068877,3.3931068931068875,7.894985699046103,3.0243151967039563,-0.013157586424210149,-1.3157586424210148,30,10339.310689310689,0.0011785732391227234,100.0,4
0.12,0.1,0.15,3,14,10,50,0.0,0.03487964269936528,3.4879642699365285,7.337229123621228,5.469633241208028,-0.013591609889641768,-1.3591609889641767,30,10348.796426993653,0.0011915699963801036,100.0,3
0.12,0.1,0.15,5,14,10,50,0.0,0.03487964269936528,3.4879642699365285,7.337229123621228,5.469633241208028,-0.013591609889641768,-1.3591609889641767,30,10348.796426993653,0.0011915699963801036,100.0,3
0.12,0.1,0.08,7,14,10,50,0.0,0.03487964269936528,3.4879642699365285,7.337229123621228,5.469633241208028,-0.013591609889641768,-1.3591609889641767,30,10348.796426993653,0.0011915699963801036,100.0,3
0.12,0.15,0.1,7,7,10,10,0.03,0.08838134048572603,8.838134048572604,7.177447699016608,3.6995701029200987,-0.04774969314326621,-4.77496931432662,30,10655.395093241095,0.0030460241310538896,58.139534883720934,86
0.12,0.07,0.15,3,7,10,50,0.0,0.02739462771435028,2.7394627714350284,5.788928182978029,4.550498583318719,-0.013591609889641768,-1.3591609889641767,30,10273.946277143503,0.0009401250823459909,100.0,3
0.12,0.07,0.08,3,14,10,50,0.0,0.02739462771435028,2.7394627714350284,5.788928182978029,4.550498583318719,-0.013591609889641768,-1.3591609889641767,30,10273.946277143503,0.0009401250823459909,100.0,3
0.12,0.07,0.15,3,14,10,50,0.0,0.02739462771435028,2.7394627714350284,5.788928182978029,4.550498583318719,-0.013591609889641768,-1.3591609889641767,30,10273.946277143503,0.0009401250823459909,100.0,3
0.12,0.1,0.08,7,7,10,50,0.0,0.0269994488538483,2.69994488538483,5.706146723932304,4.534450070488424,-0.013591609889641768,-1.3591609889641767,30,10269.994488538483,0.0009266813284174274,100.0,3
0.12,0.15,0.15,5,7,10,20,0.03,0.06813116870524882,6.813116870524882,5.361792126706108,3.0592721307014936,-0.03260307253023987,-3.260307253023987,30,10681.311687052488,0.002385217918364599,68.57142857142857,70
0.12,0.07,0.1,3,7,10,10,0.03,0.0640415812741425,6.4041581274142505,5.0827671105463414,3.0865682647402233,-0.045229283161129105,-4.52292831611291,30,10449.604818058957,0.002237869995589195,57.49999999999999,80
0.12,0.15,0.15,7,14,10,10,0.03,0.0641903400948665,6.4190340094866505,4.272086158228154,2.608863031066295,-0.055110809158964894,-5.511080915896489,30,10418.56204835416,0.00228558610485049,58.139534883720934,86
0.15,0.1,0.1,5,7,10,20,0.03,0.024273561398789934,2.4273561398789933,2.7688387995892874,1.686565191030436,-0.03491787695281005,-3.4917876952810047,30,10242.7356139879,0.0008761636545271427,61.53846153846154,26
0.12,0.15,0.1,7,7,10,20,0.03,0.021839296635735993,2.183929663573599,2.1385902430962345,1.060938568706113,-0.07189233593991681,-7.189233593991681,30,10218.39296635736,0.0008654971908406333,68.57142857142857,70
0.12,0.15,0.08,5,14,10,10,0.03,0.03320537273757281,3.320537273757281,1.6616309454515423,1.2977256025406716,-0.09391324234525827,-9.391324234525827,30,10115.21518190035,0.0013133178390484673,55.81395348837209,86
0.1,0.1,0.1,3,14,10,50,0.03,0.013744424446357335,1.3744424446357335,1.4198154963308085,1.7023575410218987,-0.018627222797781923,-1.8627222797781924,30,10137.444244463573,0.0004856969068337721,40.0,10
0.12,0.07,0.15,5,14,20,50,0.0,0.00644898970769118,0.6448989707691181,1.3344984689769641,1.142568684680809,-0.013591609889641768,-1.3591609889641767,30,10064.489897076912,0.00022899904349160216,100.0,4
0.12,0.07,0.1,7,14,20,50,0.0,0.00644898970769118,0.6448989707691181,1.3344984689769641,1.142568684680809,-0.013591609889641768,-1.3591609889641767,30,10064.489897076912,0.00022899904349160216,100.0,4
0.12,0.07,0.15,7,7,20,50,0.0,0.00644898970769118,0.6448989707691181,1.3344984689769641,1.142568684680809,-0.013591609889641768,-1.3591609889641767,30,10064.489897076912,0.00022899904349160216,100.0,4
0.12,0.1,0.15,3,7,20,50,0.0,0.006053810847189016,0.6053810847189016,1.2543534083720467,1.0868094620578788,-0.013591609889641768,-1.3591609889641767,30,10060.53810847189,0.00021528619182331938,100.0,4
