dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,max_leverage,enable_shorts,trailing_stop_pct,sma_filter_period,market_breadth_filter,mean_sortino,min_sortino,max_sortino,mean_return_pct,min_return_pct,max_return_pct,mean_drawdown_pct,worst_drawdown_pct,mean_n_trades,total_n_trades,mean_win_rate,n_windows,w0_sortino,w0_return_pct,w0_drawdown_pct,w0_n_trades,w1_sortino,w1_return_pct,w1_drawdown_pct,w1_n_trades,w2_sortino,w2_return_pct,w2_drawdown_pct,w2_n_trades
0.1,0.03,0.05,0.15,10,7,10,sma,5.0,False,0.05,20,0.7,1259145.3245145255,0.0,1897875.3779997425,3.9889876105629867,0.0,5.98348141584449,0.0,0.0,0.6666666666666666,2,66.66666666666667,3,1879560.595543834,5.983481415844471,0.0,1,1897875.3779997425,5.98348141584449,0.0,1,0.0,0.0,0.0,0
0.2,0.02,0.03,0.2,5,14,10,sma,3.0,False,0.05,10,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.05,0.05,0.2,5,14,10,sma,2.0,False,0.03,20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.03,0.03,0.08,5,7,10,sma,3.0,False,0.03,10,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.15,0.05,0.03,0.2,3,14,20,sma,5.0,False,0.0,20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.02,0.03,0.05,7,14,30,sma,5.0,False,0.03,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.05,0.1,0.15,10,7,10,sma,1.0,False,0.05,10,0.6,21752.769449967633,0.0,65258.308349902894,0.05770091976988625,0.0,0.17310275930965874,-0.08535721310363886,-0.2560716393109166,0.3333333333333333,1,33.333333333333336,3,65258.308349902894,0.17310275930965874,-0.2560716393109166,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.02,0.15,0.1,7,14,20,sma,3.0,False,0.0,20,0.6,11771.62023321858,0.0,35314.86069965574,0.02925645782788706,0.0,0.08776937348366118,-0.253536456943076,-0.7606093708292281,0.3333333333333333,1,33.333333333333336,3,35314.86069965574,0.08776937348366118,-0.7606093708292281,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.03,0.03,0.1,7,7,20,sma,1.0,False,0.05,20,0.7,74018.63392258754,0.0,222055.90176776264,0.23285048285048712,0.0,0.6985514485514613,0.0,0.0,0.3333333333333333,1,33.333333333333336,3,222055.90176776264,0.6985514485514613,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.02,0.05,0.08,10,30,20,sma,1.0,False,0.0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.15,0.05,0.2,0.1,10,7,10,sma,2.0,False,0.05,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.02,0.1,0.1,5,30,10,sma,1.0,False,0.0,20,0.7,281056.825020381,0.0,777912.1667112402,0.872719234788201,0.0,2.4450549450549444,-0.08535721310363886,-0.2560716393109166,0.6666666666666666,2,66.66666666666667,3,65258.308349902894,0.17310275930965874,-0.2560716393109166,1,777912.1667112402,2.4450549450549444,0.0,1,0.0,0.0,0.0,0
0.15,0.01,0.03,0.1,10,30,20,sma,2.0,False,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.01,0.2,0.1,7,21,20,sma,5.0,False,0.0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.03,0.05,0.1,3,7,10,sma,5.0,False,0.0,0,0.8,1259145.3245145255,0.0,1897875.3779997425,3.9889876105629867,0.0,5.98348141584449,0.0,0.0,0.6666666666666666,2,66.66666666666667,3,1879560.595543834,5.983481415844471,0.0,1,1897875.3779997425,5.98348141584449,0.0,1,0.0,0.0,0.0,0
0.2,0.03,0.07,0.05,5,21,20,sma,5.0,False,0.0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.15,0.03,0.15,0.05,10,21,20,sma,2.0,False,0.0,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.1,0.05,0.15,0.08,10,7,10,sma,5.0,False,0.03,20,0.6,242069.3991071561,0.0,726208.1973214683,0.7611855774591518,0.0,2.2835567323774555,0.0,0.0,0.3333333333333333,1,33.333333333333336,3,726208.1973214683,2.2835567323774555,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.03,0.07,0.15,3,7,30,sma,1.0,False,0.03,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
