config,symbol,robust_score,mean_return,mean_sortino,worst_return,p25_return,p25_sortino,profitable_pct,best_intensity,train_seconds,eval_seconds,checkpoint,arch,dim,layers,heads
proven_classic,BTCUSD,-0.040920,-0.0690,-4.71,-0.2013,-0.1697,-10.18,50.0,0.8,1078,5,binanceneural/checkpoints/archsweep_proven_classic_BTCUSD_20260323_232047/epoch_003.pt,classic,256,4,8
proven_classic,ETHUSD,-0.043768,-0.0729,-4.36,-0.2157,-0.1773,-9.46,50.0,1.0,1062,5,binanceneural/checkpoints/archsweep_proven_classic_ETHUSD_20260323_233849/epoch_002.pt,classic,256,4,8
proven_classic,SOLUSD,0.052824,0.1294,-0.89,-0.1602,-0.1110,-5.53,50.0,1.2,840,6,binanceneural/checkpoints/archsweep_proven_classic_SOLUSD_20260323_235635/epoch_004.pt,classic,256,4,8
proven_nano,BTCUSD,-0.020047,-0.0483,-3.57,-0.1621,-0.1334,-8.33,50.0,0.8,1070,7,binanceneural/checkpoints/archsweep_proven_nano_BTCUSD_20260324_001042/epoch_001.pt,nano,256,4,8
proven_nano,ETHUSD,-0.023267,-0.0540,-3.14,-0.1836,-0.1332,-7.22,50.0,0.8,1067,7,binanceneural/checkpoints/archsweep_proven_nano_ETHUSD_20260324_002838/epoch_004.pt,nano,256,4,8
proven_nano,SOLUSD,0.026123,0.0092,-0.90,-0.0949,-0.0737,-3.67,50.0,1.0,840,8,binanceneural/checkpoints/archsweep_proven_nano_SOLUSD_20260324_004633/epoch_001.pt,nano,256,4,8
proven_nano_deep,BTCUSD,-0.020810,-0.0526,-3.69,-0.1587,-0.1320,-8.03,50.0,0.8,1142,11,binanceneural/checkpoints/archsweep_proven_nano_deep_BTCUSD_20260324_010040/epoch_001.pt,nano,256,8,8
proven_nano_deep,ETHUSD,-0.033679,-0.0623,-3.66,-0.2083,-0.1523,-8.09,50.0,0.8,1145,11,binanceneural/checkpoints/archsweep_proven_nano_deep_ETHUSD_20260324_011953/epoch_002.pt,nano,256,8,8
proven_nano_deep,SOLUSD,0.024277,0.0145,-1.10,-0.1064,-0.0843,-4.20,50.0,1.2,901,12,binanceneural/checkpoints/archsweep_proven_nano_deep_SOLUSD_20260324_013908/epoch_001.pt,nano,256,8,8
proven_nano_wide,BTCUSD,-0.014091,-0.0446,-3.21,-0.1478,-0.1255,-7.32,50.0,0.8,1423,15,binanceneural/checkpoints/archsweep_proven_nano_wide_BTCUSD_20260324_015421/epoch_002.pt,nano,384,4,8
proven_nano_wide,ETHUSD,-0.029007,-0.0630,-3.54,-0.1846,-0.1426,-7.90,50.0,0.8,1421,16,binanceneural/checkpoints/archsweep_proven_nano_wide_ETHUSD_20260324_021819/epoch_005.pt,nano,384,4,8
proven_nano_wide,SOLUSD,0.025518,0.0459,-1.59,-0.1350,-0.1118,-5.93,50.0,1.2,1124,16,binanceneural/checkpoints/archsweep_proven_nano_wide_SOLUSD_20260324_024216/epoch_001.pt,nano,384,4,8
proven_nano_fee,BTCUSD,0.005466,-0.0240,-2.49,-0.1117,-0.0839,-6.01,50.0,0.8,1069,7,binanceneural/checkpoints/archsweep_proven_nano_fee_BTCUSD_20260324_030116/epoch_003.pt,nano,256,4,8
proven_nano_fee,ETHUSD,-0.010269,-0.0439,-2.62,-0.1581,-0.1018,-5.77,50.0,0.8,1061,7,binanceneural/checkpoints/archsweep_proven_nano_fee_ETHUSD_20260324_031912/epoch_001.pt,nano,256,4,8
proven_nano_fee,SOLUSD,-0.007392,-0.0292,-2.73,-0.1511,-0.1209,-6.94,50.0,1.0,841,7,binanceneural/checkpoints/archsweep_proven_nano_fee_SOLUSD_20260324_033701/epoch_001.pt,nano,256,4,8
proven_nano_multiwindow,BTCUSD,-0.027604,-0.0608,-4.02,-0.1700,-0.1403,-8.74,50.0,0.8,1143,8,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_BTCUSD_20260324_035109/epoch_001.pt,nano,256,4,8
proven_nano_multiwindow,ETHUSD,-0.033623,-0.0607,-3.26,-0.1611,-0.1259,-6.61,37.5,0.8,1138,7,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_ETHUSD_20260324_041020/epoch_005.pt,nano,256,4,8
proven_nano_multiwindow,SOLUSD,0.019328,0.0034,-1.26,-0.1086,-0.0868,-4.36,50.0,1.0,863,8,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_SOLUSD_20260324_042926/epoch_001.pt,nano,256,4,8
proven_nano_mem,BTCUSD,-0.088360,-0.0815,-5.08,-0.1864,-0.1591,-9.96,4.2,0.8,1104,8,binanceneural/checkpoints/archsweep_proven_nano_mem_BTCUSD_20260324_044356/epoch_001.pt,nano,256,4,8
proven_nano_mem,ETHUSD,-0.068338,-0.0837,-4.51,-0.2185,-0.1692,-9.50,29.2,0.8,1075,8,binanceneural/checkpoints/archsweep_proven_nano_mem_ETHUSD_20260324_050228/epoch_003.pt,nano,256,4,8
proven_nano_mem,SOLUSD,0.018371,0.0135,-1.53,-0.1221,-0.0989,-5.09,50.0,1.2,837,8,binanceneural/checkpoints/archsweep_proven_nano_mem_SOLUSD_20260324_052031/epoch_001.pt,nano,256,4,8
