config,symbol,robust_score,mean_return,mean_sortino,worst_return,p25_return,p25_sortino,profitable_pct,best_intensity,train_seconds,eval_seconds,checkpoint,arch,dim,layers,heads
proven_classic,BTCUSD,-0.024815,-0.0503,-3.89,-0.1840,-0.1301,-8.81,50.0,0.8,2506,11,binanceneural/checkpoints/archsweep_proven_classic_BTCUSD_20260323_131208/epoch_004.pt,classic,256,4,8
proven_classic,ETHUSD,-0.038867,-0.0603,-4.19,-0.2130,-0.1751,-9.91,50.0,0.8,2559,12,binanceneural/checkpoints/archsweep_proven_classic_ETHUSD_20260323_135403/epoch_005.pt,classic,256,4,8
proven_classic,SOLUSD,0.065878,0.0432,0.66,-0.0405,-0.0217,-0.66,58.3,1.2,748,12,binanceneural/checkpoints/archsweep_proven_classic_SOLUSD_20260323_143654/epoch_005.pt,classic,256,4,8
proven_nano,BTCUSD,-0.000628,-0.0350,-2.53,-0.1195,-0.0924,-6.17,50.0,0.8,2540,16,binanceneural/checkpoints/archsweep_proven_nano_BTCUSD_20260323_144934/epoch_004.pt,nano,256,4,8
proven_nano,ETHUSD,-0.009231,-0.0358,-2.57,-0.1518,-0.1210,-6.68,50.0,0.8,2548,17,binanceneural/checkpoints/archsweep_proven_nano_ETHUSD_20260323_153211/epoch_005.pt,nano,256,4,8
proven_nano,SOLUSD,0.093914,0.0510,1.09,-0.0100,0.0017,0.22,75.0,0.8,753,15,binanceneural/checkpoints/archsweep_proven_nano_SOLUSD_20260323_161456/epoch_005.pt,nano,256,4,8
proven_nano_deep,BTCUSD,0.005012,-0.0286,-2.20,-0.1117,-0.0830,-5.53,50.0,0.8,2633,30,binanceneural/checkpoints/archsweep_proven_nano_deep_BTCUSD_20260323_162744/epoch_003.pt,nano,256,8,8
proven_nano_deep,ETHUSD,-0.013644,-0.0368,-2.72,-0.1711,-0.1188,-7.77,50.0,0.8,2736,36,binanceneural/checkpoints/archsweep_proven_nano_deep_ETHUSD_20260323_171207/epoch_005.pt,nano,256,8,8
proven_nano_deep,SOLUSD,0.133353,0.0648,1.88,0.0160,0.0284,1.65,100.0,1.0,770,28,binanceneural/checkpoints/archsweep_proven_nano_deep_SOLUSD_20260323_175820/epoch_005.pt,nano,256,8,8
proven_nano_wide,BTCUSD,0.006184,-0.0281,-2.17,-0.1061,-0.0828,-5.43,50.0,0.8,2678,53,binanceneural/checkpoints/archsweep_proven_nano_wide_BTCUSD_20260323_181138/epoch_002.pt,nano,384,4,8
proven_nano_wide,ETHUSD,-0.012913,-0.0384,-2.75,-0.1599,-0.1275,-7.25,50.0,0.8,2636,37,binanceneural/checkpoints/archsweep_proven_nano_wide_ETHUSD_20260323_185708/epoch_003.pt,nano,384,4,8
proven_nano_wide,SOLUSD,0.124359,0.0560,1.34,0.0014,0.0110,0.75,100.0,1.0,765,45,binanceneural/checkpoints/archsweep_proven_nano_wide_SOLUSD_20260323_194141/epoch_005.pt,nano,384,4,8
proven_nano_fee,BTCUSD,0.010882,-0.0237,-2.50,-0.0905,-0.0646,-5.77,50.0,0.8,2781,21,binanceneural/checkpoints/archsweep_proven_nano_fee_BTCUSD_20260323_195511/epoch_002.pt,nano,256,4,8
proven_nano_fee,ETHUSD,0.002733,-0.0238,-1.99,-0.1299,-0.0990,-5.58,50.0,0.8,2756,21,binanceneural/checkpoints/archsweep_proven_nano_fee_ETHUSD_20260323_204153/epoch_002.pt,nano,256,4,8
proven_nano_fee,SOLUSD,0.127963,0.0568,1.67,0.0065,0.0232,1.46,100.0,0.8,744,18,binanceneural/checkpoints/archsweep_proven_nano_fee_SOLUSD_20260323_212810/epoch_005.pt,nano,256,4,8
proven_nano_multiwindow,BTCUSD,0.000713,-0.0323,-2.51,-0.1186,-0.0898,-6.17,50.0,0.8,2665,27,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_BTCUSD_20260323_214052/epoch_003.pt,nano,256,4,8
proven_nano_multiwindow,ETHUSD,-0.009483,-0.0333,-2.70,-0.1558,-0.1197,-7.08,50.0,0.8,2714,27,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_ETHUSD_20260323_222544/epoch_005.pt,nano,256,4,8
proven_nano_multiwindow,SOLUSD,0.099467,0.0536,1.20,-0.0097,0.0029,0.29,79.2,1.0,784,24,binanceneural/checkpoints/archsweep_proven_nano_multiwindow_SOLUSD_20260323_231124/epoch_005.pt,nano,256,4,8
proven_nano_mem,BTCUSD,0.001143,-0.0318,-2.39,-0.1194,-0.0916,-5.88,50.0,0.8,2912,27,binanceneural/checkpoints/archsweep_proven_nano_mem_BTCUSD_20260323_232452/epoch_003.pt,nano,256,4,8
proven_nano_mem,ETHUSD,-0.014667,-0.0393,-2.81,-0.1672,-0.1263,-7.59,50.0,0.8,2771,24,binanceneural/checkpoints/archsweep_proven_nano_mem_ETHUSD_20260324_001351/epoch_003.pt,nano,256,4,8
proven_nano_mem,SOLUSD,0.128077,0.0597,1.58,0.0070,0.0186,1.11,100.0,1.0,1180,46,binanceneural/checkpoints/archsweep_proven_nano_mem_SOLUSD_20260324_010027/epoch_005.pt,nano,256,4,8
