symbol,group,mae_pct,best_preaug,chronos2_val_mae,best_model,best_val_mae,has_lora,lora_count,lora_mae_pct,lora_improvement_pct,priority
QUBT,stock_extended,6.902220877736484,,,chronos2,0.033177754118364114,N,0,5.80746724208196,,1380.44
AAVEUSD,crypto_extra,4.490188406881009,,,chronos2,0.044901884068810086,N,0,,,898.04
AVAXUSD,crypto5,3.036247500296707,,,chronos2,0.02909300780652547,N,0,1.6160686888421576,,607.25
NET,stock_core,1.944329157603687,,,toto,0.016855251522423367,N,0,2.2672855361426385,,388.87
SHOP,stock_extended,1.2571685657659433,differencing,0.00011635002738330513,chronos2,0.40320831508012994,N,0,,,251.43
U,stock_extended,1.2158585407504894,rolling_norm,0.00575571833178401,toto,0.025358164085990287,N,0,,,243.17
UNIUSD,crypto_extra,1.5288430180504604,log_returns,,chronos2,0.020627460299030603,Y,1,1.6658917961952586,-8.964215195851772,229.33
EXPE,stock_extended,1.0830000090517173,differencing,0.1086951596547813,,,N,0,,,216.6
COIN,stock_core,1.0534122289416592,log_returns,0.0015975605929270387,toto,0.01606904230061846,N,0,,,210.68
LLY,stock_extended,0.9487632736122171,differencing,0.00015994455316103995,chronos2,0.19163163983137713,N,0,,,189.75
GOOG,stock_core,1.8687260820228602,,,toto,0.014546290494042796,Y,17,1.313044362032758,,186.87
INTC,stock_core,1.2449453629730358,differencing,0.0005485564470291138,toto,0.01667231119701601,Y,2,,,186.74
AMD,stock_core,0.9281272956456744,rolling_norm,0.0005738463951274753,chronos2,0.009312405065489682,N,0,,,185.63
ETHUSDT,binance_usdt,1.0730950432330693,differencing,0.004149169661104679,,,Y,2,,,160.96
TSLA,stock_core,0.7976523320400265,rolling_norm,0.031120512214278157,chronos2,0.011765772761477961,N,0,,,159.53
CRM,stock_extended,1.0232975680536034,differencing,2.3157936084317043e-05,chronos2,0.1347443154751982,Y,1,,,153.49
BKNG,stock_extended,0.7666220544076775,differencing,0.13572905033742882,,,N,0,,,153.32
ADSK,stock_extended,0.7451309384892228,differencing,0.0004130000015720725,toto,0.012927387839967344,N,0,,,149.03
COUR,stock_extended,0.7278315134667194,log_returns,0.005984566640108824,toto,0.02070422790669536,N,0,,,145.57
BTCUSDT,binance_usdt,0.9085716593040524,differencing,0.0029789465479552746,,,Y,1,,,136.29
ATOMUSDT,binance_usdt,0.904220063239336,,0.00904220063239336,,,Y,1,,,135.63
SOLUSDT,binance_usdt,1.2431176461048516,differencing,0.004410513676702976,,,Y,23,,,124.31
YELP,stock_extended,0.6076613745117082,differencing,0.106618619351874,,,N,0,1.123936043586582,-84.96091585378961,121.53
EBAY,stock_extended,0.5840109044938684,differencing,0.07010772505413332,,,N,0,1.3343614855936419,-128.48228951308073,116.8
AMZN,stock_core,0.5810900027620484,percent_change,0.000305977271636948,chronos2,0.013353819738726753,N,0,,,116.22
BAC,stock_extended,0.56553504404315,differencing,0.00024937596754170954,chronos2,0.007018124720855184,N,0,,,113.11
META,stock_core,0.554451009594024,differencing,0.00037998653715476394,toto,0.009148595916082223,N,0,0.8782488980954275,-58.39972926345509,110.89
WMT,stock_extended,0.5541298851014416,differencing,9.768847121449653e-06,,,N,0,,,110.83
JPM,stock_extended,0.5409956549569283,differencing,0.00033503808663226664,,,N,0,,,108.2
LTCUSDT,binance_usdt,0.7175150327384472,,0.007175150327384472,,,Y,1,,,107.63
GS,stock_extended,0.5362740742098523,differencing,0.0015179410111159086,chronos2,0.31259636505069055,N,0,,,107.25
TRIP,stock_extended,1.0699544983948852,differencing,0.018690104464477515,,,Y,53,1.7148024984635413,-60.2687311503469,107.0
LINKUSD,crypto_extra,0.6914760364688863,baseline,,chronos2,0.028674484954671044,Y,1,1.2610598098641883,-82.37216379962446,103.72
POLUSDT,binance_usdt,0.6773615255951881,,0.006773615255951881,,,Y,1,,,101.6
DOTUSDT,binance_usdt,0.6521730218082666,,0.006521730218082666,,,Y,1,,,97.83
NYT,stock_extended,0.4754398961488302,differencing,0.0030428931826636404,,,N,0,1.185969534819482,-149.44678484622375,95.09
SOLUSD,crypto5,0.6042963200420278,robust_scaling,,chronos2,0.01789270742756798,Y,1,3.5837133958314857,-493.03908976017664,90.64
ADBE,stock_core,0.4489915672667146,minmax_standard,0.000233616228797473,toto,0.013341627707370235,N,0,,,89.8
BCHUSDT,binance_usdt,0.5854451097548008,,0.005854451097548008,,,Y,1,,,87.82
UNIUSDT,binance_usdt,0.5591570399701595,,0.005591570399701595,,,Y,1,,,83.87
V,stock_extended,0.41547597095372873,differencing,0.0013315225951373577,chronos2,0.014137040901168801,N,0,,,83.1
SAP,stock_extended,0.4077736247241895,percent_change,0.0008051853510551155,chronos2,0.022524392602651072,N,0,,,81.55
DBX,stock_extended,0.537415045657748,differencing,0.004154011326318922,,,Y,1,1.6776042767524924,-212.16176218126805,80.61
AAPL,stock_core,0.39923240864950155,rolling_norm,0.0002423464902676642,toto,0.015103577520730771,N,0,,,79.85
MA,stock_extended,0.3991539672897477,differencing,0.0013908746186643839,chronos2,0.06872202615763774,N,0,,,79.83
PLTR,stock_core,0.7956771838536337,differencing,0.010481855761658386,chronos2,0.992909492975494,Y,13,2.7079938910901546,-240.33826104887973,79.57
SONY,stock_extended,0.39634676116611905,rolling_norm,0.00044342881301417947,,,N,0,,,79.27
XOM,stock_extended,0.3931244665699979,differencing,0.0002929602051153779,,,N,0,,,78.62
ADAUSDT,binance_usdt,0.5236380733549595,,0.005236380733549595,,,Y,1,,,78.55
MTCH,stock_extended,0.7830958311953561,differencing,0.009874053636977978,,,Y,13,56.342918395996094,-7094.894437120357,78.31
GE,stock_extended,0.3822018324790956,differencing,0.0002406486019026488,chronos2,0.40072696022119203,N,0,,,76.44
ETHUSD,crypto5,0.48757763017188793,detrending,,toto,0.013847725324620433,Y,1,3.0966796136150756,-535.1151943790754,73.14
MSFT,stock_core,0.3536589991928892,detrending,0.0017471895553171635,chronos2,0.018369865026193616,N,0,0.9741000734114399,-175.43483288549257,70.73
NFLX,stock_extended,0.46627626984129644,differencing,0.00023302817135117948,,,Y,1,,,69.94
AVAXUSDT,binance_usdt,0.4582813009619713,,0.004582813009619713,,,Y,1,,,68.74
AAVEUSDT,binance_usdt,0.42307060211896896,,0.00423070602118969,,,Y,1,,,63.46
LINKUSDT,binance_usdt,0.42023947462439537,,0.004202394746243954,,,Y,1,,,63.04
BTCUSD,crypto5,0.35559686750944103,rolling_norm,,toto,0.008935684487156922,Y,1,,,53.34
APTUSDT,binance_usdt,0.3240240504965186,,0.003240240504965186,,,Y,1,,,48.6
NVDA,stock_core,0.474918861435201,differencing,9.470542863709852e-05,toto,0.011880606787318646,Y,14,1.508712904372563,-217.67803447798318,47.49
BNBUSDT,binance_usdt,,,,,,Y,1,,,0.0
BONKUSDT,binance_usdt,,,,,,Y,1,,,0.0
DOGEUSD,crypto_extra,,,,,,N,0,,,0.0
DOGEUSDT,binance_usdt,,,,,,Y,1,,,0.0
FETUSDT,binance_usdt,,,,,,Y,1,,,0.0
FILUSDT,binance_usdt,,,,,,Y,1,,,0.0
ICPUSDT,binance_usdt,,,,,,Y,1,,,0.0
INJUSDT,binance_usdt,,,,,,Y,1,,,0.0
LTCUSD,crypto5,,,,,,N,0,,,0.0
NEARUSDT,binance_usdt,,,,,,Y,1,,,0.0
OPUSDT,binance_usdt,,,,,,Y,1,,,0.0
PEPEUSDT,binance_usdt,,,,,,Y,1,,,0.0
SEIUSDT,binance_usdt,,,,,,Y,1,,,0.0
SHIBUSDT,binance_usdt,,,,,,Y,1,,,0.0
SUIUSDT,binance_usdt,,,,,,Y,1,,,0.0
TIAUSDT,binance_usdt,,,,,,Y,1,,,0.0
TRXUSDT,binance_usdt,,,,,,Y,1,,,0.0
WLDUSDT,binance_usdt,,,,,,Y,1,,,0.0
XRPUSDT,binance_usdt,,,,,,Y,3,,,0.0
