checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/baseline_anneal_lr,8sym,30,14.69,430.14,3.035,18.55,24,70.8,1.2
autoresearch_crypto8_daily/baseline_anneal_lr,8sym,60,-1.13,-6.66,0.467,21.27,51,56.9,1.2
autoresearch_crypto8_daily/baseline_anneal_lr,8sym,90,-10.52,-36.29,-0.187,40.62,76,57.9,1.2
autoresearch_crypto8_daily/baseline_anneal_lr,8sym,120,-37.12,-75.62,-1.371,46.05,104,53.8,1.2
autoresearch_crypto8_daily/baseline_anneal_lr,8sym,180,-45.3,-70.57,-1.268,57.36,154,52.6,1.2
autoresearch_crypto8_daily/clip_anneal,8sym,30,6.86,124.09,1.705,18.55,22,63.6,1.4
autoresearch_crypto8_daily/clip_anneal,8sym,60,-11.82,-53.46,-0.693,28.07,49,57.1,1.2
autoresearch_crypto8_daily/clip_anneal,8sym,90,-35.44,-83.04,-2.056,51.91,76,50.0,1.2
autoresearch_crypto8_daily/clip_anneal,8sym,120,-23.96,-56.53,-0.557,51.09,104,53.8,1.2
autoresearch_crypto8_daily/clip_anneal,8sym,180,4.36,9.04,0.732,42.11,150,56.0,1.2
autoresearch_crypto8_daily/clip_vloss,8sym,30,12.99,342.1,2.709,18.55,25,72.0,1.2
autoresearch_crypto8_daily/clip_vloss,8sym,60,50.75,1114.5,5.014,21.29,50,64.0,1.2
autoresearch_crypto8_daily/clip_vloss,8sym,90,8.61,39.79,1.17,39.07,77,58.4,1.2
autoresearch_crypto8_daily/clip_vloss,8sym,120,5.68,18.31,0.924,39.58,106,55.7,1.1
autoresearch_crypto8_daily/clip_vloss,8sym,180,4.66,9.68,0.802,49.97,158,50.0,1.1
autoresearch_crypto8_daily/cosine_lr,8sym,30,-6.66,-56.78,-0.754,22.0,25,40.0,1.2
autoresearch_crypto8_daily/cosine_lr,8sym,60,-4.06,-22.27,0.089,25.74,48,41.7,1.2
autoresearch_crypto8_daily/cosine_lr,8sym,90,-1.99,-7.84,0.45,36.31,69,43.5,1.3
autoresearch_crypto8_daily/cosine_lr,8sym,120,-35.59,-73.77,-1.443,46.18,89,44.9,1.3
autoresearch_crypto8_daily/cosine_lr,8sym,180,-38.51,-62.69,-0.959,51.71,129,48.8,1.4
autoresearch_crypto8_daily/downside_pen,8sym,30,30.76,2513.87,6.118,14.93,25,76.0,1.2
autoresearch_crypto8_daily/downside_pen,8sym,60,19.45,194.88,2.651,14.93,53,58.5,1.1
autoresearch_crypto8_daily/downside_pen,8sym,90,-2.32,-9.06,0.37,36.72,79,55.7,1.1
autoresearch_crypto8_daily/downside_pen,8sym,120,-44.73,-83.53,-2.047,52.8,102,52.0,1.2
autoresearch_crypto8_daily/downside_pen,8sym,180,-38.89,-63.16,-0.915,52.75,153,51.6,1.2
autoresearch_crypto8_daily/ent_001,8sym,30,-5.6,-50.42,-0.311,28.81,18,61.1,1.7
autoresearch_crypto8_daily/ent_001,8sym,60,-13.48,-58.55,-0.737,32.23,41,53.7,1.5
autoresearch_crypto8_daily/ent_001,8sym,90,-35.23,-82.82,-2.053,45.32,69,50.7,1.3
autoresearch_crypto8_daily/ent_001,8sym,120,-12.26,-32.82,0.044,43.16,96,55.2,1.2
autoresearch_crypto8_daily/ent_001,8sym,180,-13.08,-24.74,0.179,45.94,147,49.0,1.2
autoresearch_crypto8_daily/ent_01,8sym,30,4.03,61.8,1.282,18.54,26,61.5,1.2
autoresearch_crypto8_daily/ent_01,8sym,60,7.57,55.86,1.285,26.19,54,57.4,1.1
autoresearch_crypto8_daily/ent_01,8sym,90,-10.53,-36.31,-0.257,26.88,78,56.4,1.2
autoresearch_crypto8_daily/ent_01,8sym,120,-13.31,-35.23,-0.049,32.69,108,56.5,1.1
autoresearch_crypto8_daily/ent_01,8sym,180,-33.63,-56.45,-0.722,51.97,156,51.9,1.2
autoresearch_crypto8_daily/ent_anneal,8sym,30,-16.08,-88.15,-2.135,22.43,25,48.0,1.2
autoresearch_crypto8_daily/ent_anneal,8sym,60,-8.49,-41.71,-0.311,24.16,54,51.9,1.1
autoresearch_crypto8_daily/ent_anneal,8sym,90,4.48,19.47,0.87,26.02,81,55.6,1.1
autoresearch_crypto8_daily/ent_anneal,8sym,120,-7.84,-22.0,0.279,30.25,103,55.3,1.2
autoresearch_crypto8_daily/ent_anneal,8sym,180,-15.08,-28.22,0.109,42.98,156,51.9,1.2
autoresearch_crypto8_daily/envs_256,8sym,30,-6.18,-53.98,-0.532,15.84,27,55.6,1.1
autoresearch_crypto8_daily/envs_256,8sym,60,35.32,529.59,4.206,15.84,53,52.8,1.1
autoresearch_crypto8_daily/envs_256,8sym,90,11.69,56.55,1.408,28.38,78,52.6,1.2
autoresearch_crypto8_daily/envs_256,8sym,120,-14.88,-38.74,-0.109,32.76,103,47.6,1.2
autoresearch_crypto8_daily/envs_256,8sym,180,-33.51,-56.29,-0.727,52.6,160,46.9,1.1
autoresearch_crypto8_daily/ep_360h,8sym,30,3.6,53.81,1.22,18.55,28,67.9,1.1
autoresearch_crypto8_daily/ep_360h,8sym,60,-24.33,-81.66,-2.033,31.66,53,52.8,1.1
autoresearch_crypto8_daily/ep_360h,8sym,90,-48.04,-92.97,-3.417,53.38,79,46.8,1.1
autoresearch_crypto8_daily/ep_360h,8sym,120,-51.71,-89.08,-2.387,54.16,104,48.1,1.2
autoresearch_crypto8_daily/ep_360h,8sym,180,-65.54,-88.47,-2.423,68.68,162,49.4,1.1
