intensity,min_edge,risk_weight,total_return,sortino,final_cash,final_inventory,open_symbol,financing_cost_paid
2.0,0.0,0.3,0.08004009064129677,6.1215508922072415,10800.400906412968,0.0,,0.0
2.0,0.0,0.05,0.07797005271316448,5.986797698741505,10779.700527131645,0.0,,0.0
2.0,0.0,0.1,0.07797005271316448,5.986797698741505,10779.700527131645,0.0,,0.0
2.0,0.0,0.2,0.07797005271316448,5.986797698741505,10779.700527131645,0.0,,0.0
2.0,0.0005,0.3,0.0651656522124731,5.138529354552445,0.0,1251.3289951422776,LINKUSD,0.0
2.0,0.0005,0.05,0.06312412308875828,5.004999189261467,0.0,1248.9306596518065,LINKUSD,0.0
2.0,0.0005,0.1,0.06312412308875828,5.004999189261467,0.0,1248.9306596518065,LINKUSD,0.0
2.0,0.0005,0.2,0.06312412308875828,5.004999189261467,0.0,1248.9306596518065,LINKUSD,0.0
1.0,0.0005,0.05,0.0593570987644498,10.092426677674228,10593.570987643345,1.355211860978285e-10,LINKUSD,0.0
1.0,0.0005,0.1,0.0593570987644498,10.092426677674228,10593.570987643345,1.355211860978285e-10,LINKUSD,0.0
1.0,0.0005,0.2,0.0593570987644498,10.092426677674228,10593.570987643345,1.355211860978285e-10,LINKUSD,0.0
1.0,0.0005,0.3,0.0593570987644498,10.092426677674228,10593.570987643345,1.355211860978285e-10,LINKUSD,0.0
1.0,0.001,0.05,0.056543745715750264,9.68465086192642,10565.437457156351,1.3516128012967348e-10,LINKUSD,0.0
1.0,0.001,0.1,0.056543745715750264,9.68465086192642,10565.437457156351,1.3516128012967348e-10,LINKUSD,0.0
1.0,0.001,0.2,0.056543745715750264,9.68465086192642,10565.437457156351,1.3516128012967348e-10,LINKUSD,0.0
1.0,0.001,0.3,0.056543745715750264,9.68465086192642,10565.437457156351,1.3516128012967348e-10,LINKUSD,0.0
2.0,0.001,0.3,0.044476817069145184,3.6820809262477527,0.0,1227.0242879478694,LINKUSD,0.0
2.0,0.001,0.05,0.042474940800732476,3.548224735856901,0.0,1224.6725356038573,LINKUSD,0.0
2.0,0.001,0.1,0.042474940800732476,3.548224735856901,0.0,1224.6725356038573,LINKUSD,0.0
2.0,0.001,0.2,0.042474940800732476,3.548224735856901,0.0,1224.6725356038573,LINKUSD,0.0
2.0,0.002,0.3,0.04164550460112132,3.50399641244149,0.0,1223.6981354586421,LINKUSD,0.0
2.0,0.002,0.05,0.039649054912931206,3.3690235094259657,-1.8189894035458565e-12,1221.3527581203982,LINKUSD,0.0
2.0,0.002,0.1,0.039649054912931206,3.3690235094259657,-1.8189894035458565e-12,1221.3527581203982,LINKUSD,0.0
2.0,0.002,0.2,0.039649054912931206,3.3690235094259657,-1.8189894035458565e-12,1221.3527581203982,LINKUSD,0.0
1.0,0.0,0.05,0.029717584166511733,3.8004360287372987,2.4232603800974175,1209.4008454009086,LINKUSD,0.0
1.0,0.0,0.1,0.029717584166511733,3.8004360287372987,2.4232603800974175,1209.4008454009086,LINKUSD,0.0
1.0,0.0,0.2,0.029717584166511733,3.8004360287372987,2.4232603800974175,1209.4008454009086,LINKUSD,0.0
1.0,0.0,0.3,0.029717584166511733,3.8004360287372987,2.4232603800974175,1209.4008454009086,LINKUSD,0.0
1.0,0.002,0.05,0.02896803556855484,3.8317818744815404,10289.680355684428,1.3163358115939962e-10,LINKUSD,0.0
1.0,0.002,0.1,0.02896803556855484,3.8317818744815404,10289.680355684428,1.3163358115939962e-10,LINKUSD,0.0
1.0,0.002,0.2,0.02896803556855484,3.8317818744815404,10289.680355684428,1.3163358115939962e-10,LINKUSD,0.0
1.0,0.002,0.3,0.02896803556855484,3.8317818744815404,10289.680355684428,1.3163358115939962e-10,LINKUSD,0.0
