exp_id,symbols,strategies,entry_mode,mkt_order,metric,min_goodness,mean_goodness,min_return_pct,mean_return_pct,min_sortino,best_lookback,best_switch,best_sit_out,best_selection,status
add_aapl_core5_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",core5,edge_rank,True,p10,2.9381,3.3502,0.2976,0.5012,2.6193,18,0.005,-0.001,sticky,done
add_aapl_core5_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",core5,edge_rank,True,p10,2.9381,3.3502,0.2976,0.5012,2.6193,18,0.005,-0.001,sticky,done
add_aapl_prod7_nonyt_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,edge_rank,True,p10,2.2255,2.9859,0.2345,0.4892,2.0661,18,0.005,-0.001,sticky,done
add_aapl_prod7_nonyt_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,edge_rank,True,p10,2.2255,2.9859,0.2345,0.4892,2.0661,18,0.005,-0.001,sticky,done
add_meta_prod7_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,edge_rank,True,p10,2.2255,3.8169,0.2345,0.6783,2.0661,16,0.005,-0.001,sticky,done
add_meta_prod7_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,edge_rank,True,p10,2.2255,3.8169,0.2345,0.6783,2.0661,16,0.005,-0.001,sticky,done
add_meta_prod7_nonyt_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,edge_rank,True,p10,2.2255,3.8169,0.2345,0.6783,2.0661,16,0.005,-0.001,sticky,done
add_meta_prod7_nonyt_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,edge_rank,True,p10,2.2255,3.8169,0.2345,0.6783,2.0661,16,0.005,-0.001,sticky,done
add_net_prod7_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NET",prod7,edge_rank,True,p10,2.2255,3.0912,0.2345,0.4892,2.0661,18,0.005,-0.001,sticky,done
add_net_prod7_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NET",prod7,edge_rank,True,p10,2.2255,3.0912,0.2345,0.4892,2.0661,18,0.005,-0.001,sticky,done
add_net_prod7_nonyt_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NET",prod7_nonyt,edge_rank,True,p10,2.1471,2.6981,0.2789,0.2789,1.8287,18,0.0,0.0,sticky,done
add_net_prod7_nonyt_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NET",prod7_nonyt,edge_rank,True,p10,2.1471,2.6981,0.2789,0.2789,1.8287,18,0.0,0.0,sticky,done
add_msft_prod7_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,edge_rank,True,p10,2.1305,2.6781,0.2789,0.2789,1.8075,20,0.0,0.0,sticky,done
add_msft_prod7_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,edge_rank,True,p10,2.1305,2.6781,0.2789,0.2789,1.8075,20,0.0,0.0,sticky,done
add_msft_prod7_nonyt_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,edge_rank,True,p10,2.1305,2.6781,0.2789,0.2789,1.8075,20,0.0,0.0,sticky,done
add_msft_prod7_nonyt_emedgerank_mkt1_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,edge_rank,True,p10,2.1305,2.6781,0.2789,0.2789,1.8075,20,0.0,0.0,sticky,done
add_aapl_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,edge_rank,False,p10,1.5652,2.8210,0.1726,0.4887,1.2898,20,0.0,0.0,winner,done
add_aapl_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,first_trigger,False,p10,1.5543,2.8133,0.1726,0.4887,1.2756,20,0.0,0.0,winner,done
add_meta_prod7_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,edge_rank,False,p10,1.5543,2.9721,0.1726,0.5034,1.2756,18,0.0,0.0,winner,done
add_meta_prod7_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,first_trigger,False,p10,1.5543,2.9721,0.1726,0.5034,1.2756,18,0.0,0.0,winner,done
add_meta_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,edge_rank,False,p10,1.5543,2.9850,0.1726,0.5170,1.2756,20,0.0,0.0,winner,done
add_meta_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,first_trigger,False,p10,1.5543,2.9850,0.1726,0.5170,1.2756,20,0.0,0.0,winner,done
add_msft_prod7_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,edge_rank,False,p10,1.5543,2.9676,0.1726,0.5034,1.2756,18,0.0,0.0,winner,done
add_msft_prod7_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,first_trigger,False,p10,1.5543,2.9676,0.1726,0.5034,1.2756,18,0.0,0.0,winner,done
add_msft_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,edge_rank,False,p10,1.5543,2.9803,0.1726,0.5170,1.2756,20,0.0,0.0,winner,done
add_msft_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,first_trigger,False,p10,1.5543,2.9803,0.1726,0.5170,1.2756,20,0.0,0.0,winner,done
add_tsla_prod7_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7,edge_rank,False,p10,1.3980,2.8204,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7,edge_rank,False,p10,1.3980,2.8204,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7,first_trigger,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7,first_trigger,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7_nonyt,edge_rank,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7_nonyt,edge_rank,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7_nonyt,first_trigger,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
add_tsla_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,TSLA",prod7_nonyt,first_trigger,False,p10,1.3980,2.8328,0.1781,0.5440,1.0538,16,0.005,-0.001,sticky,done
no_nyt_prod7_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.001,sticky,done
no_nyt_prod7_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.002,sticky,done
no_nyt_prod7_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.001,sticky,done
no_nyt_prod7_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.002,sticky,done
no_nyt_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7_nonyt,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.005,-0.001,sticky,done
no_nyt_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7_nonyt,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,24,0.0025,-0.001,sticky,done
no_nyt_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7_nonyt,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.005,-0.001,sticky,done
no_nyt_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7_nonyt,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,24,0.0025,-0.001,sticky,done
prod7_prod7_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.001,sticky,done
