algo,constrained,seed,steps,status,reason,wall_sec,sps,median_5bps,p10_5bps,sortino_5bps,max_dd_5bps,n_neg_5bps,result_path
ppo,off,0,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s0_20260408_070738.json
ppo,off,1,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s1_20260408_070742.json
ppo,off,2,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s2_20260408_070746.json
ppo,off,3,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s3_20260408_070750.json
ppo,off,4,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s4_20260408_070753.json
ppo,on,0,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s0_20260408_070756.json
ppo,on,1,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s1_20260408_070800.json
ppo,on,2,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s2_20260408_070804.json
ppo,on,3,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s3_20260408_070808.json
ppo,on,4,2000000,error,"AcceleratorError: CUDA error: out of memory
Search for `cudaErrorMemoryAllocation' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
",0.000,0.00,,,,,,/nvme0n1-disk/code/stock-prediction/fp4/bench/results/fp4_s4_20260408_070812.json
