index,timestamp,symbol,side,qty,price,notional,fee,cash_delta,slip_bps
0,2025-02-20T22:53:14.669196+00:00,AAPL,sell,1.000000,218.5985,218.60,0.1093,218.49,7.3837
1,2025-02-21T04:53:14.669196+00:00,AAPL,buy,1.000000,201.2450,201.25,0.1006,-201.35,36.4916
2,2025-02-21T04:53:14.669196+00:00,AAPL,buy,66.300000,203.6707,13503.36,6.7517,-13510.12,36.4982
3,2025-02-21T06:53:14.669196+00:00,AAPL,sell,66.300000,199.8700,13251.38,6.6257,13244.76,33.0262
0,2025-02-20T22:53:14.669196+00:00,MSFT,buy,1.000000,208.1228,208.12,0.1041,-208.23,32.9175
1,2025-02-20T22:53:14.669196+00:00,AAPL,sell,61.581356,218.5983,13461.58,6.7308,13454.85,7.3903
2,2025-02-21T00:53:14.669196+00:00,AAPL,sell,50.850000,208.8236,10618.68,5.3093,10613.37,24.6701
3,2025-02-21T02:53:14.669196+00:00,AAPL,sell,40.050000,206.6464,8276.19,4.1381,8272.05,55.9956
4,2025-02-21T04:53:14.669196+00:00,AAPL,buy,152.481356,201.2450,30686.11,15.3431,-30701.45,36.5068
5,2025-02-21T04:53:14.669196+00:00,AAPL,buy,30.652376,203.6706,6242.99,3.1215,-6246.11,36.4946
6,2025-02-21T06:53:14.669196+00:00,AAPL,buy,53.240246,202.0350,10756.39,5.3782,-10761.77,33.0249
7,2025-02-21T08:53:14.669196+00:00,MSFT,sell,1.000000,198.0429,198.04,0.0990,197.94,83.4775
8,2025-02-21T10:53:14.669196+00:00,AAPL,sell,83.892623,197.0600,16531.88,8.2659,16523.61,72.6318
9,2025-02-21T10:53:14.669196+00:00,MSFT,buy,1.000000,199.2304,199.23,0.0996,-199.33,40.3357
10,2025-02-21T10:53:14.669196+00:00,AAPL,sell,34.253538,192.2237,6584.34,3.2922,6581.05,72.6268
11,2025-02-21T12:53:14.669196+00:00,AAPL,sell,42.762806,191.5328,8190.48,4.0952,8186.39,12.3684
12,2025-02-21T14:53:14.669196+00:00,AAPL,buy,77.016344,197.1761,15185.78,7.5929,-15193.38,84.7035
13,2025-02-21T14:53:14.669196+00:00,AAPL,buy,1.000000,199.0215,199.02,0.0995,-199.12,84.6961
14,2025-02-21T16:53:14.669196+00:00,MSFT,sell,1.000000,205.2100,205.21,0.1026,205.11,59.7225
15,2025-02-21T18:53:14.669196+00:00,MSFT,buy,29.043750,215.4872,6258.56,3.1293,-6261.69,25.4603
16,2025-02-21T20:53:14.669196+00:00,AAPL,sell,1.000000,185.1350,185.13,0.0926,185.04,67.9257
17,2025-02-21T20:53:14.669196+00:00,MSFT,buy,23.279262,217.9886,5074.61,2.5373,-5077.15,60.3955
18,2025-02-21T20:53:14.669196+00:00,AAPL,sell,1.000000,180.8929,180.89,0.0904,180.80,67.9257
19,2025-02-21T22:53:14.669196+00:00,MSFT,buy,18.748168,215.7670,4045.24,2.0226,-4047.26,31.9434
