trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,baseline_anneal_lr,holdout_robust_score,-145.09418269568337,-0.1549,-0.72,0.5234,0.0,76.9979,34.36,0.92,7143424,300.8454809188843,,,,,-145.09418269568337,-14.865534629313638,-20.18944085213851,-25.202791241710205,-2.896083078035874,27.829376633205012,1.0,-11.948511977384351,-25.202791241710205,-1.351472837913826,27.829376633205005,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,obs_norm,holdout_robust_score,-117.90838070054212,-0.1191,-1.16,0.5133,0.0,168.8932,49.27,0.95,6815744,301.31386399269104,,,,,-117.90838070054212,-10.22432979775256,-13.909182296522118,-15.266692190095727,-2.46763302764856,23.719041696835188,1.0,-9.78678006162072,-15.266692190095727,-1.5266628760301677,23.719041696835188,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,cosine_lr,holdout_robust_score,-45.976025327405765,0.0888,1.82,0.598,100.0,15.9042,20.21,0.8,7405568,300.8154685497284,,,,,-45.976025327405765,7.367722724044038,-2.6993149500114124,-2.7716098833627254,0.06265288246146526,26.216314136242968,0.3,8.77932915815354,-2.7716098833627254,2.0706080667035365,26.216314136242946,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,ent_anneal,holdout_robust_score,-134.83614555744447,-0.1115,-0.0,0.527,0.0,68.8968,35.37,0.89,7241728,300.783997297287,,,,,-134.83614555744447,-12.160157607959352,-15.504381917993323,-19.761414094017347,-2.088192836002457,32.607994204151744,1.0,-13.910985531978131,-19.761414094017347,-1.7646353856392216,32.607994204151744,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,clip_anneal,holdout_robust_score,-94.3555531089989,0.0012,0.93,0.5463,52.0,94.5488,40.38,0.92,7503872,300.9534080028534,,,,,-94.3555531089989,-0.9152259291917109,-10.903272082356912,-14.186321563592191,-1.6049382803015995,33.922692321966224,0.5,0.49460330452041484,-14.186321563592191,0.6556966337411674,33.922692321966224,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,clip_vloss,holdout_robust_score,-115.50725403738353,-0.1047,0.0,0.5173,0.0,92.6306,38.21,0.91,7012352,300.8976948261261,,,,,-115.50725403738353,-6.755012606478976,-11.692030013626463,-13.118707047234256,-1.821251155177515,28.619079433588084,1.0,-5.393458356193187,-11.692030013626463,-0.5211078539149535,28.619079433588055,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,wd_005,holdout_robust_score,-133.01949496180333,-0.169,-0.76,0.4844,0.0,90.9746,35.67,0.92,7438336,301.588011264801,,,,,-133.01949496180333,-13.739688295802528,-15.400439255255387,-15.527908263258833,-2.182907754493773,36.38671228610059,1.0,-14.61979419254667,-15.527908263258833,-2.0442735440411948,36.38671228610059,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,wd_01,holdout_robust_score,-134.4038972067424,-0.1342,-0.52,0.4902,0.0,89.5388,36.93,0.91,7700480,300.5201323032379,,,,,-134.4038972067424,-11.497052934898843,-13.568835751036184,-17.035133010257848,-1.8392641211462104,37.823801939653386,1.0,-10.95747256759394,-17.035133010257848,-1.3360780104279224,37.823801939653386,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,wd_05,holdout_robust_score,-183.22735403287936,-0.2787,-2.74,0.4083,0.0,91.2701,37.65,0.91,7340032,301.2315101623535,,,,,-183.22735403287936,-25.39047270346628,-28.551300578171507,-31.336130820865765,-5.027126072595816,41.24577472532447,1.0,-24.185821384051742,-31.336130820865765,-3.8419886050620264,41.24577472532447,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,wd_1,holdout_robust_score,-89.951913946589,-0.0334,0.48,0.469,0.0,86.3759,38.06,0.91,7536640,300.34972739219666,,,,,-89.951913946589,-2.2658270489463592,-12.73785806592053,-18.219284307397864,-1.4752840683606956,31.52404806686981,0.3,3.3611391292481314,-18.219284307397864,1.1922530844677435,31.52404806686981,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
