trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,-0.1044,0.61,0.5243,0.0,110.5637,33.34,0.91,7241728,300.27554178237915,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
1,obs_norm,-0.2279,-0.13,0.5055,0.0,250.0476,47.65,0.95,7077888,300.4805200099945,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.0,0.0,0.99
2,cosine_lr,-0.0919,0.73,0.5351,0.0,19.3885,19.81,0.79,7372800,300.4771661758423,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.0,0.0,0.99
3,ent_anneal,-0.0736,0.75,0.5225,1.0,94.5195,32.57,0.88,7340032,301.49057054519653,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.0,0.0,0.99
4,clip_anneal,0.1884,1.85,0.5463,100.0,110.0813,33.97,0.91,7405568,301.1381423473358,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.0,0.0,0.99
5,clip_vloss,-0.1827,0.16,0.4638,0.0,118.7574,36.59,0.89,7012352,300.764488697052,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
6,wd_005,-0.1709,0.26,0.4822,0.0,104.9706,34.81,0.91,7503872,301.41789269447327,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
7,wd_01,0.0166,1.2,0.5079,75.0,107.6327,34.46,0.9,7110656,300.990442276001,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
8,wd_05,0.0873,1.4,0.525,100.0,96.0245,34.31,0.9,7372800,301.02475690841675,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
9,wd_1,-0.2393,-0.25,0.4758,0.0,126.0251,36.63,0.9,7045120,300.2878985404968,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
10,slip_5bps,-0.1395,0.41,0.5061,0.0,104.2295,34.46,0.91,7143424,301.35791635513306,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.0,0.0,0.99
11,slip_10bps,0.1435,1.71,0.5508,100.0,89.8782,32.28,0.9,7307264,300.60498213768005,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.0,0.0,0.99
12,fee_2x,-0.0129,1.11,0.5141,34.0,98.0458,33.6,0.9,7274496,300.8145868778229,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
13,trade_pen_01,-0.114,0.61,0.4868,0.0,111.7189,34.99,0.91,6881280,300.67401027679443,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.01,0.99
14,trade_pen_05,-0.1718,0.24,0.4946,0.0,126.3373,37.85,0.91,7929856,301.3108103275299,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.05,0.99
15,downside_pen,-0.3076,-0.34,0.4731,0.0,103.3529,35.5,0.91,7634944,300.3975193500519,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
16,smooth_ds,-0.128,0.37,0.4771,0.0,108.9815,34.32,0.9,7471104,300.8118824958801,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
17,reg_combo_1,-0.0564,0.84,0.5197,0.0,106.9262,35.12,0.91,7143424,301.1732449531555,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.0,0.01,0.99
