trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,tp_03,-0.2316,-0.28,0.4899,0.0,50.027,36.93,0.94,7176192,300.4937107563019,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.99
1,tp_04,-0.2456,-0.63,0.5004,0.0,52.1505,37.35,0.94,6651904,300.89690041542053,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.04,0.99
2,tp_06,-0.0215,0.8,0.5073,26.0,44.7837,36.14,0.94,6782976,300.44883489608765,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.06,0.99
3,tp_08,-0.1885,-0.14,0.518,0.0,50.8317,40.93,0.96,7045120,300.77436542510986,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.08,0.99
4,tp_10,0.0886,1.24,0.5402,96.0,41.2601,36.41,0.97,6979584,300.53897523880005,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.99
5,tp_15,0.1647,1.86,0.5512,100.0,27.5394,34.23,0.97,7045120,300.81729388237,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.15,0.99
6,tp_20,0.1794,1.59,0.5536,100.0,19.6297,34.34,0.98,6815744,300.58553528785706,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.2,0.99
7,tp05_cosine,-0.249,-0.44,0.4889,0.0,11.0555,22.41,0.84,6881280,301.71208119392395,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.05,0.99
8,tp04_cosine,0.1303,1.44,0.5754,99.0,11.4241,21.82,0.8,6651904,300.93284130096436,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.04,0.99
9,tp06_cosine,-0.1473,-0.07,0.4755,0.0,12.2909,26.68,0.88,7274496,301.28695940971375,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.06,0.99
10,tp08_cosine,-0.303,-1.15,0.4461,0.0,9.9251,23.21,0.89,7897088,300.80836725234985,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.08,0.99
