trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,-0.1622,-0.03,0.4908,0.0,55.3947,37.77,0.93,7405568,301.47145819664,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
1,obs_norm,-0.1544,0.35,0.5033,0.0,73.5307,44.89,0.95,7831552,300.49553418159485,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.99
2,cosine_lr,0.0518,1.17,0.5002,98.0,13.2985,24.14,0.79,7831552,300.58841347694397,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.99
3,ent_anneal,-0.2355,-0.38,0.5146,0.0,49.9177,37.6,0.91,7667712,301.11399364471436,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.99
4,clip_anneal,-0.3252,-1.01,0.4601,0.0,65.5096,41.81,0.94,7733248,300.54236221313477,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.001,0.0,0.99
5,clip_vloss,-0.369,-1.14,0.466,0.0,54.7602,38.98,0.92,7143424,300.7349708080292,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
6,wd_005,-0.2068,-0.23,0.4986,0.0,57.4809,39.4,0.94,8028160,301.0600004196167,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
7,wd_01,-0.078,0.56,0.5213,2.0,57.5797,40.73,0.93,7667712,301.502667427063,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
8,wd_05,-0.2448,-0.58,0.4751,0.0,60.4562,40.27,0.93,7733248,301.02219676971436,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
9,wd_1,-0.0643,0.69,0.5367,2.0,57.1061,37.36,0.94,7798784,301.0070469379425,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
10,slip_5bps,-0.1857,0.02,0.5349,0.0,57.4958,37.7,0.93,7929856,301.3277897834778,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.99
11,slip_10bps,-0.1674,0.05,0.5264,0.0,59.0289,40.37,0.94,7733248,301.0243980884552,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.99
12,fee_2x,0.0331,0.86,0.5091,83.0,51.3898,36.46,0.95,7700480,300.5488348007202,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.002,0.0,0.99
13,trade_pen_01,-0.313,-0.97,0.4488,0.0,62.2467,40.98,0.94,7798784,301.15447330474854,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.99
14,trade_pen_05,0.2003,1.76,0.5363,100.0,56.7239,41.38,0.96,7634944,300.93880224227905,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.99
15,downside_pen,-0.2005,-0.16,0.5096,0.0,63.2023,39.83,0.94,8650752,301.0115010738373,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
16,smooth_ds,-0.2518,-0.75,0.5052,0.0,58.5368,39.34,0.93,7929856,300.73831725120544,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
17,reg_combo_1,-0.0699,0.45,0.4901,2.0,54.2896,37.44,0.94,7602176,300.48374605178833,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.01,0.99
18,reg_combo_2,-0.3312,-1.04,0.4946,0.0,84.7026,43.53,0.96,7274496,301.0462453365326,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.0,0.99
19,reg_combo_3,-0.0048,0.9,0.5087,41.0,66.5316,42.09,0.95,7176192,300.3020181655884,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.99
20,kitchen_sink,-0.1439,0.09,0.5088,0.0,61.8836,42.48,0.96,6946816,301.20315742492676,,1024,0.0003,0.05,0.01,8.0,True,True,True,True,cosine,mlp,0.001,0.01,0.99
21,h512,-0.0749,0.66,0.5527,5.0,48.6714,40.09,0.93,7995392,300.52847814559937,,512,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
22,h256,-0.0951,0.62,0.5251,0.0,41.0335,37.24,0.9,7995392,300.7211751937866,,256,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
23,h512_wd01,-0.4215,-1.16,0.5079,0.0,49.4471,39.12,0.93,7634944,301.33909368515015,,512,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
24,ent_001,0.0117,0.73,0.5449,58.0,54.3192,41.21,0.95,7897088,301.29856157302856,,1024,0.0003,0.01,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
25,ent_01,-0.2001,-0.51,0.5005,0.0,46.5103,37.95,0.9,7831552,300.6085674762726,,1024,0.0003,0.1,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
26,lr_1e4,-0.256,-0.22,0.5172,0.0,30.439,31.0,0.87,7864320,301.0372076034546,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
27,gamma_999,-0.1485,0.13,0.5235,0.0,49.2699,36.4,0.92,7733248,301.00609254837036,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.999
28,ep_360h,-0.1606,0.03,0.5034,0.0,60.4568,37.79,0.94,8519680,300.7492229938507,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
29,seed_123,-0.2983,-0.78,0.4945,0.0,50.8478,38.59,0.93,7929856,300.9313507080078,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
30,seed_7,-0.2854,-0.67,0.4801,0.0,60.5266,40.76,0.94,7962624,301.13440227508545,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
31,resmlp,-0.1511,0.07,0.4984,0.0,43.5031,34.9,0.91,5963776,300.7899284362793,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,resmlp,0.001,0.0,0.99
32,resmlp_wd,-0.1288,0.37,0.5175,0.0,39.5294,31.53,0.9,5668864,301.64309787750244,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,resmlp,0.001,0.0,0.99
33,envs_256,-0.1937,0.06,0.4907,0.0,56.7897,39.77,0.94,9830400,300.6209931373596,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
