trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,-0.3433,-1.11,0.4602,0.0,23.6936,34.97,0.91,6455296,300.5106728076935,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
1,obs_norm,-0.5137,-2.69,0.4386,0.0,34.5523,38.13,0.95,6356992,300.47756266593933,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.0,0.0,0.99
2,cosine_lr,-0.4098,-1.39,0.4346,0.0,7.8205,18.15,0.74,7405568,300.64901471138,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.0,0.0,0.99
3,ent_anneal,-0.2965,-1.36,0.397,0.0,24.4333,35.94,0.91,7503872,301.51815485954285,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.0,0.0,0.99
4,clip_anneal,-0.4194,-1.77,0.4201,0.0,28.1141,36.66,0.93,7405568,301.276659488678,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.0,0.0,0.99
5,clip_vloss,-0.4516,-2.44,0.4183,0.0,25.5308,35.77,0.91,7045120,301.31589937210083,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
6,wd_005,-0.3396,-1.23,0.4308,0.0,31.8845,39.46,0.93,6946816,300.69913697242737,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
7,wd_01,-0.3244,-1.42,0.4035,0.0,27.4432,40.17,0.92,7634944,300.58021783828735,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
8,wd_05,-0.5372,-2.95,0.3681,0.0,25.706,36.3,0.91,7405568,300.49827313423157,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
9,wd_1,-0.4388,-2.02,0.4313,0.0,24.7377,35.71,0.91,7340032,300.77048325538635,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
10,slip_5bps,-0.4223,-2.13,0.4039,0.0,24.9052,36.58,0.92,7143424,301.40437507629395,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.0,0.0,0.99
11,slip_10bps,-0.3367,-1.38,0.4488,0.0,25.6751,38.78,0.92,7798784,300.6031901836395,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.0,0.0,0.99
12,fee_2x,-0.5035,-2.66,0.3995,0.0,27.7209,38.23,0.93,7372800,301.0910921096802,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
13,trade_pen_01,-0.2346,-0.91,0.4768,0.0,29.0694,40.07,0.94,7110656,301.56703329086304,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.01,0.99
14,trade_pen_05,-0.2612,-1.02,0.4624,0.0,24.1473,36.82,0.94,7471104,301.12653398513794,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.05,0.99
15,downside_pen,-0.4244,-2.57,0.4106,0.0,27.748,39.52,0.92,7405568,301.2132365703583,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
16,smooth_ds,-0.3838,-1.54,0.4457,0.0,25.1687,37.65,0.92,7307264,301.26587867736816,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
17,reg_combo_1,-0.3867,-1.96,0.4288,0.0,25.7064,35.88,0.93,6979584,301.53904151916504,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.0,0.01,0.99
18,reg_combo_2,-0.2114,-1.12,0.4418,0.0,36.104,40.25,0.95,7405568,300.53452467918396,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.0,0.0,0.99
