trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,-0.5843,-14.12,0.4966,0.0,1.9912,11.39,0.54,6389760,301.5854787826538,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
1,obs_norm,-0.6046,-13.57,0.4957,0.0,13.1168,30.19,0.61,6389760,300.6036853790283,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.0,0.0,0.99
2,cosine_lr,-0.6279,-12.96,0.4948,0.0,0.1723,2.24,0.5,7372800,301.4323511123657,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.0,0.0,0.99
3,ent_anneal,-0.5915,-14.11,0.501,0.0,1.1331,8.47,0.53,7372800,300.5342855453491,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.0,0.0,0.99
4,clip_anneal,-0.6198,-14.86,0.4964,0.0,2.1034,12.55,0.55,7471104,300.2664701938629,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.0,0.0,0.99
5,clip_vloss,-0.5901,-13.42,0.4973,0.0,1.8948,11.89,0.54,7208960,300.7179388999939,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
6,wd_005,-0.544,-12.63,0.5078,0.0,1.7043,11.42,0.54,7307264,300.6832356452942,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
7,wd_01,-0.5993,-13.82,0.505,0.0,2.2276,12.53,0.55,7471104,301.00853061676025,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
8,wd_05,-0.6084,-14.6,0.4986,0.0,2.0459,12.84,0.55,8028160,300.98961639404297,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
9,wd_1,-0.5719,-13.2,0.5082,0.0,1.4634,10.15,0.54,7929856,301.4485557079315,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
10,slip_5bps,-0.5813,-13.74,0.4979,0.0,1.823,11.63,0.55,7569408,300.46201753616333,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.0,0.0,0.99
11,slip_10bps,-0.5606,-12.5,0.5016,0.0,1.4876,11.81,0.54,7372800,301.1110939979553,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.0,0.0,0.99
12,fee_2x,-0.5765,-13.55,0.502,0.0,2.2614,13.78,0.55,7471104,300.767142534256,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
13,trade_pen_01,-0.4001,-8.67,0.5079,0.0,2.2371,15.0,0.56,8028160,301.3692395687103,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.01,0.99
14,trade_pen_05,-0.0738,-1.49,0.5048,0.0,0.9043,11.44,0.61,7372800,300.35331559181213,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.05,0.99
15,downside_pen,-0.6009,-14.38,0.4957,0.0,1.4898,10.97,0.54,7208960,300.6936423778534,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
16,smooth_ds,-0.6236,-15.62,0.4943,0.0,1.6036,10.15,0.53,6914048,301.3886318206787,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
17,reg_combo_1,-0.3377,-7.45,0.5189,0.0,1.79,13.01,0.54,7667712,301.22853899002075,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.0,0.01,0.99
18,reg_combo_2,-0.4435,-9.36,0.5074,0.0,9.6862,28.54,0.61,7208960,300.3365774154663,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.0,0.0,0.99
19,reg_combo_3,-0.5753,-12.61,0.5027,0.0,5.5863,10.62,0.54,6914048,301.70049381256104,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.0,0.0,0.99
20,kitchen_sink,-0.029,-0.35,0.5029,15.0,3.0198,14.52,0.56,6553600,301.21600365638733,,1024,0.0003,0.05,0.01,8.0,True,True,True,True,cosine,mlp,0.0,0.01,0.99
21,h512,-0.556,-12.84,0.5048,0.0,1.3308,9.11,0.53,7667712,301.4559597969055,,512,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
22,h256,-0.5584,-13.01,0.502,0.0,0.5299,4.6,0.51,7307264,300.56320095062256,,256,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
23,h512_wd01,-0.5518,-13.15,0.5055,0.0,0.9142,7.54,0.52,7372800,301.604731798172,,512,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
