trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,holdout_robust_score,-181.64640604350092,0.3009,2.51,0.5815,100.0,121.8836,38.52,0.91,6520832,301.202476978302,,,,-181.64640604350092,7.024319934753743,-18.47871740295247,-57.608434147439304,-0.4838789301350872,61.63923004394848,0.45,5.3645567550988105,-45.79871520224585,0.9615364176981357,52.48394930680853,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
1,obs_norm,holdout_robust_score,-130.42956196453608,0.0324,0.77,0.5479,77.0,406.9831,57.15,0.93,5767168,300.3866055011749,,,,-130.42956196453608,27.925301606780977,-18.245118420948078,-33.14378186270675,-0.8199290797863535,56.47988932286106,0.35,9.620378421367823,-31.51296796315335,1.2817569561598485,56.47988932286104,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.0,0.0,0.99
2,cosine_lr,holdout_robust_score,-189.9041982406757,-0.2483,-0.08,0.5477,0.0,4.9567,11.86,0.66,6488064,301.520382642746,,,,-189.9041982406757,-20.499313705616608,-33.084404838022316,-40.32962252322113,-1.4269439312561545,53.29583777086499,0.8,-28.09827756473366,-37.20851266510724,-1.193795664827024,53.29583777086497,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.0,0.0,0.99
3,ent_anneal,holdout_robust_score,-156.93663148831524,0.3085,2.38,0.5841,100.0,88.2162,39.01,0.85,6455296,301.2642331123352,,,,-156.93663148831524,-10.932065991028692,-22.031843942035792,-32.636790958240674,-1.0046315907535197,47.801942767253614,0.75,-9.042926996941333,-29.315267819200763,-0.06632428259571532,44.10380700999551,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.0,0.0,0.99
4,clip_anneal,holdout_robust_score,-126.80891886990347,0.214,1.9,0.5523,100.0,118.4175,39.53,0.91,6979584,300.44613456726074,,,,-126.80891886990347,4.8791789611704335,-19.160404179264663,-30.85416170758608,-0.9649298388482925,43.73854223304095,0.45,2.0392511888590343,-26.371025819390347,0.6729897920801249,41.535378605203036,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.0,0.0,0.99
5,clip_vloss,holdout_robust_score,-65.5926001253903,0.1106,1.45,0.5429,100.0,148.185,42.52,0.9,6586368,301.79370641708374,,,,-65.5926001253903,13.614432479438364,-0.05266688907163371,-15.109711909999968,0.4630124243475786,33.0716316879051,0.3,8.785110154575596,-9.145095453722346,1.1153870461538835,32.084235057915365,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
6,wd_005,holdout_robust_score,-164.20644110568662,0.1095,1.57,0.5658,100.0,127.6265,41.91,0.9,6848512,301.0765872001648,,,,-164.20644110568662,0.32532864123189853,-20.441437232323622,-44.45413544957623,-0.7343174561711567,59.9870461514339,0.45,3.731683075433502,-36.29860160040009,0.8988918625020352,59.07675225068415,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
7,wd_01,holdout_robust_score,-96.15377143335607,0.0893,1.28,0.6155,100.0,117.3704,39.95,0.91,6946816,300.5432357788086,,,,-96.15377143335607,15.647992317034857,-7.656479593999507,-22.656234749683634,-0.36887636468437857,40.50507294258427,0.4,17.174563350458357,-13.313422076402567,1.8069943608695522,36.4331296574834,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
8,wd_05,holdout_robust_score,-173.51473073337837,-0.0579,0.62,0.5369,1.0,119.3778,43.99,0.89,6946816,301.210253238678,,,,-173.51473073337837,-9.421310629694242,-26.208919352117636,-41.08174432702481,-1.6387970905868765,56.077350798320104,0.6,-17.519171916261673,-33.9855622788683,-0.8986546231904278,48.911698499788834,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
9,wd_1,holdout_robust_score,-145.4724913793454,-0.0087,0.72,0.5682,42.0,96.8053,38.44,0.89,7241728,301.0801615715027,,,,-145.4724913793454,-5.329104290309959,-24.513709837496588,-34.01813519348996,-1.3110790442739426,45.38271212627066,0.5,-6.58426832808429,-27.384488009118556,0.08458075304566359,44.38694330737057,,,,,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.0,0.0,0.99
