timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T14:17:00Z,tp05_s111,best.pt,111,-17.60,-23.41,0.81,-26.91,92,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s111/best.pt
2026-03-27T14:23:43Z,tp05_s55,best.pt,111,-25.06,-39.49,-11.59,-45.38,111,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s55/best.pt
2026-03-27T14:28:47Z,tp05_s216,best.pt,111,-3.09,-11.12,2.58,-14.39,75,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s216/best.pt
2026-03-27T14:28:51Z,tp05_s216,val_best.pt,111,0.36,-13.18,11.83,-16.19,53,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s216/val_best.pt
2026-03-27T14:29:05Z,tp05_s217,best.pt,111,-9.21,-25.56,-1.98,-29.03,101,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:29:12Z,tp05_s217,val_best.pt,111,1.59,-7.69,11.22,-13.02,41,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/val_best.pt
2026-03-27T14:29:24Z,tp05_s218,best.pt,111,-10.16,-22.66,-1.94,-25.54,104,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/best.pt
2026-03-27T14:29:38Z,tp05_s218,val_best.pt,111,-12.02,-28.51,7.27,-39.88,78,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
2026-03-27T14:34:43Z,tp05_s217,best.pt,111,-8.97,-15.56,0.47,-29.24,98,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:34:47Z,tp05_s218,val_best.pt,111,-2.42,-23.95,12.10,-34.81,57,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
2026-03-27T14:39:51Z,tp05_s217,best.pt,111,-5.09,-19.52,3.88,-29.03,83,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:48:00Z,tp05_s111,best.pt,111,-13.40,-19.50,-1.75,-23.36,103,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s111/best.pt
2026-03-27T14:48:04Z,tp05_s216,best.pt,111,-2.11,-11.86,16.86,-19.00,66,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s216/best.pt
2026-03-27T14:48:07Z,tp05_s217,best.pt,111,-1.95,-7.49,1.22,-9.56,89,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:48:11Z,tp05_s218,best.pt,111,-7.31,-29.66,0.18,-33.12,97,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/best.pt
2026-03-27T14:48:15Z,tp05_s55,best.pt,111,-8.84,-21.09,8.58,-30.19,73,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s55/best.pt
2026-03-27T14:53:19Z,tp05_s216,best.pt,111,-2.18,-11.11,3.50,-12.47,68,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s216/best.pt
2026-03-27T14:53:23Z,tp05_s216,val_best.pt,111,-0.99,-10.37,11.91,-17.21,59,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s216/val_best.pt
2026-03-27T14:53:27Z,tp05_s217,best.pt,111,-5.55,-22.70,11.56,-30.67,79,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:53:31Z,tp05_s217,val_best.pt,111,5.00,-2.98,13.88,-13.87,22,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/val_best.pt
2026-03-27T14:53:35Z,tp05_s218,best.pt,111,-10.13,-22.66,0.33,-31.78,99,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/best.pt
2026-03-27T14:53:40Z,tp05_s218,val_best.pt,111,-13.72,-27.10,10.37,-40.11,87,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
2026-03-27T14:58:44Z,tp05_s217,best.pt,111,-8.98,-21.59,4.19,-34.96,88,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T14:58:48Z,tp05_s218,val_best.pt,111,-5.85,-26.67,6.08,-36.76,81,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
2026-03-27T15:08:52Z,tp05_s217,best.pt,111,-8.40,-20.56,16.65,-34.30,78,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s217/best.pt
2026-03-27T15:13:57Z,tp05_s218,val_best.pt,111,-7.75,-28.50,13.07,-38.27,78,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
2026-03-27T15:19:02Z,tp05_s218,val_best.pt,111,-11.54,-23.48,3.72,-31.32,91,pufferlib_market/checkpoints/stocks12_35m_slip5/tp05_s218/val_best.pt
