timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-28T00:50:31Z,tp05_s413,best.pt,111,-6.85,-12.91,1.64,-16.41,81,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s413/best.pt
2026-03-28T01:01:52Z,tp05_s413,val_best.pt,111,-8.05,-19.08,20.07,-23.83,65,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s413/val_best.pt
2026-03-28T01:07:06Z,tp05_s413,best_neg.pt,111,-5.93,-13.36,3.22,-24.17,83,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s413/best_neg.pt
2026-03-28T01:16:32Z,tp05_s415,best.pt,111,-12.77,-24.90,2.71,-31.52,84,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s415/best.pt
2026-03-28T01:21:38Z,tp05_s415,val_best.pt,111,-11.56,-18.58,5.25,-24.40,71,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s415/val_best.pt
2026-03-28T01:27:45Z,tp05_s415,best_neg.pt,111,-11.56,-18.58,5.25,-24.40,71,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s415/best_neg.pt
2026-03-28T01:37:40Z,tp05_s42_35M,best.pt,111,-2.97,-6.48,8.75,-9.50,63,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s42_35M/best.pt
2026-03-28T01:45:42Z,tp05_s51,best.pt,111,2.80,-7.53,11.88,-13.13,41,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s51/best.pt
2026-03-28T01:51:29Z,tp05_s52,best.pt,111,-2.70,-11.73,0.98,-13.71,93,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s52/best.pt
2026-03-28T01:57:22Z,tp05_s53,best.pt,111,-3.09,-26.56,7.38,-32.54,67,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s53/best.pt
2026-03-28T02:12:06Z,tp05_s54,best.pt,111,-13.21,-19.75,9.97,-22.79,86,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s54/best.pt
2026-03-28T02:24:51Z,tp05_s55,best.pt,111,8.82,-0.63,25.25,-12.04,13,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s55/best.pt
2026-03-28T02:40:13Z,tp05_s56,best.pt,111,-2.75,-11.75,11.87,-19.98,68,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s56/best.pt
2026-03-28T02:58:12Z,tp05_s57,best.pt,111,-1.74,-14.07,2.99,-23.15,72,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s57/best.pt
2026-03-28T03:15:31Z,tp05_s58,best.pt,111,-18.36,-35.71,-5.95,-41.98,110,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s58/best.pt
2026-03-28T03:31:08Z,tp05_s59,best.pt,111,-10.79,-24.97,4.14,-32.41,90,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s59/best.pt
2026-03-28T03:46:18Z,tp05_s66,best.pt,111,-5.35,-20.61,9.17,-25.34,76,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s66/best.pt
2026-03-28T04:02:54Z,tp05_s70,best.pt,111,3.68,-12.26,11.35,-31.64,42,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s70/best.pt
2026-03-28T04:27:51Z,tp05_s71,best.pt,111,-12.07,-18.55,3.34,-23.36,91,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s71/best.pt
2026-03-28T04:48:28Z,tp05_s72,best.pt,111,-2.63,-10.61,12.30,-13.74,65,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s72/best.pt
2026-03-28T05:17:51Z,tp05_s73,best.pt,111,1.08,-6.00,13.67,-9.23,49,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s73/best.pt
2026-03-28T05:52:41Z,tp05_s74,best.pt,111,-0.84,-5.40,4.94,-8.72,62,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s74/best.pt
2026-03-28T06:10:54Z,tp05_s75,best.pt,111,-5.75,-16.51,8.81,-26.21,76,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s75/best.pt
2026-03-28T06:20:26Z,tp05_s76,best.pt,111,-8.36,-26.63,14.90,-37.13,61,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s76/best.pt
2026-03-28T06:30:31Z,tp05_s77,best.pt,111,-17.71,-41.14,-6.61,-53.59,111,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s77/best.pt
2026-03-28T06:42:38Z,tp05_s301,best.pt,111,-4.84,-12.90,4.12,-15.38,79,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s301/best.pt
2026-03-28T06:52:45Z,tp05_s301,val_best.pt,111,0.46,-7.32,7.06,-19.44,53,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s301/val_best.pt
2026-03-28T07:03:13Z,tp05_s301,best_neg.pt,111,0.46,-7.32,7.06,-19.44,53,pufferlib_market/checkpoints/stocks12_new_seeds/tp05_s301/best_neg.pt
