timestamp,label,med_90d,p10_90d,worst_90d,neg_of_50,med_sortino,checkpoint
2026-03-27T11:12:49Z,qs_tp05_s106,-30.14,-43.60,-50.33,50,-20.79,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s106/best.pt
2026-03-27T11:13:00Z,qs_tp05_s107,-5.55,-17.56,-22.36,33,-7.95,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s107/best.pt
2026-03-27T11:13:12Z,qs_tp05_s108,-13.54,-25.24,-29.71,48,-13.85,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s108/best.pt
2026-03-27T11:13:24Z,qs_tp05_s109,1.46,-8.04,-10.91,21,2.48,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s109/best.pt
2026-03-27T11:13:35Z,qs_tp05_s110,4.15,-9.14,-13.51,21,7.65,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s110/best.pt
2026-03-27T11:13:45Z,qs_tp05_s111,8.01,-2.36,-12.36,7,11.35,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s111/best.pt
2026-03-27T11:13:55Z,qs_tp05_s112,1.36,-6.82,-8.34,20,2.94,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s112/best.pt
2026-03-27T11:14:07Z,qs_tp05_s113,0.02,-14.55,-27.02,25,1.61,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s113/best.pt
2026-03-27T11:27:24Z,qs_tp05_s114,-6.82,-18.91,-21.94,39,-4.64,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s114/best.pt
2026-03-27T11:27:35Z,qs_tp05_s115,-4.88,-17.61,-25.45,26,-4.16,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s115/best.pt
2026-03-27T11:27:45Z,qs_tp05_s116,-10.37,-15.28,-20.17,49,-13.18,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s116/best.pt
2026-03-27T11:27:53Z,qs_tp05_s117,-7.21,-18.12,-24.80,40,-5.87,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s117/best.pt
2026-03-27T11:28:00Z,qs_tp05_s118,-0.12,-7.72,-12.70,25,0.84,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s118/best.pt
2026-03-27T11:28:23Z,qs_tp05_s119,-6.41,-16.18,-19.87,34,-6.00,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s119/best.pt
2026-03-27T11:29:43Z,qs_tp05_s120,-8.63,-14.60,-18.92,46,-11.43,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s120/best.pt
2026-03-27T11:31:58Z,qs_tp05_s121,1.85,-6.66,-9.61,19,3.24,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s121/best.pt
2026-03-27T11:39:58Z,qs_tp05_s124,-1.32,-6.42,-8.20,27,-1.44,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s124/best.pt
2026-03-27T11:41:06Z,qs_tp05_s126,-1.41,-7.13,-19.95,28,0.01,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s126/best.pt
2026-03-27T11:56:22Z,qs_tp05_s131,-18.05,-28.60,-34.59,38,-8.38,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s131/best.pt
2026-03-27T11:57:02Z,qs_tp05_s132,-15.02,-25.48,-32.25,45,-8.51,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s132/best.pt
2026-03-27T11:57:37Z,qs_tp05_s133,-6.69,-18.31,-20.00,42,-7.09,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s133/best.pt
2026-03-27T11:58:23Z,qs_tp05_s135,-7.14,-13.75,-15.13,46,-13.03,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s135/best.pt
2026-03-27T11:59:59Z,qs_tp05_s137,-5.24,-16.91,-17.81,36,-3.54,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s137/best.pt
2026-03-27T12:18:43Z,qs_tp05_s145,-7.58,-23.47,-27.03,46,-10.45,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s145/best.pt
2026-03-27T12:33:30Z,qs_tp05_s164,-2.80,-12.02,-17.16,30,-2.23,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s164/best.pt
2026-03-27T12:33:38Z,qs_tp05_s167,-1.60,-5.46,-8.58,39,-2.46,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s167/best.pt
2026-03-27T12:33:48Z,qs_tp05_s169,-14.93,-22.96,-27.28,43,-11.81,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s169/best.pt
2026-03-27T12:36:50Z,qs_tp05_s170,2.01,-25.18,-28.37,23,3.39,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s170/best.pt
2026-03-27T12:36:58Z,qs_tp05_s171,-3.05,-13.34,-28.78,33,-0.69,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s171/best.pt
2026-03-27T12:37:17Z,qs_tp05_s172,0.38,-9.30,-13.76,22,1.37,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s172/best.pt
2026-03-27T12:37:53Z,qs_tp05_s173,8.42,1.40,-2.63,3,10.09,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s173/best.pt
2026-03-27T12:38:42Z,qs_tp05_s174,5.71,-14.31,-22.34,9,8.31,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s174/best.pt
2026-03-27T12:40:06Z,qs_tp05_s175,-15.87,-29.89,-34.56,42,-7.39,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s175/best.pt
2026-03-27T12:41:26Z,qs_tp05_s176,-10.55,-22.21,-29.14,33,-7.98,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s176/best.pt
2026-03-27T12:42:40Z,qs_tp05_s177,15.74,-3.77,-10.91,13,17.50,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s177/best.pt
2026-03-27T13:04:01Z,qs_tp05_s185,-3.97,-12.77,-20.38,29,-2.83,pufferlib_market/checkpoints/stocks12_quickscan/tp05_s185/best.pt
