timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T16:58:11Z,grpo05_s700,best.pt,111,-9.10,-15.82,2.82,-18.63,80,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/best.pt
2026-03-27T17:02:06Z,grpo05_s700,val_best.pt,111,7.27,-12.65,14.97,-15.84,38,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/val_best.pt
2026-03-27T17:05:55Z,grpo05_s700,best_neg.pt,111,7.27,-12.65,14.97,-15.84,38,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/best_neg.pt
2026-03-27T17:10:00Z,grpo05_s701,best.pt,111,-25.50,-35.13,8.33,-42.31,80,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/best.pt
2026-03-27T17:14:10Z,grpo05_s701,val_best.pt,111,-21.95,-34.83,2.79,-51.34,84,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/val_best.pt
2026-03-27T17:18:17Z,grpo05_s701,best_neg.pt,111,2.05,-22.93,13.33,-27.42,54,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/best_neg.pt
2026-03-27T17:22:54Z,grpo05_s702,best.pt,111,0.96,-7.04,10.17,-16.67,51,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s702/best.pt
2026-03-27T17:35:40Z,grpo05_s702,val_best.pt,111,7.00,-5.53,21.28,-14.88,28,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s702/val_best.pt
2026-03-27T17:55:41Z,grpo05_s702,best_neg.pt,111,7.00,-5.53,21.28,-14.88,28,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s702/best_neg.pt
2026-03-27T18:17:18Z,grpo05_s703,best.pt,111,-11.75,-20.75,3.12,-23.77,92,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s703/best.pt
2026-03-27T18:23:49Z,grpo05_s703,val_best.pt,111,-6.51,-26.29,11.49,-30.84,80,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s703/val_best.pt
2026-03-27T18:28:56Z,grpo05_s703,best_neg.pt,111,-6.51,-26.29,11.49,-30.84,80,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s703/best_neg.pt
2026-03-27T18:38:19Z,grpo05_s700,best.pt,111,-13.11,-41.13,14.03,-47.03,83,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/best.pt
2026-03-27T18:42:44Z,grpo05_s700,val_best.pt,111,1.19,-5.29,8.22,-20.73,51,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/val_best.pt
2026-03-27T18:46:39Z,grpo05_s700,best_neg.pt,111,1.19,-5.29,8.22,-20.73,51,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s700/best_neg.pt
2026-03-27T18:50:39Z,grpo05_s701,best.pt,111,-11.82,-23.84,-0.61,-30.40,102,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/best.pt
2026-03-27T18:55:27Z,grpo05_s701,val_best.pt,111,-2.50,-20.14,9.68,-30.90,62,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/val_best.pt
2026-03-27T18:59:59Z,grpo05_s701,best_neg.pt,111,-2.50,-20.14,9.68,-30.90,62,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s701/best_neg.pt
2026-03-27T19:04:09Z,grpo05_s704,best.pt,111,-7.41,-17.09,6.68,-25.60,90,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s704/best.pt
2026-03-27T19:08:11Z,grpo05_s704,val_best.pt,111,-8.74,-18.22,2.14,-23.02,94,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s704/val_best.pt
2026-03-27T19:14:47Z,grpo05_s704,best_neg.pt,111,-8.74,-18.22,2.14,-23.02,94,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s704/best_neg.pt
2026-03-27T19:19:06Z,grpo05_s705,best.pt,111,-8.29,-29.15,7.18,-33.91,71,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s705/best.pt
2026-03-27T19:24:43Z,grpo05_s705,val_best.pt,111,-11.31,-26.43,4.17,-30.84,86,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s705/val_best.pt
2026-03-27T19:29:09Z,grpo05_s705,best_neg.pt,111,-9.62,-23.53,8.87,-28.02,83,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s705/best_neg.pt
2026-03-27T19:34:07Z,grpo05_s706,best.pt,111,-3.84,-11.97,0.09,-14.77,99,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s706/best.pt
2026-03-27T19:39:01Z,grpo05_s706,val_best.pt,111,-0.69,-11.62,6.77,-18.45,61,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s706/val_best.pt
2026-03-27T19:44:32Z,grpo05_s706,best_neg.pt,111,-0.69,-11.62,6.77,-18.45,61,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s706/best_neg.pt
2026-03-27T19:54:05Z,grpo05_s707,best.pt,111,-13.07,-24.05,7.96,-35.57,84,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s707/best.pt
2026-03-27T20:03:51Z,grpo05_s707,val_best.pt,111,-17.88,-46.61,-0.33,-49.62,101,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s707/val_best.pt
2026-03-27T20:12:18Z,grpo05_s707,best_neg.pt,111,-17.88,-46.61,-0.33,-49.62,101,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s707/best_neg.pt
2026-03-27T20:22:40Z,grpo05_s708,best.pt,111,-2.87,-11.07,11.14,-16.38,70,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s708/best.pt
2026-03-27T20:43:46Z,grpo05_s708,val_best.pt,111,-6.43,-24.69,0.56,-32.37,98,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s708/val_best.pt
2026-03-27T21:34:13Z,grpo05_s708,best_neg.pt,111,-6.43,-24.69,0.56,-32.37,98,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s708/best_neg.pt
2026-03-27T22:39:11Z,grpo05_s709,best.pt,111,-1.90,-5.79,1.64,-9.06,76,pufferlib_market/checkpoints/stocks12_sweep_grpo/grpo05_s709/best.pt
