timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-28T09:42:56Z,tp05_s2100,best.pt,111,5.69,-2.77,14.46,-5.62,28,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2100/best.pt
2026-03-28T09:57:17Z,tp05_s2101,best.pt,111,0.00,0.00,0.00,0.00,0,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2101/best.pt
2026-03-28T12:39:00Z,tp05_s2103,best.pt,111,-2.97,-6.48,8.75,-9.50,63,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2103/best.pt
2026-03-28T13:05:24Z,tp05_s2103,val_best.pt,111,0.00,0.00,5.24,-2.01,5,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2103/val_best.pt
2026-03-28T13:34:05Z,tp05_s2103,best_neg.pt,111,0.00,0.00,5.24,-2.01,5,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2103/best_neg.pt
2026-03-28T14:06:17Z,tp05_s2104,val_best.pt,111,-19.96,-26.57,-15.40,-32.29,111,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2104/val_best.pt
2026-03-28T14:31:48Z,tp05_s2104,best_neg.pt,111,-19.96,-26.57,-15.40,-32.29,111,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2104/best_neg.pt
2026-03-28T15:00:38Z,tp05_s2105,val_best.pt,111,-0.61,-7.08,4.00,-8.08,66,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2105/val_best.pt
2026-03-28T15:08:28Z,tp05_s2105,best_neg.pt,111,-0.61,-7.08,4.00,-8.08,66,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2105/best_neg.pt
2026-03-28T15:16:29Z,tp05_s2106,val_best.pt,111,-5.57,-11.63,2.06,-16.17,84,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2106/val_best.pt
2026-03-28T15:25:15Z,tp05_s2106,best_neg.pt,111,-5.57,-11.63,2.06,-16.17,84,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2106/best_neg.pt
2026-03-28T15:35:27Z,tp05_s2107,val_best.pt,111,-4.65,-8.08,0.66,-13.78,98,pufferlib_market/checkpoints/stocks12_sweep_muon_s2100_2200/tp05_s2107/val_best.pt
