checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
mixed23_fresh_clip_vloss,23sym,30,16.74,557.58,3.231,16.75,22,72.7,1.4
mixed23_fresh_clip_vloss,23sym,60,59.79,1630.65,5.65,16.75,45,73.3,1.3
mixed23_fresh_clip_vloss,23sym,120,54.57,276.09,2.72,31.18,88,65.9,1.4
mixed23_fresh_ent_anneal,23sym,30,-9.12,-68.77,-0.926,18.55,24,62.5,1.2
mixed23_fresh_ent_anneal,23sym,60,13.26,113.25,1.828,18.55,48,58.3,1.2
mixed23_fresh_ent_anneal,23sym,120,-22.75,-54.39,-0.701,36.24,94,57.4,1.3
mixed23_fresh_gspo/gspo_like,23sym,30,43.3,7859.28,10.417,14.68,18,72.2,1.7
mixed23_fresh_gspo/gspo_like,23sym,60,15.61,141.71,2.316,25.2,44,59.1,1.4
mixed23_fresh_gspo/gspo_like,23sym,120,68.15,385.8,3.72,43.08,86,62.8,1.4
mixed23_fresh_gspo/gspo_like_smooth,23sym,30,12.79,332.67,3.588,20.03,21,52.4,1.4
mixed23_fresh_gspo/gspo_like_smooth,23sym,60,20.54,211.61,3.003,20.12,38,55.3,1.6
mixed23_fresh_gspo/gspo_like_smooth,23sym,120,46.49,219.38,2.92,34.48,87,50.6,1.4
mixed23_fresh_gspo/per_env_adv,23sym,30,6.2,107.79,2.192,20.97,18,50.0,1.7
mixed23_fresh_gspo/per_env_adv,23sym,60,-7.64,-38.33,-0.277,28.06,35,60.0,1.7
mixed23_fresh_gspo/per_env_adv,23sym,120,79.44,492.04,4.084,27.34,79,58.2,1.5
mixed23_fresh_gspo/reg_combo_2,23sym,30,-7.74,-62.48,-1.225,23.66,23,34.8,1.3
mixed23_fresh_gspo/reg_combo_2,23sym,60,3.49,23.21,1.046,17.34,42,50.0,1.4
mixed23_fresh_gspo/reg_combo_2,23sym,120,48.69,234.24,3.153,36.92,87,51.7,1.4
mixed23_fresh_gspo/robust_reg_tp01,23sym,30,17.42,605.51,5.353,17.78,11,54.5,2.7
mixed23_fresh_gspo/robust_reg_tp01,23sym,60,11.39,92.78,2.194,18.21,20,55.0,3.0
mixed23_fresh_gspo/robust_reg_tp01,23sym,120,175.24,2074.89,7.602,22.77,43,69.8,2.8
mixed23_fresh_gspo2/gspo_like,23sym,30,14.62,425.78,4.403,15.22,15,46.7,2.0
mixed23_fresh_gspo2/gspo_like,23sym,60,25.96,307.1,3.811,13.58,31,58.1,1.9
mixed23_fresh_gspo2/gspo_like,23sym,120,238.36,3975.61,8.153,24.95,77,64.9,1.6
mixed23_fresh_gspo2/gspo_like_drawdown_mix15,23sym,30,-6.92,-58.23,-1.06,19.72,11,45.5,2.7
mixed23_fresh_gspo2/gspo_like_drawdown_mix15,23sym,60,31.64,432.43,4.62,16.51,21,57.1,2.9
mixed23_fresh_gspo2/gspo_like_drawdown_mix15,23sym,120,183.36,2276.1,7.816,20.57,48,66.7,2.5
mixed23_fresh_gspo2/gspo_like_mix15,23sym,30,23.36,1186.47,6.976,18.77,17,58.8,1.8
mixed23_fresh_gspo2/gspo_like_mix15,23sym,60,35.38,531.29,5.149,20.33,35,54.3,1.7
mixed23_fresh_gspo2/gspo_like_mix15,23sym,120,126.63,1104.32,5.794,26.17,67,61.2,1.8
mixed23_fresh_gspo2/gspo_like_mix40,23sym,30,8.77,178.08,3.176,12.15,19,63.2,1.6
mixed23_fresh_gspo2/gspo_like_mix40,23sym,60,23.42,259.67,4.244,12.27,36,58.3,1.7
mixed23_fresh_gspo2/gspo_like_mix40,23sym,120,34.53,146.53,2.569,32.21,68,55.9,1.8
mixed23_fresh_gspo2/gspo_like_smooth_mix15,23sym,30,9.73,209.5,3.04,16.52,25,60.0,1.2
mixed23_fresh_gspo2/gspo_like_smooth_mix15,23sym,60,41.84,738.38,5.694,16.76,43,60.5,1.4
mixed23_fresh_gspo2/gspo_like_smooth_mix15,23sym,120,235.61,3875.86,9.345,17.23,79,72.2,1.5
mixed23_fresh_gspo2/per_env_adv_smooth,23sym,30,9.33,196.06,2.945,19.88,15,53.3,2.0
mixed23_fresh_gspo2/per_env_adv_smooth,23sym,60,23.04,252.95,3.566,11.18,28,53.6,2.1
mixed23_fresh_gspo2/per_env_adv_smooth,23sym,120,250.7,4444.66,9.398,21.42,63,66.7,1.9
mixed23_fresh_gspo_seed7/gspo_like_mix15_seed7,23sym,30,7.36,137.33,2.429,22.04,17,64.7,1.8
mixed23_fresh_gspo_seed7/gspo_like_mix15_seed7,23sym,60,5.55,38.93,1.243,27.46,36,52.8,1.7
mixed23_fresh_gspo_seed7/gspo_like_mix15_seed7,23sym,120,38.85,171.4,2.524,42.09,75,61.3,1.6
mixed23_fresh_replay/clip_vloss,23sym,30,-23.79,-96.33,-3.583,29.02,24,58.3,1.2
