symbol,config,best_epoch,val_sortino,val_return,sharpness,wd_scale,wall_s,error
DOTUSD,fullstack_spec_multi,15,263.547,7.7807,2154.2,2.0,0,
DOTUSD,long40ep_lr1e4_sam,27,262.65,7.2809,1126.1,2.0,0,
DOTUSD,baseline_wd01,10,240.804,7.102,0.0,1.0,0,
DOTUSD,barshift5_sam_swa,12,235.373,7.0006,1454.2,2.0,0,
ARBUSD,periodic_wd01_rho02,7,220.094,4.7116,285.4,2.0,0,
APTUSD,lr5e4_sam_cosine_wd01,11,217.515,4.2081,953.2,2.0,0,
APTUSD,long40ep_lr1e4_sam,13,213.938,4.3848,1275.2,2.0,0,
ARBUSD,barshift5_sam_swa,8,213.624,4.5922,1201.4,2.0,0,
ARBUSD,periodic_wd01_target05,8,213.624,4.5922,1201.4,2.0,0,
APTUSD,periodic_wd01,9,210.78,4.4907,1306.1,2.0,0,
APTUSD,periodic_wd01,9,210.78,4.4907,1306.1,2.0,0,
APTUSD,fullsam_wd01,9,206.662,3.2525,3504.0,1.0,0,
APTUSD,fullsam_wd01_adaptive,9,206.662,3.2525,3504.0,1.0,0,
ARBUSD,periodic_wd01,9,204.734,4.6933,1666.0,2.0,0,
ARBUSD,periodic_wd01,9,204.734,4.6933,1666.0,2.0,0,
DOTUSD,periodic_wd01_target05,7,202.477,6.3152,1436.6,2.0,0,
ARBUSD,baseline_wd01,9,202.422,5.0305,0.0,1.0,0,
ARBUSD,baseline_wd01,9,202.422,5.0305,0.0,1.0,0,
DOTUSD,periodic_wd01,10,199.84,7.5612,1291.1,1.69,0,
APTUSD,fullstack_spec_multi,11,199.718,4.4457,1142.3,2.0,0,
INJUSD,long40ep_lr1e4_sam,23,198.665,4.4248,1639.5,2.0,0,
INJUSD,sam_swa_wd015,11,197.192,3.9874,1114.9,2.0,0,
ARBUSD,periodic_wd01_rho01,8,196.582,5.1579,625.8,2.0,0,
APTUSD,sam_swa_wd015,3,195.214,3.5317,756.3,1.77,0,
ALGOUSD,lr5e4_sam_cosine_wd01,6,192.45,3.9189,875.4,2.0,0,
ARBUSD,long40ep_lr1e4_sam,8,192.327,4.6984,1346.4,2.0,0,
