symbol,name,best_epoch,best_val_sortino,best_val_return,sharpness_ema,wd_scale,wall_s,error
APTUSD,fullstack_spec_multi,11,199.718,4.4457,1520.4,2.0,1756.0,
DOTUSD,fullstack_spec_multi,10,191.68,6.5061,1856.2,2.0,4255.0,
ARBUSD,fullstack_spec_multi,13,190.978,4.8271,1325.9,2.0,4771.0,
ALGOUSD,fullstack_spec_multi,3,189.253,3.511,1478.7,2.0,1276.0,
INJUSD,fullstack_spec_multi,9,181.913,3.772,1336.7,2.0,1737.0,
FILUSD,fullstack_spec_multi,11,164.568,4.645,1205.2,2.0,6618.0,
ICPUSD,fullstack_spec_multi,9,159.759,3.2673,909.5,2.0,1794.0,
DOGEUSD,fullstack_spec_multi,15,146.769,3.5726,1275.5,2.0,8330.0,
ADAUSD,fullstack_spec_multi,10,140.571,3.1472,1373.3,2.0,1763.0,
ATOMUSD,fullstack_spec_multi,10,135.416,3.2145,874.4,2.0,1658.0,
LINKUSD,fullstack_spec_multi,13,111.322,1.819,1199.6,2.0,7925.0,
BCHUSD,fullstack_spec_multi,15,110.597,2.354,728.8,1.68,1642.0,
ETHUSD,fullstack_spec_multi,11,106.425,2.903,782.9,2.0,5405.0,
BTCUSD,fullstack_spec_multi,9,70.425,1.422,330.9,1.09,4600.0,
BNBUSD,fullstack_spec_multi,9,32.747,1.7084,544.0,1.88,1645.0,
