symbol,config,best_epoch,val_sortino,val_return,sharpness,wd_scale,wall_s,error
DOTUSD,baseline_wd01,10,240.804,7.1020,0.0,1.00,1901,
APTUSD,periodic_wd01,9,210.780,4.4907,1063.1,2.00,839,
ARBUSD,periodic_wd01,9,204.734,4.6933,1445.3,2.00,2301,
ARBUSD,baseline_wd01,9,202.422,5.0305,0.0,1.00,2255,
DOTUSD,periodic_wd01,10,199.840,7.5612,1291.1,1.69,1945,
APTUSD,baseline_wd01,6,184.856,4.1015,0.0,1.00,837,
INJUSD,periodic_wd01,9,174.121,3.6797,1253.3,2.00,835,
ALGOUSD,baseline_wd01,9,166.933,4.7390,0.0,1.00,830,
ICPUSD,periodic_wd01,9,164.013,3.7034,1423.9,2.00,840,
ALGOUSD,periodic_wd01,5,160.209,4.7173,968.3,2.00,830,
INJUSD,baseline_wd01,6,156.056,3.2792,0.0,1.00,823,
DOGEUSD,periodic_wd01,9,153.807,2.9723,868.7,2.00,3949,
ADAUSD,periodic_wd01,10,151.462,3.1786,1301.6,2.00,853,
DOGEUSD,baseline_wd01,8,149.022,3.6848,0.0,1.00,3870,
FILUSD,periodic_wd01,9,143.781,4.3742,1114.1,2.00,3285,
ICPUSD,baseline_wd01,5,142.256,3.1969,0.0,1.00,824,
ATOMUSD,periodic_wd01,6,132.677,2.5983,1142.2,2.00,833,
FILUSD,baseline_wd01,10,131.229,4.5937,0.0,1.00,3211,
ADAUSD,baseline_wd01,3,128.959,2.6033,0.0,1.00,840,
ATOMUSD,baseline_wd01,8,123.882,2.4547,0.0,1.00,827,
LINKUSD,periodic_wd01,10,108.963,1.4416,1318.8,2.00,3985,
BCHUSD,baseline_wd01,9,101.604,1.5751,0.0,1.00,828,
BCHUSD,periodic_wd01,5,92.270,1.5928,557.6,1.86,840,
ETHUSD,baseline_wd01,9,91.740,2.9745,0.0,1.00,3898,
ETHFDUSD,periodic_wd01,10,90.205,1.6871,992.8,1.98,845,
BTCUSD,periodic_wd01,7,85.917,2.0298,360.1,1.57,3928,
BTCUSD,baseline_wd01,6,78.139,1.5749,0.0,1.00,3899,
ETHUSD,periodic_wd01,9,72.955,3.1655,832.1,2.00,3932,
ETHFDUSD,baseline_wd01,5,69.414,1.7409,0.0,1.00,832,
BTCFDUSD,periodic_wd01,6,53.013,1.4924,444.0,2.00,846,
BTCFDUSD,baseline_wd01,9,52.189,1.4054,0.0,1.00,831,
BNBUSD,baseline_wd01,9,50.533,1.8528,0.0,1.00,823,
BNBUSD,periodic_wd01,3,37.302,1.7287,834.4,1.64,854,
AVAXUSD,baseline_wd01,6,5.014,-0.5422,0.0,1.00,108,
AVAXUSD,periodic_wd01,4,4.258,-0.6099,473.6,1.00,108,
AAVEUSD,periodic_wd01,,,,,,,"Insufficient hourly history (402 rows, minimum 720)."
AAVEUSD,baseline_wd01,,,,,,,"Insufficient hourly history (402 rows, minimum 720)."
