timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T14:03:48Z,tp05_s111,best.pt,111,-2.71,-19.95,4.71,-26.68,75,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s111/best.pt
2026-03-27T14:04:01Z,tp05_s111,val_best.pt,111,-4.02,-9.28,5.35,-13.22,83,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s111/val_best.pt
2026-03-27T14:04:13Z,tp05_s173,best.pt,111,-13.93,-36.84,0.71,-47.29,94,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s173/best.pt
2026-03-27T14:04:18Z,tp05_s173,val_best.pt,111,1.80,-27.30,36.39,-38.57,53,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s173/val_best.pt
2026-03-27T14:04:23Z,tp05_s177,best.pt,111,1.93,-7.19,6.53,-8.79,37,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s177/best.pt
2026-03-27T14:04:28Z,tp05_s177,val_best.pt,111,-6.97,-18.55,7.29,-28.97,79,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s177/val_best.pt
2026-03-27T14:04:32Z,tp05_s210,best.pt,111,-10.60,-33.83,9.13,-48.16,82,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s210/best.pt
2026-03-27T14:04:35Z,tp05_s210,val_best.pt,111,-7.25,-21.79,11.21,-28.46,78,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s210/val_best.pt
2026-03-27T14:04:41Z,tp05_s211,best.pt,111,3.89,-25.37,18.89,-28.03,49,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s211/best.pt
2026-03-27T14:04:50Z,tp05_s211,val_best.pt,111,-3.14,-11.64,6.02,-16.55,68,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s211/val_best.pt
2026-03-27T14:17:20Z,tp05_s111,best.pt,111,-1.83,-20.54,6.53,-29.08,65,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s111/best.pt
2026-03-27T14:17:48Z,tp05_s212,best.pt,111,-2.99,-11.25,4.23,-20.52,81,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s212/best.pt
2026-03-27T14:23:48Z,tp05_s212,val_best.pt,111,12.04,4.10,19.46,1.10,0,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s212/val_best.pt
2026-03-27T14:48:52Z,tp05_s219,best.pt,111,0.66,-10.10,10.26,-13.46,52,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s219/best.pt
2026-03-27T14:48:56Z,tp05_s220,best.pt,111,-5.45,-24.41,13.27,-30.62,78,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s220/best.pt
2026-03-27T14:54:00Z,tp05_s219,val_best.pt,111,-0.90,-13.38,6.98,-17.07,63,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s219/val_best.pt
2026-03-27T14:54:04Z,tp05_s220,val_best.pt,111,-1.94,-17.45,11.96,-26.60,63,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s220/val_best.pt
2026-03-27T15:14:07Z,tp05_s221,best.pt,111,-14.89,-24.04,5.42,-29.60,88,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s221/best.pt
2026-03-27T15:14:11Z,tp05_s221,val_best.pt,111,-19.96,-34.26,9.16,-48.84,97,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s221/val_best.pt
2026-03-27T15:14:15Z,tp05_s222,best.pt,111,-7.40,-13.20,-1.18,-16.93,105,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s222/best.pt
2026-03-27T15:14:20Z,tp05_s222,val_best.pt,111,-4.26,-15.15,11.14,-21.33,64,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s222/val_best.pt
2026-03-27T15:14:24Z,tp05_s223,best.pt,111,-11.05,-27.75,5.11,-31.64,96,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s223/best.pt
2026-03-27T15:14:28Z,tp05_s223,val_best.pt,111,-7.61,-14.70,-1.56,-19.48,106,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s223/val_best.pt
2026-03-27T15:14:32Z,tp05_s224,best.pt,111,-9.87,-20.83,8.33,-26.45,68,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s224/best.pt
2026-03-27T15:14:36Z,tp05_s224,val_best.pt,111,-0.77,-6.35,6.38,-10.69,61,pufferlib_market/checkpoints/stocks12_35m_v2/tp05_s224/val_best.pt
