timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T15:56:35Z,tp05_s600,best.pt,111,0.23,-3.87,4.12,-15.59,52,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s600/best.pt
2026-03-27T15:56:39Z,tp05_s601,best.pt,111,-2.50,-23.71,8.68,-29.89,60,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s601/best.pt
2026-03-27T15:56:44Z,tp05_s602,best.pt,111,-1.04,-7.69,5.34,-14.19,63,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s602/best.pt
2026-03-27T15:56:48Z,tp05_s603,best.pt,111,-1.84,-7.85,2.70,-11.05,82,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s603/best.pt
2026-03-27T15:58:53Z,tp05_s600,best.pt,111,-14.43,-21.77,-7.30,-23.68,111,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s600/best.pt
2026-03-27T15:58:57Z,tp05_s600,val_best.pt,111,-2.21,-6.27,6.90,-9.78,62,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s600/val_best.pt
2026-03-27T15:59:03Z,tp05_s601,best.pt,111,-15.82,-30.79,5.39,-35.90,85,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s601/best.pt
2026-03-27T16:00:01Z,tp05_s601,val_best.pt,111,-9.50,-24.74,11.07,-28.19,73,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s601/val_best.pt
2026-03-27T16:10:49Z,tp05_s602,best.pt,111,-13.24,-21.29,-7.04,-29.07,105,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s602/best.pt
2026-03-27T16:20:16Z,tp05_s602,val_best.pt,111,-1.94,-10.78,9.64,-15.56,68,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s602/val_best.pt
2026-03-27T16:29:19Z,tp05_s603,best.pt,111,-1.84,-7.85,2.70,-11.05,82,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s603/best.pt
2026-03-27T16:42:43Z,tp05_s603,val_best.pt,111,-2.60,-14.21,8.82,-20.79,72,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s603/val_best.pt
2026-03-27T17:04:33Z,tp05_s601,best.pt,111,-4.52,-20.98,10.43,-35.79,69,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s601/best.pt
2026-03-27T17:29:21Z,tp05_s601,val_best.pt,111,-9.76,-32.90,7.71,-40.99,77,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s601/val_best.pt
2026-03-27T17:57:20Z,tp05_s602,best.pt,111,-6.36,-12.23,4.64,-13.99,84,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s602/best.pt
2026-03-27T18:23:29Z,tp05_s602,val_best.pt,111,-5.11,-10.70,2.57,-17.32,95,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s602/val_best.pt
2026-03-27T18:47:19Z,tp05_s603,best.pt,111,-13.85,-30.65,-2.05,-39.50,102,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s603/best.pt
2026-03-27T19:13:09Z,tp05_s604,best.pt,111,-12.92,-31.89,6.68,-39.72,86,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s604/best.pt
2026-03-27T19:37:25Z,tp05_s604,val_best.pt,111,9.11,-1.52,23.52,-6.42,19,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s604/val_best.pt
2026-03-27T19:58:52Z,tp05_s606,best.pt,111,7.79,-11.09,25.54,-23.42,34,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s606/best.pt
2026-03-27T20:18:17Z,tp05_s606,val_best.pt,111,-0.94,-13.36,11.38,-16.80,58,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s606/val_best.pt
2026-03-27T20:43:48Z,tp05_s607,best.pt,111,-2.25,-9.65,7.00,-23.39,70,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s607/best.pt
2026-03-27T21:34:40Z,tp05_s607,val_best.pt,111,2.29,-13.13,9.64,-18.47,43,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s607/val_best.pt
2026-03-27T22:40:07Z,tp05_s608,best.pt,111,-5.11,-14.13,7.13,-27.40,83,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s608/best.pt
2026-03-27T23:38:24Z,tp05_s608,val_best.pt,111,-6.70,-18.68,3.94,-23.71,84,pufferlib_market/checkpoints/stocks12_sweep_fullrun/tp05_s608/val_best.pt
