timestamp,seed_dir,ckpt_type,n_windows,med,p10,p90,worst,neg,checkpoint
2026-03-27T15:30:41Z,tp05_s300,best.pt,111,0.32,-3.59,7.75,-7.56,51,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s300/best.pt
2026-03-27T15:30:46Z,tp05_s301,best.pt,111,-1.70,-7.54,5.51,-9.69,68,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s301/best.pt
2026-03-27T15:30:50Z,tp05_s302,best.pt,111,-12.35,-19.67,-4.58,-21.23,111,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s302/best.pt
2026-03-27T15:30:55Z,tp05_s303,best.pt,111,1.08,-5.88,5.15,-17.35,49,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s303/best.pt
2026-03-27T15:30:59Z,tp05_s304,best.pt,111,-12.73,-23.29,-1.41,-29.30,104,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s304/best.pt
2026-03-27T15:31:04Z,tp05_s305,best.pt,111,-1.29,-11.05,14.80,-24.86,61,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s305/best.pt
2026-03-27T15:31:09Z,tp05_s306,best.pt,111,-2.97,-7.15,8.73,-9.50,63,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s306/best.pt
2026-03-27T15:31:13Z,tp05_s307,best.pt,111,0.31,-8.52,13.98,-12.97,52,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s307/best.pt
2026-03-27T15:36:18Z,tp05_s300,best.pt,111,23.50,-5.51,55.06,-10.16,35,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s300/best.pt
2026-03-27T15:36:23Z,tp05_s300,val_best.pt,111,3.60,-4.54,11.55,-8.62,30,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s300/val_best.pt
2026-03-27T15:36:27Z,tp05_s301,best.pt,111,2.06,-6.73,8.77,-12.36,33,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s301/best.pt
2026-03-27T15:36:32Z,tp05_s301,val_best.pt,111,0.99,-4.59,9.17,-11.85,41,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s301/val_best.pt
2026-03-27T15:36:37Z,tp05_s302,val_best.pt,111,-13.77,-23.10,-5.12,-26.77,108,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s302/val_best.pt
2026-03-27T15:36:42Z,tp05_s303,val_best.pt,111,-0.11,-13.78,10.96,-20.76,57,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s303/val_best.pt
2026-03-27T15:36:46Z,tp05_s304,val_best.pt,111,-5.90,-18.68,0.08,-21.42,99,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s304/val_best.pt
2026-03-27T15:36:52Z,tp05_s305,val_best.pt,111,-1.29,-11.05,14.80,-24.86,61,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s305/val_best.pt
2026-03-27T15:36:56Z,tp05_s306,val_best.pt,111,-1.11,-26.04,4.18,-31.44,61,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s306/val_best.pt
2026-03-27T15:37:00Z,tp05_s307,best.pt,111,1.22,-10.97,13.05,-19.40,50,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s307/best.pt
2026-03-27T15:37:05Z,tp05_s307,val_best.pt,111,-10.95,-19.90,-5.75,-25.21,111,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s307/val_best.pt
2026-03-27T15:37:09Z,tp05_s308,best.pt,111,1.53,-8.15,7.16,-14.72,40,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s308/best.pt
2026-03-27T15:37:13Z,tp05_s309,best.pt,111,-4.05,-10.17,3.95,-15.58,82,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s309/best.pt
2026-03-27T15:37:18Z,tp05_s310,best.pt,111,-15.07,-21.01,10.37,-25.92,73,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s310/best.pt
2026-03-27T15:37:22Z,tp05_s311,best.pt,111,7.94,-1.80,18.29,-10.63,22,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s311/best.pt
2026-03-27T15:37:26Z,tp05_s312,best.pt,111,0.00,0.00,0.00,-0.97,5,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s312/best.pt
2026-03-27T15:42:31Z,tp05_s300,best.pt,111,21.46,-5.75,37.82,-10.90,26,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s300/best.pt
2026-03-27T15:42:35Z,tp05_s300,val_best.pt,111,23.50,-5.51,55.06,-10.16,35,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s300/val_best.pt
2026-03-27T15:42:40Z,tp05_s301,best.pt,111,6.14,-1.03,14.30,-4.28,14,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s301/best.pt
2026-03-27T15:42:45Z,tp05_s301,val_best.pt,111,0.20,-7.17,6.31,-11.85,54,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s301/val_best.pt
2026-03-27T15:42:49Z,tp05_s307,best.pt,111,-7.04,-14.78,6.93,-18.18,86,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s307/best.pt
2026-03-27T15:42:53Z,tp05_s307,val_best.pt,111,-9.07,-13.09,9.45,-17.81,82,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s307/val_best.pt
2026-03-27T15:42:57Z,tp05_s308,val_best.pt,111,-2.38,-10.05,2.61,-14.33,89,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s308/val_best.pt
2026-03-27T15:43:02Z,tp05_s309,val_best.pt,111,-10.49,-18.67,3.11,-25.03,94,pufferlib_market/checkpoints/stocks12_sweep_v3/tp05_s309/val_best.pt
