trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,h100_trade_pen_05,h100,holdout_robust_score,-108.35064744750926,0.0479,0.63,0.6667,100.0,0.7885,2.05,0.54,15597568,71.51933312416077,,,,,-108.35064744750926,-5.074576641163478,-8.880545595637269,-19.020744867008915,-1.5154235944362555,27.939167591585484,0.8,-3.11161367628426,-12.29108463151174,-0.38095647622584405,21.806476154317014,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,h100_trade_pen_05_s123,h100,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1342,-0.2,0.51,6094848,33.29153227806091,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,h100_trade_pen_05_s7,h100,holdout_robust_score,-89.1369351169159,-0.1154,-1.5,0.5294,0.0,-0.1447,-0.22,0.51,6356992,34.50409984588623,,,,,-89.1369351169159,-5.441679665925106,-8.760759886405504,-11.47255503457025,-2.407947990496953,12.088405653917885,0.9,-5.093423914008617,-10.322459679650756,-1.4005472221421327,11.961740215074467,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,h100_trade_pen_05_s42,h100,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1445,-0.24,0.51,6291456,33.67370915412903,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,h100_trade_pen_05_ent03,h100,holdout_robust_score,-77.11406093585532,0.1957,0.99,1.0,100.0,0.4198,1.27,0.52,5046272,31.484615325927734,,,,,-77.11406093585532,0.6738150521358783,-2.9236249524819096,-15.809208140461179,-0.16819309734588983,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,h100_trade_pen_05_ent08,h100,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1416,-0.23,0.51,6094848,33.0058012008667,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,h100_trade_pen_05_wd005,h100,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1575,-0.3,0.51,6225920,33.67745351791382,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,h100_trade_pen_05_anneal_ent,h100,holdout_robust_score,-92.09253679558617,-0.1277,-1.7,0.4706,0.0,-0.2027,-0.46,0.5,6029312,32.34200119972229,,,,,-92.09253679558617,-5.967224332077254,-10.217287633099227,-11.938273537794048,-2.860044017158544,12.088405653917885,0.9,-5.093423914008617,-11.938273537794048,-1.6295426258090004,12.045486566075105,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,h100_rmu4424_style,h100,holdout_robust_score,-126.4840724715666,-0.3979,-0.98,0.0,0.0,0.6929,1.87,0.55,6815744,30.75596809387207,,,,,-126.4840724715666,-5.697496342813706,-9.729917261003521,-29.969687401140927,-1.4741005591904452,35.786304237765,0.7,-3.201911002186371,-25.108836684563506,-0.4134295339118083,32.229233061556364,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,h100_rmu4424_wd005,h100,holdout_robust_score,-78.6914108068754,0.1329,0.61,0.3333,100.0,1.9773,3.64,0.57,13500416,53.074777603149414,,,,,-78.6914108068754,-0.036764962723702554,-4.90740171850669,-15.32123325366476,-0.47876926498818795,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.45211644166328835,25.265690681465085,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
