trial,description,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,gamma
0,baseline_anneal_lr,-0.0083,0.22,0.5356,39.0,-0.3986,-7.84,0.51,8388608,300.37104392051697,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
1,obs_norm,0.0303,1.68,0.4388,78.0,5.4434,18.25,0.64,6914048,300.5892925262451,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.99
2,cosine_lr,-0.0123,0.4,0.4962,23.0,-0.5942,-11.9,0.5,8028160,301.36429142951965,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.99
3,ent_anneal,-0.1475,-2.51,0.3916,0.0,-0.6254,-12.79,0.5,8323072,300.2853515148163,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.99
4,clip_anneal,-0.019,0.54,0.4759,23.0,-0.5046,-10.36,0.5,7569408,301.32555890083313,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.001,0.0,0.99
5,clip_vloss,0.0177,0.88,0.5705,70.0,-0.508,-10.31,0.5,7569408,301.51116156578064,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
6,wd_005,-0.0261,-0.05,0.5064,20.0,-0.4274,-8.23,0.51,8224768,300.90937089920044,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
7,wd_01,-0.0726,-1.16,0.4135,0.0,-0.5031,-10.29,0.5,7667712,300.9780147075653,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
8,wd_05,-0.0299,-0.07,0.4719,15.0,-0.4523,-9.19,0.51,7929856,300.50128865242004,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
9,wd_1,-0.0289,-0.03,0.4661,6.0,-0.511,-10.5,0.51,8126464,301.1480116844177,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.001,0.0,0.99
10,slip_5bps,0.053,1.62,0.5536,96.0,-0.4133,-7.48,0.53,7929856,300.489550113678,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.99
11,slip_10bps,-0.0228,-0.07,0.48,14.0,-0.3808,-7.37,0.52,7307264,301.6003363132477,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.99
