trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,q_wd01_tp05_slip5_s42,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,q_wd01_tp05_slip5_s123,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,q_wd01_tp05_slip5_s777,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,q_wd01_tp05_slip5_s1137,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,q_wd01_tp05_slip5_s5678,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,q_wd01_tp05_slip5_s9621,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,q_wd01_tp05_slip8,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,q_wd01_tp05_slip10,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,10.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,q_wd01_tp05_slip12,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,12.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,q_wd01_tp05_slip15,a40,,,,,,,,,,0,,"train failed (exit 1): The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1862, in <module> main() File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/train.py"", line 1858, in main tra...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,15.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
