trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,lr1e4_anneal_s777,a40,holdout_robust_score,-86.12104811658588,0.1837,1.37,0.5714,100.0,0.2401,0.61,0.38,37257216,404.66278290748596,,,,,-86.12104811658588,-2.2702814939219467,-7.558081166296883,-14.243231896734141,-1.1721084823264976,16.627230070873793,0.75,-2.504090654345364,-9.92887309216185,-0.3169831957625202,16.508117410393798,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,lr1e4_h2048_s777,a40,holdout_robust_score,-163.7492202928228,-0.3266,-2.29,0.4348,0.0,2.0826,2.74,0.43,29294592,159.74581289291382,,,,,-163.7492202928228,-14.725418720201763,-20.981134194314844,-34.1809984679008,-4.101544322921946,34.115113581482284,0.95,-15.16706784304676,-22.001188305762145,-3.2021737443899605,30.620838256568966,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,lr1e4_h2048_s42,a40,holdout_robust_score,-133.52288278168476,-0.202,-1.65,0.4737,0.0,1.9077,2.29,0.41,29360128,159.44402551651,,,,,-133.52288278168476,-12.77867875966759,-17.986011860632495,-22.314900693827322,-3.4642871427910102,25.867528564727564,0.95,-14.095044702371007,-18.867625505433825,-2.8757283005886625,25.867528564727536,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,lr1e4_anneal_s42,a40,holdout_robust_score,-82.54511926291278,0.0635,0.73,0.625,100.0,1.7854,2.34,0.41,28573696,157.91736340522766,,,,,-82.54511926291278,-0.7495986170199458,-3.0939784878087493,-21.98864497645176,-0.6661769735611319,21.910555531983746,0.45,0.8896684305130566,-8.939348344997141,0.500765788326372,15.911114681314325,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,lr1e4_anneal_s9621,a40,holdout_robust_score,-75.94829422966625,0.1668,1.29,0.5,100.0,1.7457,2.14,0.43,37257216,216.51735520362854,,,,,-75.94829422966625,-1.1742277204295961,-8.039097380465204,-12.785904067540196,-1.2938449325790597,18.817918023363845,0.55,-1.20814744579754,-12.316822383764736,-0.04603583957400337,18.736735941387224,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,lr1e4_anneal_s1137,a40,holdout_robust_score,-21.379978394970152,0.1977,1.38,0.4857,100.0,2.7954,2.83,0.43,37257216,210.92139649391174,,,,,-21.379978394970152,13.540891738340429,4.703418378273891,-6.446712845731,1.2504590577110077,11.371159471197512,0.2,6.192719676244542,-0.7138025998618467,2.011126793200362,11.135944414236437,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,lr1e4_anneal_s2718,a40,none,,,,,,2.0959,2.42,0.41,27820032,157.73008847236633,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 585, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 427, in main ckpt = torch.load(args.checkpoint, map_location=device, weigh...","Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 484, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 305, in main payload = torch.load(str(Path(args.checkpoint...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,lr1e4_anneal_s31415,a40,holdout_robust_score,-158.5152088902509,-0.3758,-2.56,0.4324,0.0,2.3989,2.83,0.45,27164672,157.59735751152039,,,,,-158.5152088902509,-13.221202438618992,-16.82879976403028,-34.48545457251986,-2.981338287798212,35.69506968438935,0.95,-12.784598995981087,-23.72174415380762,-2.099105011279228,23.639295117527865,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,lr1e4_anneal_s1234,a40,holdout_robust_score,-159.51767778194005,-0.4169,-2.67,0.4595,0.0,2.9127,2.38,0.43,27885568,157.71182775497437,,,,,-159.51767778194005,-14.450434399760212,-17.926482396095416,-34.33290642198956,-3.2485055669106355,34.71453691910737,0.95,-12.16093908741308,-23.745396939772746,-2.5205625442511823,26.879336489502737,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,lr1e4_anneal_s5678,a40,holdout_robust_score,-55.48845495018467,0.2445,1.54,0.6,100.0,2.3497,2.32,0.4,37257216,203.17026805877686,,,,,-55.48845495018467,4.558018672069538,0.03662741500308586,-17.42521645041714,0.2852385407890567,17.523090579033994,0.25,4.178525655385255,-2.21641949401892,1.2668647820274064,13.91584118608045,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
10,lr1e4_anneal_s314,a40,holdout_robust_score,-162.26056630560902,-0.275,-1.86,0.4694,0.0,1.8338,2.23,0.44,29032448,157.8906557559967,,,,,-162.26056630560902,-18.13727124471216,-23.169404016229606,-31.466761780261315,-4.900598792824963,31.398159940201513,0.95,-20.69571416327019,-27.121536654739494,-4.280590536402554,30.029756405984937,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
11,lr1e4_anneal_s271,a40,holdout_robust_score,-115.86268555448468,-0.1075,-0.37,0.4627,0.0,1.2434,1.84,0.44,27983872,157.56626868247986,,,,,-115.86268555448468,-1.5334493667858997,-12.939522527756338,-27.91597087226553,-2.941140251679595,31.314364536113114,0.5,-0.6482776712557096,-20.251404951471784,0.26224026911392284,26.447214258091744,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
12,lr1e4_anneal_s42_ent05,a40,holdout_robust_score,-82.54511926291278,0.0635,0.73,0.625,100.0,1.2853,2.24,0.44,27459584,157.51864385604858,,,,,-82.54511926291278,-0.7495986170199458,-3.0939784878087493,-21.98864497645176,-0.6661769735611319,21.910555531983746,0.45,0.8896684305130566,-8.939348344997141,0.500765788326372,15.911114681314325,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
13,lr1e4_anneal_tp01,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1311,-0.4,0.36,37257216,272.08759474754333,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
14,lr1e4_anneal_tp02,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.117,-0.32,0.36,31522816,315.54009675979614,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
15,lr1e4_anneal_tp03,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1405,-0.42,0.38,16515072,165.24823427200317,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
16,lr1e4_anneal_slip5,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1161,-0.33,0.37,37257216,331.9672648906708,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
17,lr1e4_anneal_slip8,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1146,-0.32,0.37,37257216,341.6848478317261,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,8.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
