trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,random_mut_9621,a40,holdout_robust_score,-41.200936031997145,-0.1445,-1.22,0.4,0.0,10.1322,8.48,0.66,44826624,450.5203001499176,,,,,-41.200936031997145,3.126217927398131,-0.05400333927780138,-8.196694438417616,0.12616932777493617,17.837403522757754,0.25,4.708152140737674,-5.096761406327673,1.5801614638907702,11.785378710789708,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,random_mut_8195,a40,holdout_robust_score,-114.23185468353174,-0.2219,-1.36,0.4444,0.0,2.5049,4.12,0.6,20054016,235.05950212478638,,,,,-114.23185468353174,-8.842214312659639,-13.53360986059476,-17.719933655275906,-2.833160579865073,19.11339886728598,0.95,-7.623047239191373,-16.02665229951084,-1.8443838712051162,18.491318465248728,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.02,0.0,0.0,0.02,0.0,0.98
2,random_mut_3888,a40,holdout_robust_score,-100.45324126521734,-0.159,-0.58,0.5,0.0,11.5622,8.51,0.66,42958848,450.4966125488281,,,,,-100.45324126521734,-6.1818707570136855,-11.668590547617987,-16.5102772696783,-2.976823533855452,19.77192006524423,0.75,-7.259228420091213,-14.282099981346242,-1.261081990182324,18.069963541091525,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.02,0.0,0.0,0.02,0.02,0.99
3,random_mut_5603,a40,holdout_robust_score,-143.73753959994224,-0.2288,-1.47,0.5122,0.0,0.7614,1.49,0.55,26116096,232.28514862060547,,,,,-143.73753959994224,-14.168634433753514,-18.686354895966605,-27.13579009665379,-3.330796512972493,28.884021104203438,0.95,-15.974073590957568,-22.958785917511808,-2.57650779325015,26.833534343811554,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
4,random_mut_2507,a40,holdout_robust_score,-76.44259129232677,-0.2433,-1.57,0.3966,0.0,2.2207,3.47,0.58,24150016,233.12239789962769,,,,,-76.44259129232677,-2.060481974083732,-7.544116944046378,-15.931232252543031,-2.230474336510943,17.29559165154533,0.45,0.24508647900207509,-11.643163907641023,0.29892831327431524,15.060617969413329,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.001,8.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,random_mut_6343,a40,holdout_robust_score,-141.22498941135544,-0.0975,-0.7,0.2308,0.0,3.8443,5.23,0.69,39092224,450.57388281822205,,,,,-141.22498941135544,-8.064757189892859,-16.07029973654931,-32.36435444759612,-3.3049749222268163,32.29665109869482,0.75,-8.947276725743414,-17.874551954306295,-2.1511212705301754,29.513340022684158,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.01,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,random_mut_4936,a40,holdout_robust_score,-131.64769525510152,-0.0903,-0.91,0.5306,0.0,0.8852,1.38,0.54,14188544,240.24996638298035,,,,,-131.64769525510152,-10.721243974430477,-14.475292349058627,-24.082280372521456,-3.6529194782490295,24.00628665918063,0.95,-11.46465721947755,-15.68660781387674,-2.8243896619997013,19.935478680231434,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.001,0.0,False,False,False,False,none,mlp,0.001,0.0,0.02,0.0,0.0,0.02,0.02,0.99
7,random_mut_456,a40,holdout_robust_score,-63.7396843728917,0.0962,1.04,0.5,100.0,3.6,4.76,0.6,28803072,450.62949657440186,,,,,-63.7396843728917,0.5048806556129055,-1.5051095386704447,-17.532884568953104,-0.1219660778063183,17.450334903856966,0.35,1.4933023627322108,-5.343944173966871,0.6308333907298238,14.614100645582418,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,5.0,False,False,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
8,random_mut_1080,a40,holdout_robust_score,-80.17484565471449,0.0127,0.42,0.451,100.0,0.3543,0.75,0.53,7110656,127.38598704338074,,,,,-80.17484565471449,-1.412065878330872,-7.458907489409695,-14.258485182063325,-1.988312233296619,23.59032618718796,0.5,0.9298350480995852,-14.194500974703772,0.38944381315601695,21.102991563099785,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.01,0.0,0.99
9,random_mut_3824,a40,holdout_robust_score,-85.6619330659911,0.0595,0.36,0.5676,100.0,12.062,8.61,0.65,6815744,126.12190628051758,,,,,-85.6619330659911,-3.004079338187623,-4.770897755005508,-15.072016942720293,-1.0516080407032917,14.987003946666954,0.8,-3.9027703942033893,-6.647997828510653,-0.7681383366014165,13.472953387109,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.08,0.0,0.0,True,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.01,0.99
