trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,q_wd01_tp05_slip5_s42,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1121,-0.37,0.35,18612224,166.64840841293335,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,q_wd01_tp05_slip5_s123,a40,holdout_robust_score,-147.77278176548847,0.1554,0.85,0.461,76.0,-0.1596,-0.47,0.4,18612224,151.666734457016,,,,,-147.77278176548847,-3.4405405824337882,-25.737796174880675,-41.011399403934995,-2.5899113749984934,42.07135196717332,0.4,2.121336198493382,-39.7082924890955,0.5629494220858733,41.4406924997748,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,q_wd01_tp05_slip5_s777,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1173,-0.37,0.33,12845056,130.44385600090027,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,q_wd01_tp05_slip5_s1137,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.156,-0.59,0.38,13172736,133.68786025047302,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,q_wd01_tp05_slip5_s5678,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1504,-0.54,0.35,12156928,130.36534690856934,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,q_wd01_tp05_slip5_s9621,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1453,-0.46,0.35,13074432,129.5548300743103,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,q_wd01_tp05_slip8,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1177,-0.44,0.33,13762560,133.39867186546326,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,q_wd01_tp05_slip10,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1039,-0.36,0.34,13664256,133.28168964385986,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,10.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,q_wd01_tp05_slip12,a40,holdout_robust_score,-87.96041570338456,0.011,0.25,0.4083,58.0,-0.1142,-0.4,0.32,12845056,132.97477102279663,,,,,-87.96041570338456,-1.4264295293377511,-10.406698969237304,-18.149652538210713,-1.292035261635434,22.53264996070238,0.55,-4.51115580538667,-16.592604295636395,-0.6120822015454775,19.930579800212477,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,12.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,q_wd01_tp05_slip15,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1382,-0.44,0.39,13008896,133.65770530700684,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,15.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
10,q_wd005_tp05_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1441,-0.52,0.35,12058624,129.42900133132935,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
