trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,s1137_lr2e4,a40,holdout_robust_score,-109.51884915097776,0.1659,1.29,0.4872,100.0,-0.0852,-0.24,0.37,37257216,339.1736750602722,,,,,-109.51884915097776,-5.763191365467877,-14.321632384448336,-22.64000462640609,-2.4233932158216858,27.251081151633848,0.6,-6.415600428316302,-18.0079830710325,-0.9666143642385403,27.103752206498555,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0002,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,s1137_h2048,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.139,-0.47,0.35,19202048,165.6347427368164,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,s1137_obs_norm,a40,holdout_robust_score,-85.6619330659911,0.0595,0.36,0.5676,100.0,-0.0359,-0.09,0.38,24543232,314.1211967468262,,,,,-85.6619330659911,-3.004079338187623,-4.770897755005508,-15.072016942720293,-1.0516080407032917,14.987003946666954,0.8,-3.9027703942033893,-6.647997828510653,-0.7681383366014165,13.472953387109,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,s1137_gamma995,a40,holdout_robust_score,-84.74842757786229,0.2068,1.31,0.5294,100.0,-0.0964,-0.29,0.37,37257216,425.9993562698364,,,,,-84.74842757786229,-1.9248747400535695,-7.556594742184711,-14.749965256245886,-1.1721084823264976,17.119876479226214,0.7,-3.239643735842019,-9.571908557000576,-0.542664044788008,16.508117410393798,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.995
4,s1137_anneal_ent,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.0402,-0.05,0.38,37257216,422.6208562850952,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,s5678_lr2e4,a40,holdout_robust_score,-83.49321410484514,0.1797,1.35,0.4545,100.0,-0.1592,-0.47,0.35,25362432,315.67652225494385,,,,,-83.49321410484514,-1.5764528172641867,-7.558081166296883,-14.29471222239532,-1.1721084823264976,16.67727926748131,0.7,-2.131676362152457,-9.92887309216185,-0.2553987093853656,16.508117410393798,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0002,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,s1137_sdp01_t001,a40,holdout_robust_score,-52.00790132867506,0.1908,1.35,0.5,100.0,-0.0955,-0.28,0.37,37257216,512.9815375804901,,,,,-52.00790132867506,2.7339656808576733,-0.47247248619408305,-15.548813479270848,0.1842216140880074,15.648911668282944,0.25,2.7257081446266054,-3.900723404339474,1.2480677862188627,14.509786955458514,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.1,0.01,0.0,0.99
7,s1137_sdp005_t002,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.0893,-0.27,0.37,37257216,405.1733067035675,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.05,0.02,0.0,0.99
8,s1137_sdp01_t002,a40,holdout_robust_score,-84.49190479992117,-0.069,0.11,0.4306,0.0,-0.1717,-0.53,0.39,35028992,311.1515076160431,,,,,-84.49190479992117,-2.843698799765234,-9.211836826460935,-14.41526389555587,-1.426210372891606,18.60665963241438,0.65,-2.823808156484183,-13.312853167025152,-0.5206887263811215,17.32453800392662,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.1,0.02,0.0,0.99
9,s1137_sdp02_t001,a40,holdout_robust_score,-24.148345704273545,0.2224,1.35,0.5769,100.0,-0.1404,-0.43,0.38,33357824,309.89140224456787,,,,,-24.148345704273545,8.940076669467466,3.940349489195719,-8.135043282715614,1.2602774417699514,12.059780245672405,0.15,5.6968684741974,-0.8074139317760742,1.9157757551971342,11.929093884568863,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.2,0.01,0.0,0.99
