trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,s1137_tp01,a40,holdout_robust_score,-87.66460828503658,0.1325,1.25,0.5312,100.0,-0.0967,-0.3,0.37,37257216,336.9374268054962,,,,,-87.66460828503658,-1.475403872098073,-9.170054163669388,-16.434765412040704,-2.8159794966123304,19.631704504197838,0.6,-1.3147528634199444,-9.939440247315412,-0.2719191529307352,12.862169127895045,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
1,s1137_tp02,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1629,-0.52,0.37,17793024,165.6711118221283,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
2,s1137_tp03,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1531,-0.49,0.38,17104896,165.7037410736084,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
3,s1137_slip5,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.0665,-0.16,0.38,37257216,341.14435839653015,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,s1137_slip8,a40,holdout_robust_score,-59.58272054028257,0.2523,1.48,0.5789,100.0,-0.0577,-0.13,0.38,37257216,352.849081993103,,,,,-59.58272054028257,4.017372840555952,-0.7060530582400543,-16.559578353579816,-0.029879201663274846,16.658478504558296,0.35,4.145795516211738,-2.84586517766689,1.392532076037456,13.724767418779434,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,8.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,s1137_slip12,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1087,-0.31,0.36,17858560,162.54430103302002,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,s1137_ent03,a40,holdout_robust_score,-61.02404481382277,0.1137,1.27,1.0,100.0,-0.0556,-0.09,0.41,16351232,160.2477569580078,,,,,-61.02404481382277,0.7847052427317918,-1.5139806452808444,-17.532884568953104,-0.07728115928393664,17.450334903856966,0.3,2.1350849463599935,-5.344779214954945,0.7617176199733562,14.50927848607704,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,s1137_ent07,a40,holdout_robust_score,-61.02404481382277,0.1137,1.27,1.0,100.0,-0.1405,-0.48,0.34,16777216,163.495050907135,,,,,-61.02404481382277,0.7847052427317918,-1.5139806452808444,-17.532884568953104,-0.07728115928393664,17.450334903856966,0.3,2.1350849463599935,-5.344779214954945,0.7617176199733562,14.50927848607704,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.07,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,s1137_wd003,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1114,-0.26,0.34,17301504,164.62364673614502,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.003,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,s1137_wd01,a40,holdout_robust_score,-85.68175184671321,0.0595,0.36,0.5676,100.0,-0.1279,-0.35,0.39,17956864,161.16732048988342,,,,,-85.68175184671321,-3.06070442596511,-4.770897755005508,-15.072016942720293,-1.0516080407032917,14.987003946666954,0.8,-3.9027703942033893,-6.647997828510653,-0.7681383366014165,13.472953387109,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
10,s1137_tp02_slip8,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1369,-0.4,0.38,16318464,166.4053053855896,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,8.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
11,s1137_tp01_ent03,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1188,-0.32,0.38,17104896,164.06993889808655,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
12,s1137_tp01_wd003,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1124,-0.35,0.38,15958016,165.51528000831604,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.003,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
13,s5678_tp01,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1526,-0.51,0.41,11370496,163.74467706680298,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
14,s5678_tp02,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0944,-0.27,0.37,12910592,166.72999000549316,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
15,s5678_slip8,a40,holdout_robust_score,-73.56905151883893,0.1882,1.44,0.4722,100.0,-0.1296,-0.37,0.4,13533184,165.6372458934784,,,,,-73.56905151883893,-1.9919960051398147,-7.686088372721306,-13.428192100703837,-1.0543333557176062,18.679389109473014,0.5,-0.1658825426492058,-10.395263305990394,0.21780727565688654,18.679389109473,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,8.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
16,s5678_ent03,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1156,-0.32,0.39,12976128,168.44426155090332,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
17,lr1e4_anneal_s8675,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1147,-0.36,0.36,14254080,165.3941843509674,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
18,lr1e4_anneal_s2345,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1768,-0.57,0.37,13664256,166.3393096923828,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
19,lr1e4_anneal_s999,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1326,-0.36,0.38,12943360,168.0885672569275,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
20,lr1e4_anneal_s13,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1933,-0.63,0.36,13303808,164.97213006019592,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
21,s1137_transformer,a40,val_return,0.1272,0.1272,1.39,1.0,100.0,-0.1072,-0.31,0.36,9863168,167.1415457725525,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 484, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 324, in main hidden = _infer_hidden_size(state_dict, arch=...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,transformer,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
22,s1137_resmlp,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.0896,-0.26,0.37,37257216,522.1796584129333,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,resmlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
23,s1137_gru,a40,val_return,0.2003,0.2003,1.27,1.0,100.0,-0.134,-0.42,0.41,10682368,172.4131314754486,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 484, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 324, in main hidden = _infer_hidden_size(state_dict, arch=...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,gru,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
