trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,random_mut_905,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1608,-0.44,0.34,37257216,515.8640305995941,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,random_mut_3563,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1472,-0.41,0.41,25821184,311.2032296657562,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,random_mut_7222,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1147,-0.33,0.36,37257216,329.10215187072754,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,random_mut_1423,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1509,-0.44,0.41,17367040,161.83762288093567,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,random_mut_2971,a40,holdout_robust_score,-37.251968041345954,0.219,1.31,0.5652,100.0,-0.1293,-0.39,0.37,37257216,377.5904686450958,,,,,-37.251968041345954,6.818639866910611,0.4221500947298364,-12.799660515195354,0.38475744265799006,12.799660515195388,0.15,7.00527562078907,-0.45097021991502684,1.7251799293110923,11.987012658154098,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,random_mut_789,a40,holdout_robust_score,-51.04220098805365,0.2523,1.28,0.6182,100.0,-0.0898,-0.25,0.4,37257216,410.4738461971283,,,,,-51.04220098805365,4.790513624849655,-1.2464494289865706,-11.090265999385792,-0.07318302268075089,13.95569513603483,0.4,3.098811153844472,-2.931251594842253,1.0830526349828968,12.719519594911159,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,random_mut_6862,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1153,-0.37,0.4,12681216,170.201721906662,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,random_mut_6933,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.152,-0.47,0.37,8945664,178.41766667366028,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,random_mut_8044,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1515,-0.49,0.38,8060928,177.76092171669006,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,random_mut_5891,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1482,0.48,0.39,8290304,164.52198672294617,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
