trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,h100_mut2272_style,h100,holdout_robust_score,-77.11406093585532,0.1957,0.99,1.0,100.0,4.8378,5.36,0.61,15597568,73.86002397537231,,,,,-77.11406093585532,0.6738150521358783,-2.9236249524819096,-15.809208140461179,-0.16819309734588983,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,h100_mut2272_slip5,h100,holdout_robust_score,-138.3006102129139,-0.3741,-2.39,0.5588,0.0,3.1524,4.49,0.59,15597568,73.90572261810303,,,,,-138.3006102129139,-14.097757093407651,-16.277256004573264,-24.789276713793107,-2.717462437236817,27.261519583579958,1.0,-13.277849052677503,-23.175881345881766,-2.227832770585052,25.220295632680646,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.005,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,h100_mut2272_ent05,h100,holdout_robust_score,-164.08468334314816,-0.4303,-2.89,0.425,0.0,1.8286,3.56,0.58,15597568,72.73180079460144,,,,,-164.08468334314816,-22.82261459047755,-25.762612212308856,-29.234427146984952,-4.353891132799544,31.560553997892832,1.0,-23.01250345440756,-27.80473672587923,-3.9382276565586873,28.96359355749168,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,h100_slip_10bps,h100,holdout_robust_score,-80.02782077101617,0.1012,0.41,0.5,100.0,1.7624,3.38,0.57,15597568,72.75372266769409,,,,,-80.02782077101617,0.06865941273961625,-4.022560374314735,-16.76227466484792,-0.34500954765721015,25.407558188414036,0.5,0.20304528942018812,-9.658609144830272,0.36851587480562165,25.407558188414033,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,h100_slip_5bps,h100,holdout_robust_score,-158.12625711685084,-0.3646,-2.44,0.4419,0.0,1.5825,3.15,0.57,15597568,71.97133946418762,,,,,-158.12625711685084,-15.488722845981561,-20.404343074097433,-31.067437581321027,-3.2742062588893157,32.22195833043211,1.0,-16.186105182534856,-23.85914546616941,-2.967259432470712,30.65041089389611,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,h100_slip_15bps,h100,holdout_robust_score,-173.44090482436752,-0.1679,-0.81,0.5106,0.0,2.8925,4.6,0.6,15597568,73.75064015388489,,,,,-173.44090482436752,-17.563309445608517,-32.44597290783051,-36.72972487919846,-5.419231543111103,38.16862186852083,0.75,-23.443180571007755,-34.60109150871611,-3.8628052986111743,38.130374249395835,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,15.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,h100_ent_05,h100,holdout_robust_score,-75.05677680531724,0.1252,1.09,0.3158,100.0,2.0154,3.61,0.58,15597568,72.89921832084656,,,,,-75.05677680531724,0.6090368585611868,-3.845526993364551,-16.04238660190047,-0.31293198556694035,27.509352377341266,0.4,1.3187027773453701,-11.18856460609009,0.5254096112425446,24.759611401311222,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,h100_ent_03,h100,holdout_robust_score,-108.6783024775355,0.0768,0.76,0.5385,100.0,2.7623,4.14,0.58,15597568,74.43118596076965,,,,,-108.6783024775355,-5.066163406615094,-6.95764468872981,-21.012314868487955,-0.9118849389992139,27.509352377341266,0.8,-4.481227906300719,-16.873659908583324,-0.5829092100587837,24.60502551605449,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,h100_ent_08,h100,holdout_robust_score,-132.9289579471084,-0.2441,-1.21,0.5185,0.0,1.4629,3.03,0.57,15597568,73.56411790847778,,,,,-132.9289579471084,-10.604336876168382,-19.451617916070184,-25.457875183291222,-2.9099461570991227,29.47625778298766,0.8,-11.369437455504357,-20.694585879898053,-1.5114573628794608,26.772590210008513,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,h100_trade_pen_10,h100,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,0.0002,0.1,0.09,15597568,71.08925271034241,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
