trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,random_mut_2924,a40,holdout_robust_score,-182.35124408891494,0.1445,1.19,0.5278,100.0,-0.1841,-0.35,0.5,38797312,461.8750720024109,,,,,-182.35124408891494,-15.129917274231875,-23.8773926452891,-40.68340992182197,-2.0240979346135624,43.19742924251073,1.0,-11.543254143204623,-26.902722082385495,-0.8511971463192992,40.37713340202171,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.1,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.01,0.005,0.99
1,random_mut_5492,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.2235,-0.49,0.51,19333120,319.3815972805023,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.01,0.005,0.99
2,random_mut_8697,a40,holdout_robust_score,-53.68499324734352,0.1137,1.27,1.0,100.0,-0.2108,-0.47,0.5,10649600,167.75332975387573,,,,,-53.68499324734352,0.18108907181673925,-1.7783531557703691,-7.792562209661938,-0.03011042818175453,17.450334903856966,0.45,0.372212750224844,-3.579447093483462,0.27125332739199204,17.4316455916393,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.08,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.05,0.0,0.0,0.01,0.005,0.99
3,trade_pen_high,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2897,-0.81,0.49,10616832,175.21812868118286,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
4,trade_pen_vhigh,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2225,-0.63,0.5,10551296,179.94650650024414,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.2,0.0,0.0,0.0,0.02,0.0,0.99
5,slip_3bps,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.2127,-0.46,0.51,8454144,172.0872402191162,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,3.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,combined_smooth,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9601024,177.58414673805237,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.02,0.0,3.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
7,sortino_top1_tp,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2775,-0.74,0.5,9502720,173.64647483825684,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,sortino_sds_pen,a40,holdout_robust_score,-181.66682411309407,0.1303,1.11,0.5405,100.0,-0.238,-0.61,0.51,17530880,326.45797538757324,,,,,-181.66682411309407,-15.70646864358786,-24.72780390762405,-39.98186347396208,-2.126511460473637,42.52561648841099,1.0,-12.409441222211699,-26.668178076466553,-0.9112825296645333,39.04112833000973,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.5,0.02,0.0,0.99
9,sortino_dd_slip,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.2277,-0.54,0.5,19169280,316.1475386619568,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.02,5.0,True,True,False,False,none,mlp,0.001,0.02,0.05,0.0,0.0,0.02,0.0,0.99
