trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,random_mut_1363,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.158,-0.24,0.51,35684352,601.0097577571869,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,random_mut_3159,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.1422,-0.26,0.51,16711680,600.7320680618286,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.08,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.05,0.005,0.99
2,random_mut_2594,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.2045,-0.45,0.5,30474240,600.3742480278015,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.08,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.05,0.0,0.99
3,random_mut_8597,a40,holdout_robust_score,-25.609593144848898,0.0942,0.96,0.5833,100.0,-0.1599,-0.32,0.51,32833536,600.3685014247894,,,,,-25.609593144848898,7.340637646745828,4.095669258336366,-7.920307410750666,0.7510213672072412,15.187756850280657,0.1,7.390032341361776,1.278235107240948,1.259913774889292,15.102944607131008,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.08,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.02,0.005,0.99
4,random_mut_5409,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.1978,-0.41,0.5,36732928,600.6490898132324,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.08,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.01,0.005,0.99
5,random_mut_1103,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.1495,-0.26,0.51,32342016,600.3052461147308,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.05,0.005,0.99
6,trade_pen_high,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1731,-0.35,0.5,7602176,184.89413738250732,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
7,trade_pen_vhigh,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2346,-0.66,0.5,8192000,178.48479461669922,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.2,0.0,0.0,0.0,0.02,0.0,0.99
8,slip_3bps,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.145,-0.18,0.51,35389440,600.4180216789246,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,3.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,combined_smooth,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,0.8021,2.04,0.64,26214400,600.4677014350891,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.02,0.0,3.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
10,sortino_top1_tp,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2361,-0.56,0.5,7405568,178.13721632957458,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
