trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,tp03_seed_1,a40,holdout_robust_score,-66.53576229776448,0.064,1.42,0.5278,100.0,3.2893,4.38,0.59,4292608,72.8349380493164,,,,,-66.53576229776448,0.13370994362998595,-7.288971868102685,-12.106406155652948,-2.001575656311414,15.230270844685801,0.45,4.633761016989083,-11.903380374978994,1.1604347620328341,14.36481365234554,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
1,tp03_seed_2,a40,holdout_robust_score,-63.49920597163939,0.0159,1.01,0.5556,100.0,3.5259,4.69,0.61,4292608,70.26256084442139,,,,,-63.49920597163939,0.4097208330881997,-7.717503897746355,-10.818581764359552,-1.825366106668468,14.419155501682912,0.45,4.556699603448259,-10.600100656386996,1.1056148598789144,14.015068857980683,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
2,tp03_seed_3,a40,holdout_robust_score,-80.14656279243242,0.0975,0.96,0.5769,100.0,3.5429,4.36,0.59,4292608,53.93725609779358,,,,,-80.14656279243242,-0.1763747628880541,-5.077273596285922,-14.738059371243054,-0.8969693748843774,20.952504044944682,0.6,-0.6046836622070896,-9.935389402101192,0.19805050082619444,17.594658370183307,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
3,tp03_seed_4,a40,holdout_robust_score,-71.86693672398222,0.2022,1.22,0.5429,100.0,3.1096,4.15,0.58,4292608,53.68332886695862,,,,,-71.86693672398222,3.719138581389964,1.542060316758275,-27.168712561485854,0.6632627735290848,27.09580836985571,0.15,6.2093965429321445,-0.922719195162415,1.7944567864213865,18.2078715145436,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,tp03_seed_5,a40,holdout_robust_score,-84.2138401427452,0.1605,1.24,0.5789,100.0,4.5144,5.24,0.61,4292608,53.827033281326294,,,,,-84.2138401427452,0.7637350184783742,-7.470661428057797,-18.858820553415363,-1.4365182392981,23.707041126242093,0.45,1.3514033369260505,-11.618636033768427,0.5926779849020798,20.486555151972585,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
5,tp03_seed_6,a40,holdout_robust_score,-100.24798631557081,0.0512,0.11,0.5833,100.0,3.4397,4.52,0.59,4292608,54.10516834259033,,,,,-100.24798631557081,-4.393093762444509,-8.622000143796281,-18.13151106133474,-1.7291898359538749,25.332891079493518,0.7,-4.010727468964788,-16.762250058423156,-0.5360556091303117,25.258223970573034,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
6,tp03_seed_7,a40,holdout_robust_score,-97.22401315142675,0.0509,0.08,0.5455,100.0,0.7645,1.91,0.55,2031616,29.94418501853943,,,,,-97.22401315142675,-2.389646890124266,-8.266962200134977,-19.94726152951029,-1.4931704500948504,25.332891079493518,0.6,-1.0660173253603533,-15.317753579206023,0.15562918007328672,25.258223970573034,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
7,tp03_seed_8,a40,holdout_robust_score,-44.33517323212945,0.2012,1.67,0.65,100.0,3.2385,4.41,0.59,4292608,54.181764125823975,,,,,-44.33517323212945,3.850942580788755,2.4515967996560266,-12.889977225064994,0.8252245988924298,19.281549527428325,0.2,5.3455589938375025,-7.359384515029779,1.5129815985638944,19.281549527428318,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
8,tp03_seed_9,a40,holdout_robust_score,-87.18893783634984,0.0896,0.34,0.5,100.0,3.094,3.93,0.58,4292608,54.829734563827515,,,,,-87.18893783634984,-1.91707608427959,-6.372137378202479,-17.29517924926848,-0.8378814251837625,25.332891079493518,0.55,-1.582049399204434,-15.317753579206023,0.020669058871188195,25.258223970573034,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
9,tp03_seed_10,a40,holdout_robust_score,-89.28254302152946,0.0377,0.03,0.4,100.0,4.4713,4.62,0.6,4292608,55.17923450469971,,,,,-89.28254302152946,-1.7561384777055462,-5.973336261535014,-17.83201365150824,-0.8485305843156913,25.332891079493518,0.6,-2.39286747092071,-15.317753579206023,-0.09175310507827633,25.258223970573034,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
