trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,tp03_s777,a40,holdout_robust_score,-67.7382716467145,-0.0059,0.17,0.5429,0.0,0.7643,1.91,0.54,4292608,68.28002595901489,,,,,-67.7382716467145,0.14213937444889418,-4.835850840918111,-16.448449595839392,-0.776276142052299,16.547973182459195,0.4,1.095894600122101,-8.229091807513822,0.5350534009554448,16.547973182459184,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
1,tp03_s7,a40,holdout_robust_score,-78.13150639127426,-0.0022,0.05,0.4737,0.0,-0.0382,0.09,0.51,2064384,34.62764096260071,,,,,-78.13150639127426,-3.970937228774088,-7.426590752518023,-10.903549044226565,-2.970916337226738,12.64290910461074,0.7,-6.1677752217219135,-8.809057558646641,-2.162786303464719,12.64290910461069,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
2,tp03_s42,a40,holdout_robust_score,-174.283626721546,,,,,0.8961,1.94,0.54,4292608,67.79413032531738,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 585, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 427, in main ckpt = torch.load(args.checkpoint, map_location=device, weigh...",,,,-174.283626721546,-15.552119214592247,-28.939276579798396,-37.15858453532378,-4.201484204967683,38.799249787367906,0.85,-15.45552990061238,-29.948140778767417,-2.7685811847611554,38.7992497873679,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
2,tp03_s42,a40,holdout_robust_score,-174.66664641027083,-0.3486,-1.95,0.4615,0.0,0.8052,2.02,0.54,4292608,69.83861875534058,,,,,-174.66664641027083,-17.125667108841423,-26.938904930077186,-40.045120099506406,-4.06876428541095,41.11075266749532,0.75,-20.51038384777687,-37.98962102200241,-3.306837463603469,41.00531327464508,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
3,tp03_s123,a40,holdout_robust_score,-53.078400507379804,0.1957,0.99,1.0,100.0,-0.0683,0.03,0.51,1802240,34.70264029502869,,,,,-53.078400507379804,-0.034504619151075534,0.0,-0.6022567474252719,0.0,0.6022567474252719,1.0,0.0,-0.008783563559623859,0.0,0.00999000999000796,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
3,tp03_s123,a40,holdout_robust_score,-113.03410515240222,-0.1637,-0.71,0.3333,0.0,0.541,1.59,0.54,3538944,57.53796887397766,,,,,-113.03410515240222,-9.641535300408725,-12.599417875468516,-15.251531604093216,-4.251874983258805,18.93849653399017,0.95,-11.040035435456447,-13.270040044555707,-2.5769076893327223,16.76801191851012,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,tp03_s888,a40,holdout_robust_score,-57.75993138745719,0.0,0.0,0.0,0.0,-0.0432,0.1,0.52,2031616,40.69801688194275,,,,,-57.75993138745719,-0.21851068381335517,0.0,-2.732763304630807,0.0,2.732763304630807,1.0,0.0,-0.1637450371636294,0.0,0.16374503716363192,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
5,tp03_s1111,a40,holdout_robust_score,-82.02715642175062,-0.002,0.04,0.4737,0.0,-0.0569,0.08,0.51,1572864,37.30186939239502,,,,,-82.02715642175062,-4.883992357902995,-8.576336282471093,-10.903549044226565,-2.9785782795123423,12.64290910461074,0.75,-6.21029008401475,-10.411424039755941,-2.21147528582197,12.64290910461069,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
4,tp03_s888,a40,holdout_robust_score,-165.64617376346013,-0.1766,-1.3,0.3571,0.0,0.7711,1.82,0.54,4292608,72.25851440429688,,,,,-165.64617376346013,-14.325673841412467,-25.232562073608143,-34.5841270657389,-3.5890395661726395,39.17266077547177,0.85,-14.509194267293724,-33.31481566381906,-2.7137985218112806,37.8373297733161,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
6,tp03_s2272,a40,holdout_robust_score,-56.594378758058085,0.0,0.0,0.0,0.0,-0.1273,-0.13,0.51,1703936,35.979865312576294,,,,,-56.594378758058085,-0.12059460015670813,0.0,-2.2514573140317773,0.0,2.2514573140317773,1.0,0.0,-0.016043468910238494,0.0,0.016043468910238744,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
