trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,random_mut_7803,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2003,-0.43,0.5,28114944,338.67902874946594,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.01,0.99
1,random_mut_9845,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2207,-0.52,0.5,28114944,334.36428928375244,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.02,0.0,0.0,0.02,0.0,0.99
2,random_mut_459,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2355,-0.6,0.5,28114944,319.0025637149811,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.05,0.05,0.0,0.0,0.02,0.0,0.99
3,random_mut_118,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,0.9506,2.28,0.63,28114944,312.2706880569458,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,True,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,random_mut_9617,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2163,-0.51,0.5,15007744,166.98011183738708,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.05,0.0,0.0,0.02,0.01,0.99
5,random_mut_3776,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1232,-0.19,0.52,15073280,168.19472742080688,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,True,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,random_mut_7878,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.2328,-0.6,0.5,14876672,168.47992277145386,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.05,0.0,0.99
7,random_mut_7347,a40,holdout_robust_score,-135.6427618381262,0.1957,0.99,1.0,100.0,-0.1681,-0.26,0.51,28114944,311.9374876022339,,,,,-135.6427618381262,-7.6592768996872405,-16.865691890919155,-29.94759309457942,-1.2613474229648474,33.645775581772284,0.75,-6.021238852323031,-20.453305894404807,-0.2773147790677202,33.64577558177228,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
8,random_mut_7439,a40,holdout_robust_score,-48.5184431689248,-0.0202,-0.74,0.0,0.0,-0.2089,-0.48,0.5,14647296,167.11855053901672,,,,,-48.5184431689248,-0.14900757088713087,-0.2209189384572346,-1.9050770088484204,-0.16149405719776672,1.9050770088484204,0.85,0.0,-0.2467421312672104,0.0,1.9050770088484204,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.5,0.02,0.0,0.99
9,random_mut_5246,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1586,-0.29,0.5,15433728,168.4589946269989,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.995
