trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,h256_lr1e4_slip12_dp01_s1137,a40,holdout_robust_score,-62.99084538565513,0.1874,1.21,0.3333,100.0,-0.1099,-0.28,0.38,12156928,90.24994897842407,,,,,-62.99084538565513,0.7000151646484256,-5.507659804352166,-11.41578743349961,-0.730941794194413,16.58319253711037,0.45,2.38068820492691,-9.92887309216185,0.8058781059587863,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0001,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.02,0.0,0.99
1,h256_lr1e4_s1137,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.0148,0.08,0.41,7962624,54.32828235626221,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,h512_lr3e4_slip12_dp01_s1137,a40,holdout_robust_score,-82.90471002434376,0.3813,1.75,0.5909,100.0,0.0206,0.21,0.41,13434880,90.26796793937683,,,,,-82.90471002434376,-2.6157700824634618,-4.477406546862854,-11.573658673447843,-0.9513299920435403,18.07777236251786,0.8,-1.947791632501794,-8.653701226757274,-0.17368989572516455,18.077772362517823,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.0003,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.02,0.0,0.99
3,h256_lr3e4_slip12_dp0_s1137,a40,holdout_robust_score,-153.20847517628977,-0.3776,-2.12,0.4211,0.0,0.4934,0.77,0.4,8290304,51.4857759475708,,,,,-153.20847517628977,-14.659609167162305,-24.642188268228438,-29.316802177211475,-4.23060364878372,32.64098096545822,0.85,-18.050074855288866,-27.780238194475803,-3.4086898855403813,29.902666425454328,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.0,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,h256_lr3e4_slip0_dp01_s1137,a40,holdout_robust_score,-37.05066677871976,0.2067,1.86,0.5,100.0,-0.1135,-0.32,0.33,13795328,90.39976501464844,,,,,-37.05066677871976,12.068724769223547,3.36874826332009,-10.94269789990707,0.9654744108824802,15.86984887307116,0.25,5.814544902376129,-6.618363391178391,1.6030066033285921,11.529696794821625,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.01,0.0,0.0,0.02,0.0,0.99
5,h256_lr3e4_s1137,a40,holdout_robust_score,-60.73449742167207,0.142,1.28,0.5556,100.0,-0.1304,-0.42,0.38,11173888,76.79857277870178,,,,,-60.73449742167207,1.6569554301734897,-5.734573465066491,-11.312489748096413,-1.4450994167108036,13.490361835437415,0.45,1.537546514484775,-8.293690874535015,0.6995950988528806,13.490361835437415,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,p_vfcoef_025,a40,holdout_robust_score,-56.925933833837995,0.2076,1.17,0.614,100.0,-0.1193,-0.32,0.42,10354688,78.29773831367493,,,,,-56.925933833837995,2.029746585693455,-3.1352745171560037,-12.33375822652959,-0.6056072298690468,14.352792351523295,0.4,2.5934478774226957,-5.295026247662879,0.9075265158741972,12.469055908433747,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,p_vfcoef_10,a40,holdout_robust_score,-71.0231609096127,0.1694,1.29,0.6,100.0,-0.0955,-0.3,0.41,6684672,56.88239312171936,,,,,-71.0231609096127,-0.7335111599339659,-7.558081166296883,-11.491746261593743,-1.1721084823264976,16.58319253711037,0.55,-2.144254515661896,-9.92887309216185,-0.18770227494213337,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,p_vfcoef_075,a40,holdout_robust_score,-62.58203580928708,0.23,1.28,0.5517,100.0,-0.0927,-0.23,0.36,6324224,58.124096632003784,,,,,-62.58203580928708,0.27509066625769363,-5.167169794600731,-8.404423940443776,-0.708852333557562,16.50140773834836,0.55,-0.7172911533779733,-6.038515801624608,0.009014110325203342,14.226764709171825,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,p_gradnorm_03,a40,holdout_robust_score,-64.87104930869027,0.2003,1.27,1.0,100.0,-0.1278,-0.4,0.37,6782976,56.72787070274353,,,,,-64.87104930869027,0.5651939423084505,-5.507659804352166,-12.53545854567572,-0.730941794194413,16.58319253711037,0.45,1.6342506394665084,-9.92887309216185,0.6153667588842497,16.499775729647506,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
