trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,q_wd01_tp05_slip5_s42,a40,holdout_robust_score,-67.79637865543557,0.1571,1.44,0.5789,100.0,-0.1259,-0.42,0.35,12910592,90.33149695396423,,,,,-67.79637865543557,-1.0655201101222664,-4.437412156293721,-7.055527513970937,-1.5352161884548048,12.035355499226844,0.75,-2.2507467858061863,-5.229820685450227,-0.6186496512535535,10.146994332109468,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,q_wd01_tp05_slip5_s123,a40,holdout_robust_score,-4.049525092040666,0.1401,1.18,0.5263,100.0,-0.1282,-0.42,0.35,10289152,76.62206959724426,,,,,-4.049525092040666,12.108447621408992,1.498437587492267,-2.395355071840877,1.1995424226631621,5.157527387418194,0.05,10.597207355180252,0.9973679079090726,3.1817718635563264,4.458531354359898,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,q_wd01_tp05_slip5_s777,a40,holdout_robust_score,-76.48920018861895,-0.071,-1.39,0.5,0.0,-0.1312,-0.45,0.38,10944512,80.4392716884613,,,,,-76.48920018861895,-3.2816588302136913,-4.842361903963106,-8.056098100571361,-1.8658831164072893,9.11985389581412,0.9,-3.555374620885559,-6.076716376457644,-1.2911892278361017,9.037979890314848,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,q_wd01_tp05_slip5_s1137,a40,holdout_robust_score,-51.815134232778455,0.0,0.0,0.0,0.0,-0.1108,-0.34,0.34,8454144,57.68710374832153,,,,,-51.815134232778455,0.05287529696073488,0.0,-1.2705961004714117,0.0,1.2705961004714117,0.95,0.0,0.0,0.0,0.009999999999999577,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,q_wd01_tp05_slip5_s5678,a40,holdout_robust_score,-21.560312692409536,0.0289,0.82,0.5,100.0,-0.1093,-0.37,0.4,8323072,58.27428698539734,,,,,-21.560312692409536,1.0248540217544813,0.2805802008769206,-3.5820428833378903,0.24275993457059264,3.6784608404545476,0.25,0.3741069345025608,-0.2144954150032481,0.3730242918698007,3.5916750468860124,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,q_wd01_tp05_slip5_s9621,a40,holdout_robust_score,-72.30746572060227,0.007,-0.36,0.5263,100.0,0.1249,0.45,0.41,7798784,55.49862504005432,,,,,-72.30746572060227,-3.079180289556756,-5.41924630476537,-9.58759767598618,-2.1296519464755916,12.123320143727618,0.7,-3.7527578789181644,-8.587681218260004,-1.4626310754960146,9.750942498493945,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,q_wd01_tp05_slip8,a40,holdout_robust_score,-83.12480859890782,-0.0444,-1.17,0.5,0.0,0.3857,0.97,0.36,10387456,78.17025876045227,,,,,-83.12480859890782,-4.3646394968199544,-6.161543200465608,-9.027674366929805,-2.3838352806394747,9.497118831745853,0.95,-4.2730373567755855,-8.538793090630024,-1.698025947141212,9.406534416450448,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,q_wd01_tp05_slip10,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1154,-0.35,0.37,6815744,58.70840096473694,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,10.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,q_wd01_tp05_slip12,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1053,-0.3,0.38,6815744,57.5447633266449,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,12.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,q_wd01_tp05_slip15,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0948,-0.28,0.37,6881280,58.34341812133789,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,15.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
