trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,s_wd01_tp05_slip5_s200,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1411,-0.44,0.35,5177344,65.04859185218811,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,s_wd01_tp05_slip5_s314,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1288,-0.4,0.34,4358144,69.65227627754211,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,s_wd01_tp05_slip5_s2024,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.128,-0.46,0.38,3997696,69.09426474571228,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,s_wd01_tp05_slip5_s3141,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1283,-0.41,0.38,4390912,63.07284235954285,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,s_wd01_tp05_slip5_s4242,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1552,-0.53,0.39,4259840,64.2420163154602,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,s_wd01_tp05_slip5_s7777,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.114,-0.3,0.38,4259840,64.05332660675049,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,s_wd01_tp05_slip5_s8192,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1524,-0.56,0.38,5570560,59.33880066871643,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,s_wd01_tp05_slip5_s9999,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0857,-0.24,0.35,5472256,57.03459668159485,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,s_clip01_wd01_tp05_slip5_s123,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1657,-0.54,0.39,4751360,59.78729748725891,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,s_vf025_wd01_tp05_slip5_s123,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0876,-0.16,0.38,5013504,57.748310565948486,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
