trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,u_grpo_s123,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1431,-0.41,0.38,3964928,61.54355335235596,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,u_grpo_s5678,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1739,-0.59,0.42,6553600,84.75172758102417,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,u_grpo_s314,a40,holdout_robust_score,-101.66959059377506,-0.0528,-1.35,0.4737,0.0,-0.1309,-0.38,0.36,5734400,58.61569595336914,,,,,-101.66959059377506,-7.1594878272695635,-9.958875649160236,-12.787860807294162,-3.965379283024198,12.787860807294162,1.0,-7.190242517314199,-12.319186607523406,-3.0771908184889143,12.319186607523406,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,u_grpo_s200,a40,holdout_robust_score,-86.79233425510151,-0.0254,-0.94,0.4444,0.0,-0.1425,-0.4,0.4,5701632,58.88150358200073,,,,,-86.79233425510151,-5.380443237503927,-8.78750089853706,-12.787860807294162,-3.6521087876797247,12.787860807294162,0.75,-6.9577705156358025,-12.319186607523406,-2.9934001721843364,12.319186607523406,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,u_grpo_s400,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1327,-0.41,0.38,6684672,60.34412097930908,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,u_grpo_s500,a40,holdout_robust_score,-53.08840839021336,0.0,0.0,0.0,0.0,-0.1546,-0.48,0.37,6160384,61.753737449645996,,,,,-53.08840839021336,-0.07500107373108858,0.0,-1.831552790157366,0.0,1.831552790157366,0.95,0.0,0.0,0.0,0.009999999999999355,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,u_grpo_s600,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1513,-0.5,0.35,5767168,63.10112142562866,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,u_grpo_s700,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1404,-0.44,0.37,5210112,59.99694871902466,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,u_grpo_s800,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1645,-0.59,0.35,5046272,60.33035945892334,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,u_grpo_s900,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1557,-0.51,0.38,4882432,62.599865436553955,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
