trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,baseline_anneal_lr,a40,holdout_robust_score,-115.66893023940194,0.0025,-1.51,0.4644,37.0,0.002,0.34,0.49,93552640,600.4280433654785,,,,,-115.66893023940194,-4.998470882643218,-13.45833413862737,-20.762038305923454,-3.7009627153837528,24.0126217051801,0.75,-6.541590855801241,-18.440257822818403,-2.2175294776117944,21.146465413620316,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,obs_norm,a40,holdout_robust_score,-151.15603821574874,0.0619,1.39,0.5943,61.0,0.0664,1.36,0.42,61767680,600.5669214725494,,,,,-151.15603821574874,-1.3066514205226594,-17.131533772118193,-38.51368345391216,-3.539544193820104,44.1592675095071,0.55,-4.767707509723196,-20.711853073385058,0.37559601473508686,34.01927772809453,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,cosine_lr,a40,holdout_robust_score,-116.18772253590132,0.0249,0.37,0.5222,50.0,0.0402,1.11,0.5,29720576,307.41368341445923,,,,,-116.18772253590132,7.242964577637356,-9.221291275139542,-30.932599120969904,-1.6345206105380432,36.01192933894624,0.5,-0.675210764906533,-16.601529258736893,0.26963027056258815,32.62190575211559,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,ent_anneal,a40,holdout_robust_score,-106.74628021517141,0.0229,0.76,0.5193,53.0,0.1029,0.81,0.42,49414144,600.6134042739868,,,,,-106.74628021517141,-1.427121562008416,-8.407435373967733,-28.005742162769092,-1.297682351532306,31.389921478203046,0.45,1.09871334025318,-18.677910849288637,0.800396724167168,28.94136065945776,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,wd_05,a40,holdout_robust_score,-151.15603821574874,0.0619,1.39,0.5943,61.0,-0.5513,-9.36,0.5,23592960,361.5835404396057,,,,,-151.15603821574874,-1.3066514205226594,-17.131533772118193,-38.51368345391216,-3.539544193820104,44.1592675095071,0.55,-4.767707509723196,-20.711853073385058,0.37559601473508686,34.01927772809453,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,slip_5bps,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3964928,46.901835441589355,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,trade_pen_01,a40,holdout_robust_score,-183.60337306543076,0.0468,2.57,0.7631,73.0,-0.1333,0.61,0.49,60063744,600.5522520542145,,,,,-183.60337306543076,-2.5985804242397905,-13.540072063851742,-47.22852411220467,-0.9582152911451556,74.66747377565409,0.6,-3.2033911953482312,-17.40681840007338,0.0036660122102080694,45.89253477384797,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
7,trade_pen_05,a40,holdout_robust_score,-54.06080615337797,-0.0019,-1.36,0.32,28.0,0.0,0.0,0.0,8683520,86.33342719078064,,,,,-54.06080615337797,-0.14392021340788502,-0.13110583911138748,-2.9121493745828957,-0.7367561979800596,3.0021967169047867,0.85,0.0,-1.234259894612722,0.0,1.6765875886724206,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,reg_combo_3,a40,holdout_robust_score,-265.21844881673485,-0.3479,-11.96,0.5038,0.0,0.1772,2.02,0.54,37519360,457.43583369255066,,,,,-265.21844881673485,-38.989664906035145,-47.40794307654517,-53.9966808281163,-10.0,60.696047062667006,1.0,-42.9944118650858,-52.157207189211384,-11.310490031889879,56.55063994069302,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,robust_reg_tp005,a40,holdout_robust_score,-116.18772253590132,0.0249,0.37,0.5222,50.0,-0.1178,-1.89,0.51,24805376,307.8568482398987,,,,,-116.18772253590132,7.242964577637356,-9.221291275139542,-30.932599120969904,-1.6345206105380432,36.01192933894624,0.5,-0.675210764906533,-16.601529258736893,0.26963027056258815,32.62190575211559,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
10,robust_reg_tp005_sds02,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0016,-0.28,0.09,3604480,59.987159729003906,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.02,0.0,0.99
11,robust_reg_tp005_ent,a40,holdout_robust_score,-114.45484951412352,0.045,1.01,0.5324,53.0,0.0544,0.42,0.51,30900224,601.1156859397888,,,,,-114.45484951412352,2.175365786882179,-4.855875844498483,-34.0683903171424,-0.4527969610160625,38.19342624923173,0.4,2.797789614937574,-23.00056656963084,1.180269114977517,34.25055843401297,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
12,kitchen_sink,a40,holdout_robust_score,-95.34683691308297,0.036,0.7,0.5043,46.0,0.127,1.57,0.49,23789568,600.882714509964,,,,,-95.34683691308297,4.009364955965223,-5.869017103679452,-24.07002757998207,-1.2137306372399048,29.39385263777422,0.45,1.4754966211576266,-12.232296964430665,0.893457645058666,28.341959647945785,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,True,True,True,True,cosine,mlp,0.001,0.01,0.0,0.2,0.0,0.02,0.0,0.99
