description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c15_tp03_s6,-0.3498,-0.99,0.4309,-0.3498,0,326,981b8d7b,2026-03-25T08:57:34
c15_tp03_s9,-0.25,-0.29,0.437,-0.25,0,327,5371e48d,2026-03-25T09:03:02
c15_tp03_s11,0.124,0.06,0.5463,0.124,0,310,3815322d,2026-03-25T09:08:12
c15_tp03_s12,0.0036,0.83,0.4922,0.0036,0,316,2b499fd0,2026-03-25T09:13:28
c15_tp03_s13,-0.3164,-0.98,0.4725,-0.3164,0,319,7cf31ca0,2026-03-25T09:18:47
c15_tp03_s14,-0.368,-1.38,0.3275,-0.368,0,322,685a92cc,2026-03-25T09:24:10
c15_tp03_s16,-0.4063,-1.58,0.4314,-0.4063,0,324,547d35e2,2026-03-25T09:29:34
c15_tp03_s18,0.248,2.18,0.524,0.248,0,310,b4d3be4b,2026-03-25T09:34:45
c15_tp03_s20,-0.0054,1.14,0.5059,-0.0054,0,337,e4e7a7cd,2026-03-25T09:40:21
c15_tp03_s23,-0.1437,0.58,0.4608,-0.1437,0,334,a8ff31bb,2026-03-25T09:45:55
c15_tp03_s24,-0.0319,0.63,0.5668,-0.0319,0,325,9df81c5a,2026-03-25T09:51:20
c15_tp03_s25,-0.1744,0.08,0.4649,-0.1744,0,326,6637e41d,2026-03-25T09:56:46
