trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,generalization_score,overfit_gap_score,train_val_gap_pct,val_replay_gap_pct,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_annualized_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_daily_pnl_smoothness,replay_daily_ulcer_index,replay_daily_goodness_score,replay_hourly_return_pct,replay_hourly_annualized_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_pnl_smoothness,replay_hourly_ulcer_index,replay_hourly_goodness_score,replay_hourly_policy_return_pct,replay_hourly_policy_annualized_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,replay_hourly_policy_pnl_smoothness,replay_hourly_policy_ulcer_index,replay_hourly_policy_goodness_score,replay_daily_robust_median_return_pct,replay_daily_robust_median_annualized_return_pct,replay_daily_robust_worst_return_pct,replay_daily_robust_worst_annualized_return_pct,replay_daily_robust_worst_sortino,replay_daily_robust_worst_max_drawdown_pct,replay_hourly_robust_median_return_pct,replay_hourly_robust_median_annualized_return_pct,replay_hourly_robust_worst_return_pct,replay_hourly_robust_worst_annualized_return_pct,replay_hourly_robust_worst_sortino,replay_hourly_robust_worst_max_drawdown_pct,replay_hourly_policy_robust_median_return_pct,replay_hourly_policy_robust_median_annualized_return_pct,replay_hourly_policy_robust_worst_return_pct,replay_hourly_policy_robust_worst_annualized_return_pct,replay_hourly_policy_robust_worst_sortino,replay_hourly_policy_robust_worst_max_drawdown_pct,replay_combo_score,replay_combo_return_mean_pct,replay_combo_return_worst_pct,replay_combo_annualized_return_mean_pct,replay_combo_annualized_return_worst_pct,replay_combo_sortino_p25,replay_combo_max_drawdown_worst_pct,replay_combo_negative_return_rate,replay_combo_scenario_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,baseline_anneal_lr,a40,generalization_score,-199.54160982737258,-0.0383,-0.79,0.3921,38.0,0.0347,0.08,0.49,51085312,601.2959558963776,,,,,-199.54160982737258,7.300000000000001,7.300000000000001,,-170.89160982737258,-16.851841868834974,-22.824455636476664,-32.10866446677591,-4.337707599083112,38.2678046924528,1.0,-18.358516451460687,-27.82707705528513,-3.4689081112035707,34.24674161566338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,obs_norm,a40,generalization_score,-253.58184602050736,-0.1234,-3.74,0.4835,22.0,-0.0909,-1.68,0.51,17170432,305.04769802093506,,,,,-253.58184602050736,3.25,3.25,,-231.95684602050736,-21.572051795304787,-33.779081077640605,-57.43938132392533,-5.918951650551126,58.54258339692595,0.8,-27.282320758790057,-42.68922098838017,-4.87155319614693,44.81393955501786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,cosine_lr,a40,generalization_score,-315.89360040581164,-0.2526,-6.88,0.5116,0.0,-0.4718,-7.84,0.48,22216704,315.25715804100037,,,,,-315.89360040581164,0.0,0.0,,-290.89360040581164,-41.21585089640391,-48.4433956222555,-65.41474816340228,-10.0,69.01243873196357,1.0,-40.91960138144579,-58.17795620367032,-7.818142553340567,62.50779466957774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,ent_anneal,a40,generalization_score,-143.37774598406088,0.0946,2.92,0.5752,82.0,-0.235,-4.09,0.48,37158912,601.3420712947845,,,,,-143.37774598406088,0.0,0.0,,-128.37774598406088,-1.8661310036040284,-16.059497294735046,-26.22863790056826,-3.34869380195038,36.47140091087151,0.6,-6.765297344121509,-25.394796220778215,-1.0030635160691395,35.33843021109552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,clip_anneal,a40,generalization_score,-233.55115787102787,-0.1232,-3.29,0.5342,18.0,-0.2062,-2.31,0.54,24150016,306.0986225605011,,,,,-233.55115787102787,0.0,0.0,,-208.55115787102787,-28.14277518770071,-32.049993880038066,-42.16356454525078,-5.907415178367049,44.8754730411759,1.0,-29.02231700648207,-40.052554213928055,-4.885195966885316,43.783653966523595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,True,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
5,clip_vloss,a40,generalization_score,-165.89893041543556,-0.0269,-0.68,0.5405,47.0,-0.3045,-5.07,0.48,20676608,315.4515428543091,,,,,-165.89893041543556,0.0,0.0,,-147.14893041543556,-13.596233119662736,-23.222202704264348,-25.790414353589846,-3.7300323554291923,38.16116216994313,0.75,-16.70135311471904,-25.090909671902978,-2.7589432610585862,37.65651478290456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,wd_005,a40,generalization_score,-244.1848187997045,-0.0199,-1.12,0.4751,46.0,0.0909,1.32,0.47,30703616,454.27979040145874,,,,,-244.1848187997045,11.08,11.08,,-217.3948187997045,-22.047807578993265,-35.21524094179826,-49.821690063978785,-6.177229840483795,50.27909886057519,0.85,-26.105405573405143,-41.247207320181566,-3.92089490567075,45.30968559649882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
7,wd_01,a40,generalization_score,-206.69281630828263,-0.0327,-0.58,0.5321,44.0,-0.2895,-4.37,0.51,24805376,305.1559224128723,,,,,-206.69281630828263,0.0,0.0,,-184.19281630828263,-15.372738491089265,-23.414410195733304,-39.90005478465427,-2.7041624983034147,47.858316779234336,0.9,-11.136873441971073,-30.126981677508414,-1.8237415498529157,43.83279872757904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
8,wd_05,a40,generalization_score,-284.517679506553,-0.151,-4.25,0.5191,12.0,-0.158,-2.49,0.5,23068672,310.1914780139923,,,,,-284.517679506553,0.0,0.0,,-259.517679506553,-38.98362066438941,-43.44255624085228,-54.517223585863746,-9.154421224343064,58.47092418673887,1.0,-39.68077938278008,-48.0047747369088,-7.045352992499565,52.93154818557429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
9,wd_1,a40,generalization_score,-223.74764188717054,-0.133,-3.24,0.4885,18.0,-0.4024,-6.91,0.49,12353536,303.8340141773224,,,,,-223.74764188717054,0.0,0.0,,-202.49764188717054,-24.265743106543038,-36.690786085804966,-39.75384451956773,-5.762513436044866,50.12224504867086,0.85,-26.366782959227507,-38.713197806925784,-3.8392244239420066,46.20035677176219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.1,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
