description,honest_8bps,honest_5bps,ann_5bps_pct,sortino_5bps,robust_5gt8
c70_tp05_slip5_s240,18.3025,11.8556,+17641.6,7.00,False
c70_tp05_slip5_s434,9.2946,8.9063,+10358.9,6.99,False
c70_tp05_slip5_s507,7.5921,7.8769,+8272.7,6.43,True
c70_tp05_slip5_s404,7.3606,7.3632,+7319.4,6.28,True
c70_tp05_slip5_s734,5.9833,7.2696,+7151.9,6.72,True
c70_tp05_slip5_s628,6.6840,7.2657,+7145.0,6.79,True
c70_tp05_slip5_s123,6.7098,7.0904,+6836.8,0.00,True
c70_tp05_slip5_s446,5.8325,6.9063,+6520.5,5.96,True
c70_tp05_slip5_s249,7.1448,6.7662,+6284.8,6.34,False
c70_tp05_slip5_s520,6.5542,6.6743,+6132.5,7.70,True
c70_tp05_slip5_s523,5.8033,6.5435,+5919.0,7.56,True
c70_tp05_slip5_s138,5.3464,5.4126,+4230.0,0.00,True
c70_tp05_slip5_s416,5.1673,5.3162,+4099.0,6.19,True
c70_tp05_slip5_s347,6.0436,4.7697,+3395.0,5.22,False
c70_tp05_slip5_s209,4.1869,4.5161,+3090.5,0.00,True
c70_tp05_slip5_s410,4.2146,4.3961,+2951.4,5.76,True
c70_tp05_slip5_s830,3.2295,3.2651,+1794.6,,True
c70_tp05_slip5_s251,2.5690,2.6142,+1251.6,,True
c70_tp05_slip5_s253,2.4000,2.6042,+1247.9,,True
c70_tp05_slip5_s735,1.8408,2.3162,+1037.0,,True
c70_tp05_slip5_s729,2.1607,2.3026,+1027.5,,True
c70_tp05_slip5_s348,2.0377,2.1966,+949.1,,True
c70_tp05_slip5_s721,1.8117,2.0500,+859.5,,True
c70_tp05_slip5_s637,2.4608,2.0273,+845.1,+845.1,False
c70_tp05_slip5_s617,1.7794,2.0150,+833.2,,True
c70_tp05_slip5_s430,1.7947,1.7394,+671.7,,False
c70_tp05_slip5_s175,1.6810,1.6656,+630.2,5.76,False
c70_tp05_slip5_s539,1.5801,1.6203,+603.1,,True
c70_tp05_slip5_s732,1.5090,1.4747,+528.0,,False
c70_tp05_slip5_s738,1.6349,1.1683,+380.4,,False
c70_tp05_slip5_s71,,,,0.00,
c70_tp05_slip5_s118,,,,0.00,
c70_tp05_slip5_s19,,,,0.00,
c70_tp05_slip5_s107,,,,0.00,
c70_tp05_slip5_s827,,,,0.00,
c70_tp05_slip5_s210,,,,0.00,
c70_tp05_slip5_s609,,,,5.04,
c70_tp05_slip5_s129,,,,0.00,
c70_tp05_slip5_s115,,,,0.00,
c70_tp05_slip5_s37,,,,0.00,
c70_tp05_slip5_s534,,,,5.20,
c70_tp05_slip5_s70,,,,0.00,
c70_tp05_slip5_s101,,,,0.00,
c70_tp05_slip5_s65,,,,0.00,
c70_tp05_slip5_s55,,,,0.00,
c70_tp05_slip5_s24,,,,0.00,
c70_tp05_slip5_s87,,,,0.00,
c70_tp05_slip5_s321,,,,5.07,
c70_tp05_slip5_s98,,,,0.00,
c70_tp05_slip5_s8,,,,0.00,
c70_tp05_slip5_s602,,,,5.46,
c70_tp05_slip5_s612,,,,4.77,
c70_tp05_slip5_s83,,,,0.00,
c70_tp05_slip5_s513,,,,5.50,
c70_tp05_slip5_s92,,,,0.00,
c70_tp05_slip5_s737,,,,0.00,
c70_tp05_slip5_s171,,,,5.30,
c70_tp05_slip5_s78,,,,0.00,
c70_tp05_slip5_s208,,,,0.00,
c70_tp05_slip5_s128,,,,0.00,
c70_tp05_slip5_s804,,,,0.00,
c70_tp05_slip5_s704,,,,5.36,
c70_tp05_slip5_s196,,,,0.00,
c70_tp05_slip5_s80,,,,0.00,
c70_tp05_slip5_s192,,,,4.67,
c70_tp05_slip5_s66,,,,0.00,
c70_tp05_slip5_s415,,,,4.78,
c70_tp05_slip5_s810,,,,0.00,
c70_tp05_slip5_s64,,,,0.00,
c70_tp05_slip5_s122,,,,0.00,
c70_tp05_slip5_s431,,,,0.00,
c70_tp05_slip5_s820,,,,0.00,
c70_tp05_slip5_s817,,,,0.00,
c70_tp05_slip5_s247,,,,0.00,
c70_tp05_slip5_s627,,,,0.00,
c70_tp05_slip5_s822,,,,0.00,
c70_tp05_slip5_s334,,,,0.00,
c70_tp05_slip5_s191,,,,3.91,
c70_tp05_slip5_s731,,,,0.00,
c70_tp05_slip5_s621,,,,0.00,
c70_tp05_slip5_s322,,,,0.00,
c70_tp05_slip5_s85,,,,0.00,
c70_tp05_slip5_s826,,,,0.00,
c70_tp05_slip5_s531,,,,0.00,
c70_tp05_slip5_s816,,,,0.00,
c70_tp05_slip5_s217,,,,4.78,
c70_tp05_slip5_s166,,,,0.00,
c70_tp05_slip5_s220,,,,3.88,
c70_tp05_slip5_s61,,,,0.00,
c70_tp05_slip5_s623,,,,0.00,
c70_tp05_slip5_s165,,,,0.00,
c70_tp05_slip5_s320,,,,4.40,
c70_tp05_slip5_s218,,,,4.29,
c70_tp05_slip5_s802,,,,0.00,
c70_tp05_slip5_s336,,,,0.00,
c70_tp05_slip5_s807,,,,0.00,
c70_tp05_slip5_s211,,,,0.00,
c70_tp05_slip5_s206,,,,0.00,
c70_tp05_slip5_s97,,,,0.00,
c70_tp05_slip5_s77,,,,0.00,
c70_tp05_slip5_s194,,,,3.95,
c70_tp05_slip5_s176,,,,4.37,
c70_tp05_slip5_s149,,,,0.00,
c70_tp05_slip5_s401,,,,3.97,
c70_tp05_slip5_s207,,,,0.00,
c70_tp05_slip5_s506,,,,3.77,
c70_tp05_slip5_s224,,,,3.78,
c70_tp05_slip5_s411,,,,3.91,
c70_tp05_slip5_s202,,,,0.00,
c70_tp05_slip5_s232,,,,0.00,
c70_tp05_slip5_s100,,,,0.00,
c70_tp05_slip5_s221,,,,3.54,
c70_tp05_slip5_s226,,,,0.00,
c70_tp05_slip5_s140,,,,0.00,
c70_tp05_slip5_s91,,,,0.00,
c70_tp05_slip5_s126,,,,0.00,
c70_tp05_slip5_s306,,,,4.78,
c70_tp05_slip5_s301,,,,0.00,
c70_tp05_slip5_s186,,,,0.00,
c70_tp05_slip5_s212,,,,0.00,
c70_tp05_slip5_s164,,,,0.00,
c70_tp05_slip5_s127,,,,0.00,
c70_tp05_slip5_s74,,,,0.00,
c70_tp05_slip5_s119,,,,0.00,
c70_tp05_slip5_s89,,,,0.00,
c70_tp05_slip5_s93,,,,0.00,
c70_tp05_slip5_s104,,,,0.00,
c70_tp05_slip5_s606,,,,0.00,
c70_tp05_slip5_s130,,,,0.00,
c70_tp05_slip5_s108,,,,0.00,
c70_tp05_slip5_s709,,,,3.28,
c70_tp05_slip5_s136,,,,0.00,
c70_tp05_slip5_s133,,,,0.00,
c70_tp05_slip5_s705,,,,0.00,
c70_tp05_slip5_s131,,,,0.00,
c70_tp05_slip5_s503,,,,2.87,
c70_tp05_slip5_s309,,,,0.00,
c70_tp05_slip5_s161,,,,0.00,
c70_tp05_slip5_s63,,,,0.00,
c70_tp05_slip5_s147,,,,0.00,
c70_tp05_slip5_s134,,,,0.00,
c70_tp05_slip5_s72,,,,0.00,
c70_tp05_slip5_s132,,,,0.00,
c70_tp05_slip5_s75,,,,0.00,
c70_tp05_slip5_s62,,,,0.00,
c70_tp05_slip5_s403,,,,2.26,
